component,explained_variance_ratio,cumulative_ratio
1,0.4524403728917272,0.4524403728917272
2,0.21396017518097438,0.6664005480727015
3,0.09333787608825232,0.7597384241609538
4,0.06680851067400918,0.826546934834963
5,0.03727985851894248,0.8638267933539054
6,0.027958784335890975,0.8917855776897964
7,0.02427918756194359,0.91606476525174
8,0.01767580985376552,0.9337405751055056
9,0.01278212970652507,0.9465227048120306
10,0.011816158518621432,0.958338863330652
11,0.009301002417182581,0.9676398657478346
12,0.008536052116681866,0.9761759178645164
13,0.006435426967635592,0.982611344832152
14,0.005379571262382645,0.9879909160945346
15,0.0037887699993660695,0.9917796860939007
16,0.003177385042294167,0.994957071136195
17,0.001809508822631361,0.9967665799588263
18,0.0014164918599265058,0.9981830718187529
19,0.0009916784069913575,0.9991747502257442
20,0.0008252497742557155,0.9999999999999999
