söt  -> /ø:/  o_e:             279 tokens, 75 recordings
blöt -> /ø:/  o_e:             272 tokens, 75 recordings
lös  -> /ø:/  o_e:             270 tokens, 70 recordings
söt  -> /ø:/  Ö:                61 tokens, 24 recordings
nät  -> /æ:/  Ä:                70 tokens, 22 recordings
blöt -> /ø:/  Ö:                62 tokens, 22 recordings
sot  -> /u:/  o:                68 tokens, 19 recordings
lat  -> /ɑ:/  a:                61 tokens, 16 recordings
lös  -> /ø:/  Ö:                47 tokens, 16 recordings
lås  -> /o:/  O:                54 tokens, 15 recordings
typ  -> /y:/  i:                28 tokens, 13 recordings
leta -> /e:/  ei                60 tokens, 12 recordings
läs  -> /æ:/  Ä:                43 tokens, 11 recordings
typ  -> /y:/  U:                30 tokens, 10 recordings
lus  -> /ʉ̟:/ u:                26 tokens, 10 recordings
