village,speaker,first_vowel,second_vowel,geo_x,geo_y,first_x,first_y,second_x,second_y,pair_dx,pair_dy,pair_length,directed_angle_from_horizontal_deg,geo_position,geographic_group
alvdalen,ym_1,uː,oː,105.0,315.0,29.54640832095361,10.79270634944425,10.450666729678446,2.317337443498827,-19.095741591275164,-8.475368905945423,20.892085224137457,-156.06665028456956,225.843764915185,North
alvdalen,ym_2,uː,oː,105.0,315.0,25.992975154777184,-0.3666879301753736,7.862951570971713,-4.01148248828957,-18.13002358380547,-3.644794558114196,18.492762976910765,-168.63298182417796,225.843764915185,North
ankarsrum,ym_1,uː,oː,149.0,456.0,2.864588539533037,-1.3467465854124416,32.5657438860615,6.378003104758601,29.70115534652846,7.724749690171043,30.689255231993066,14.578641816771896,94.43409687486621,Centre
ankarsrum,ym_2,uː,oː,149.0,456.0,29.50383620158264,-10.242059123419239,41.58775050479188,-1.504046519642673,12.083914303209237,8.738012603776566,14.91220470457212,35.87110950278241,94.43409687486621,Centre
ankarsrum,ym_3,uː,oː,149.0,456.0,32.89465930468906,-6.960713435129646,27.57658568905355,-9.691366137869522,-5.318073615635505,-2.730652702739876,5.978157840363458,-152.82102005802372,94.43409687486621,Centre
anundsjo,ym_1,uː,oː,182.0,230.0,5.820889248263188,8.309543483065012,19.424752264591607,7.96284708732445,13.603863016328418,-0.34669639574056177,13.608280102858245,-1.4598751355512851,322.74929689041943,North
anundsjo,ym_2,uː,oː,182.0,230.0,25.338736881880973,10.493914736805877,29.446740454125045,-5.885721758996479,4.108003572244073,-16.379636495802355,16.886923493762577,-75.92065478507993,322.74929689041943,North
anundsjo,ym_3,uː,oː,182.0,230.0,29.511494183240995,19.00257371995029,23.81757694194195,3.496010869381644,-5.693917241299044,-15.506562850568647,16.51890386767228,-110.16293347453956,322.74929689041943,North
are,ym_1,uː,oː,89.0,227.0,42.205567390580775,15.792018648379251,34.5122513788355,-3.3750901332561716,-7.693316011745274,-19.167108781635424,20.653454197872616,-111.86959560761449,309.8163893481515,North
are,ym_2,uː,oː,89.0,227.0,41.708593747776135,17.23809240071241,39.8351188598147,6.058286256417524,-1.8734748879614358,-11.179806144294886,11.335694666840485,-99.5130459006533,309.8163893481515,North
are,ym_3,uː,oː,89.0,227.0,33.57481543448138,10.688454360306665,20.676664165179055,5.200161474856124,-12.898151269302325,-5.488292885450541,14.017263105267455,-156.94976018851116,309.8163893481515,North
arjeplog,ym_1,uː,oː,171.0,122.0,19.64593564039806,1.110273691224002,17.05988383704929,-5.041828495241164,-2.58605180334877,-6.152102186465166,6.673531691863979,-112.79957397680046,427.2821082142336,North
arjeplog,ym_2,uː,oː,171.0,122.0,34.52817996837429,12.589482153410241,29.403022651052336,-5.768774195715241,-5.125157317321953,-18.358256349125483,19.060241701182722,-105.5983787627617,427.2821082142336,North
arjeplog,ym_3,uː,oː,171.0,122.0,36.7171562471553,12.814336461957815,22.630317622723133,-7.9823436867756445,-14.086838624432168,-20.796680148733458,25.118537529870608,-124.11214060665239,427.2821082142336,North
arstad,ym_1,uː,oː,70.0,485.0,24.75510809790194,0.6877517908490853,38.08555690402856,9.47723921216243,13.330448806126618,8.789487421313346,15.967340245081148,33.39902924854513,52.36353118905221,South
arstad,ym_2,uː,oː,70.0,485.0,-0.0792239481124879,-10.049147599073098,10.417310123800505,-24.337230582920498,10.496534071912993,-14.2880829838474,17.729256692713882,-53.69767236906485,52.36353118905221,South
arstad,ym_3,uː,oː,70.0,485.0,15.402558899042567,-3.281562591516348,53.03296965109272,4.447318530495638,37.63041075205015,7.728881122011986,38.41592660298857,11.606526458047526,52.36353118905221,South
arsunda,ym_1,uː,oː,156.0,343.0,49.75519628676095,18.92159448096063,26.109033164284,3.354312952470212,-23.64616312247695,-15.567281528490415,28.31044479696615,-146.64137871546475,206.96864741095214,North
arsunda,ym_2,uː,oː,156.0,343.0,26.850487348203824,-4.4310297857985725,30.05594182214358,-12.022270015281542,3.2054544739397564,-7.5912402294829695,8.240258891941506,-67.10775627651086,206.96864741095214,North
arsunda,ym_3,uː,oː,156.0,343.0,36.230527643527644,3.249144902531346,43.211032116862484,-8.317480854779795,6.98050447333484,-11.56662575731114,13.509784384361625,-58.88885234394362,206.96864741095214,North
asby,ym_1,uː,oː,125.0,446.0,22.81528913748818,-14.521550149795129,24.96892109513968,-7.401100349871504,2.153631957651502,7.120449799923625,7.439014448315733,73.17167593768337,100.186736530837,Centre
asby,ym_2,uː,oː,125.0,446.0,51.01724610588346,-6.45100813871123,49.59299979841256,5.4371327680003105,-1.424246307470895,11.888140906711541,11.97315212306988,96.83170010143333,100.186736530837,Centre
asby,ym_3,uː,oː,125.0,446.0,18.586216281768408,-10.158216376445466,40.566295323884,-5.398027520025822,21.98007904211559,4.760188856419644,22.489625889428012,12.219740542323532,100.186736530837,Centre
aspas,ym_1,uː,oː,112.0,229.0,21.17713028010255,11.929767995676523,26.646078197386657,-3.0221516151550762,5.468947917284108,-14.951919610831599,15.920718933852728,-69.90904949141616,311.77528251009113,North
aspas,ym_2,uː,oː,112.0,229.0,42.40297204135739,11.307619780869679,37.840276853981194,-1.6678227254737699,-4.5626951873761925,-12.975442506343448,13.754282809668057,-109.37375550766336,311.77528251009113,North
aspas,ym_3,uː,oː,112.0,229.0,37.96509766709579,18.005564483937484,41.23205774098653,9.768746949635766,3.2669600738907363,-8.236817534301718,8.86104910367708,-68.36529109963885,311.77528251009113,North
bara,ym_1,uː,oː,79.0,539.0,-3.232693627534391,-3.938968668515833,10.39997284734827,-15.132030818428893,13.632666474882662,-11.193062149913061,17.63899757659732,-39.387609653718954,0.6950911219785691,South
bara,ym_2,uː,oː,79.0,539.0,-1.273451386651181,13.270513620238795,-13.342031298581798,-8.096767636054727,-12.068579911930616,-21.367281256293523,24.539994486067183,-119.45845135316462,0.6950911219785691,South
bara,ym_3,uː,oː,79.0,539.0,21.668713312984124,-2.6412322829601718,8.843212787613357,-16.866471905953176,-12.825500525370767,-14.225239622993005,19.153352345160258,-132.03787481387965,0.6950911219785691,South
bengtsf,ym_1,uː,oː,62.0,401.0,37.24725377081913,7.461419105946852,30.527984920168365,-8.975405510683668,-6.719268850650764,-16.43682461663052,17.75718945568799,-112.23443013031977,133.76174405913517,Centre
bengtsf,ym_2,uː,oː,62.0,401.0,50.09936020556138,9.700645774834262,47.2794331162483,1.9401190127136558,-2.819927089313083,-7.760526762120606,8.25698276700587,-109.96952500248327,133.76174405913517,Centre
bengtsf,ym_3,uː,oː,62.0,401.0,45.13363992941399,12.314257092924331,42.596614405270515,8.34264119219688,-2.5370255241434734,-3.9716159007274516,4.712773214686507,-122.5700026707036,133.76174405913517,Centre
berg,ym_1,uː,oː,112.0,252.0,22.854609682852466,6.119868983721551,12.974134356704093,-4.7587462640727685,-9.880475326148373,-10.878615247794318,14.6958518766409,-132.24722072562426,289.11343963427134,North
berg,ym_2,uː,oː,112.0,252.0,51.98414266566782,13.346300048233049,33.95581385386228,-14.156727426223874,-18.028328811805537,-27.50302747445692,32.88521187414352,-123.24497877699903,289.11343963427134,North
berg,ym_3,uː,oː,112.0,252.0,35.57449094215052,14.519451866963127,29.01600536659472,3.8998783319731,-6.5584855755558,-10.619573534990028,12.481549387389135,-121.69884114191485,289.11343963427134,North
bjurholm,ym_1,uː,oː,197.0,211.0,23.189764112519384,1.0932472870448082,25.02937508843414,-10.184043594661162,1.8396109759147556,-11.27729088170597,11.426349293335761,-80.73521427089429,344.0326593930225,North
bjurholm,ym_2,uː,oː,197.0,211.0,23.044235192002247,0.715077072581937,23.491786811080217,-5.4833207857155895,0.44755161907797003,-6.198397858297526,6.214534452514257,-85.87015941658315,344.0326593930225,North
bjurholm,ym_3,uː,oː,197.0,211.0,52.64268699456083,7.579917507539305,47.28279015000057,-0.20702858392790136,-5.359896844560261,-7.786946091467206,9.453307548987468,-124.54034469677144,344.0326593930225,North
boda,ym_2,uː,oː,163.0,475.0,25.34531570693409,-3.0429093740554753,32.4057816981555,-4.491699530432525,7.06046599122141,-1.4487901563770498,7.207577466140004,-11.595986796432918,78.10530644374003,Centre
bredsattra,ym_1,uː,oː,158.0,489.0,16.00083593145157,9.859418972810344,24.96945550602137,0.03626218215900612,8.9686195745698,-9.823156790651337,13.301524213678524,-47.60367449858426,63.4569046509324,South
bredsattra,ym_2,uː,oː,158.0,489.0,22.03310248899902,-3.0363657912238877,39.5941446479404,-6.031315495854132,17.561042158941376,-2.9949497046302445,17.814598660687846,-9.678397301715261,63.4569046509324,South
bredsattra,ym_3,uː,oː,158.0,489.0,32.25237422940122,-5.449593548955546,22.690416033356854,-17.389482411610206,-9.561958196044365,-11.93988886265466,15.29679674296043,-128.6891943040221,63.4569046509324,South
