village,geo_x,geo_y,geo_position,geographic_group,first_x,first_y,second_x,second_y
ankarsrum,149.0,456.0,94.43409687486621,Centre,32.5657438860615,-1.504046519642673,9.638780934077646,-27.448193181385058
anundsjo,182.0,230.0,322.74929689041943,North,23.81757694194195,3.496010869381644,18.86349300016275,-16.74136516399294
are,89.0,227.0,309.8163893481515,North,34.5122513788355,5.200161474856124,12.403472261213572,-20.46431692709949
arjeplog,171.0,122.0,427.2821082142336,North,22.630317622723133,-5.768774195715241,11.8297495998834,-21.30909752571433
arstad,70.0,485.0,52.36353118905221,South,38.08555690402856,4.447318530495638,40.231657543845934,-16.72605271764597
arsunda,156.0,343.0,206.96864741095214,North,30.05594182214358,-8.317480854779795,20.76135636032688,-23.61311915041841
asby,125.0,446.0,100.186736530837,Centre,40.566295323884,-5.398027520025822,24.497924585194752,-25.9884984082681
aspas,112.0,229.0,311.77528251009113,North,37.840276853981194,-1.6678227254737699,21.573463557668596,-19.45570849320412
bara,79.0,539.0,0.6950911219785691,South,8.843212787613357,-15.132030818428893,21.13657842354451,-16.691365288018908
bengtsf,62.0,401.0,133.76174405913517,Centre,42.596614405270515,1.9401190127136558,33.31311742722859,-20.39757409924328
berg,112.0,252.0,289.11343963427134,North,29.01600536659472,-4.7587462640727685,17.66114221039085,-25.431083929776236
bjurholm,197.0,211.0,344.0326593930225,North,25.02937508843414,-5.4833207857155895,17.457402845183793,-26.828653943894462
boda,163.0,475.0,78.10530644374003,Centre,38.78541418544366,-5.7486069819922,7.980989189847343,-29.86192708991854
bredsattra,158.0,489.0,63.4569046509324,South,24.96945550602137,-6.031315495854132,-1.482230142609252,-26.866999143624312
broby,99.0,510.0,32.68566535202928,South,28.70870388311971,-5.757506277396631,4.813369685981286,-20.370686115971715
burseryd,84.0,478.0,61.65247618276582,South,38.32031824029826,-5.63852963725275,32.48270180799597,-24.184365300939465
burtrask,222.0,177.0,381.8039577688209,North,43.82743088349606,-5.868450917376178,-13.988482639322195,-27.03007166600409
dalby,82.0,336.0,201.22302887742558,North,25.669033994140193,-7.6533553406658985,15.302589277461788,-27.39457265487313
floby,85.0,439.0,100.24992663283506,Centre,42.8792067748367,6.592125748432345,33.492772120516264,-20.52818106569123
frandef,63.0,423.0,112.25604601246488,Centre,42.978754288346764,2.7837114460014316,11.75821375829255,-24.694263037620285
frillesas,58.0,470.0,65.09282618043753,South,32.37600766319377,-3.214552809679377,27.909057586924334,-20.31203806414839
grangarde,119.0,354.0,189.80902415725896,North,17.759728544849537,-5.20844663542471,4.200409716530432,-23.291847744278712
graso,189.0,350.0,205.70952611928726,North,46.0172664031241,6.204324702036193,25.41526093203901,-16.74505854957518
hammaro,90.0,391.0,148.3984439812024,Centre,32.05542825154059,-3.1954576112500375,12.994633247969931,-30.221623284987807
