village,geo_x,geo_y,geographic_position,geographic_group,median_unwrapped_angle_deg,median_pair_distance
alvdalen,105.0,315.0,225.843764915185,North,-162.34981605437378,19.69242410052411
ankarsrum,149.0,456.0,94.43409687486621,Centre,14.578641816771878,14.91220470457212
anundsjo,182.0,230.0,322.74929689041943,North,-75.92065478507995,16.51890386767228
are,89.0,227.0,309.8163893481515,North,-111.8695956076145,14.017263105267455
arjeplog,171.0,122.0,427.2821082142336,North,-112.79957397680046,19.060241701182722
arstad,70.0,485.0,52.36353118905221,South,11.606526458047526,17.729256692713882
arsunda,156.0,343.0,206.96864741095214,North,-67.10775627651084,13.509784384361625
asby,125.0,446.0,100.186736530837,Centre,73.17167593768339,11.97315212306988
aspas,112.0,229.0,311.77528251009113,North,-69.90904949141616,13.754282809668057
bara,79.0,539.0,0.6950911219785691,South,-119.45845135316462,19.153352345160258
bengtsf,62.0,401.0,133.76174405913517,Centre,-112.23443013031978,8.25698276700587
berg,112.0,252.0,289.11343963427134,North,-123.24497877699902,14.6958518766409
bjurholm,197.0,211.0,344.0326593930225,North,-85.87015941658315,9.453307548987468
boda,163.0,475.0,78.10530644374003,Centre,-11.59598679643291,7.207577466140004
bredsattra,158.0,489.0,63.4569046509324,South,-47.603674498584255,15.29679674296043
broby,99.0,510.0,32.68566535202928,South,-26.366063553629814,38.47589423286148
burseryd,84.0,478.0,61.65247618276582,South,-67.68059961283687,9.004775876881457
burtrask,222.0,177.0,381.8039577688209,North,-98.200934079167,11.337003045336496
dalby,82.0,336.0,201.22302887742558,North,-106.41711726115467,11.599278512966423
floby,85.0,439.0,100.24992663283506,Centre,-49.138322567186336,8.493882222732246
frandef,63.0,423.0,112.25604601246488,Centre,-48.793747789832764,9.078496442241125
frillesas,58.0,470.0,65.09282618043753,South,1.0164509335472758,8.278328923211433
grangarde,119.0,354.0,189.80902415725896,North,-146.0223840798751,14.430931731724328
graso,189.0,350.0,205.70952611928726,North,-82.5777814052936,2.961272177886662
hammaro,90.0,391.0,148.3984439812024,Centre,-67.20168172750495,14.01871193585104
hamneda,93.0,496.0,45.45474670393189,South,-57.012345508227,15.337310104426095
haraker,149.0,373.0,176.21379073108554,North,-91.20771789720605,11.38530139109827
husby,141.0,348.0,199.47945013710896,North,-119.94788911410065,14.573114421278406
jamshog,108.0,514.0,30.28210110195524,South,-72.69870439160688,16.220216281755622
jarnboas,117.0,378.0,165.82018913948008,North,17.489425417066386,29.26465320860724
jarsnas,113.0,452.0,92.22478367908248,Centre,-47.77512285974841,5.798006415091931
karna,53.0,448.0,85.9151349758696,Centre,-93.9959301532357,10.223514654540848
karsta,186.0,377.0,178.59395123967883,North,-69.53296333305683,10.59098192707842
korsberga,100.0,432.0,109.7097189393582,Centre,-118.6861737567264,15.294752976539531
kramfors,173.0,248.0,303.4763157810137,North,-128.10805759117483,12.884383056077999
lanna,161.0,393.0,158.55800815800026,Centre,-63.07173271508745,6.290867088302713
leksand,120.0,335.0,208.70052428052836,North,-110.51639545658614,9.377399139659582
loderup,98.0,543.0,0.0,South,-86.22414308041239,21.757925155147312
malung,96.0,337.0,202.62959374041924,North,-96.12358375329212,21.01438650353602
n_rorum,84.0,522.0,18.299385463806168,South,-71.74466637094248,15.65345545048784
nora,160.0,357.0,193.85787143343043,North,-8.845538610802762,51.12310220265036
nysatra,228.0,188.0,371.9907689659383,North,-100.5791973933709,10.64311879209608
ockelbo,156.0,328.0,221.748110156052,North,-74.66184967164615,15.66869262188406
orust,49.0,436.0,97.05531592071132,Centre,-24.031058000578,9.320497258642654
ossjo,74.0,515.0,23.48799495009064,South,-111.07222507674611,26.09343988349927
ostad,63.0,445.0,90.57950065298506,Centre,-42.910509371690566,13.096687967957592
ovanaker,140.0,310.0,236.74990844521912,North,-103.18091922837966,15.16371064537704
oxaback,71.0,468.0,69.28443627964162,South,-122.5945405016982,13.847836820653377
pitea,233.0,141.0,419.15398879796567,North,-50.026093770020125,15.482215961165805
ragunda,145.0,241.0,305.5896736367263,North,-67.3284436730196,10.877715327414618
rimforsa,134.0,437.0,110.59203999318285,Centre,46.14749553427292,17.231551673237675
s_finnskoga,74.0,333.0,202.8121429239692,North,-116.58783294171373,13.868572396675154
s_mellosa,129.0,395.0,151.12029911541478,Centre,33.27592969626447,18.39885347393691
sarna,87.0,296.0,241.489166095073,North,-30.198504281903624,21.050078613717467
segerstad,153.0,510.0,41.911420243744836,South,-50.30267258906467,14.340798874027653
skee,42.0,404.0,127.38890525392424,Centre,-96.72623007533083,8.005792076467676
skinnskatteberg,135.0,371.0,175.79252338443186,North,-35.92155126547037,31.600836417003478
skog,157.0,317.0,232.75723014860148,North,-102.80816800944511,10.822112918887012
skuttunge,171.0,364.0,188.8401092599555,North,-75.22584446958285,12.87803363165959
sorsele,166.0,143.0,405.736623807046,North,-131.59683002503075,18.12248326011678
sorunda,181.0,406.0,149.16608670177132,Centre,1.3316290269397228,7.755760352399939
st_anna,157.0,436.0,115.50682570414243,Centre,26.818567819791795,8.818668478081433
stenberga,128.0,474.0,73.11094801174586,South,-41.91599147423237,8.630029271917062
storsjo,87.0,251.0,285.8275543303726,North,-141.82257468474103,19.574489449332848
strom,132.0,211.0,332.92758406040195,North,-104.51995959784576,10.799725691761964
tjallmo,128.0,416.0,130.2582039594654,Centre,19.922594145427283,5.362878976621544
torhamn,135.0,521.0,27.997895933433075,South,-142.7771176508025,13.314867181878489
