village,vowel,n_speakers,geo_x,geo_y,display_x,display_y,geo_position,geographic_group
alvdalen,eː,3,105.0,315.0,-13.0969593578,-4.50312474099,225.843764915185,North
alvdalen,oː,2,105.0,315.0,-7.5477390675675,-5.083693401750001,225.843764915185,North
alvdalen,uː,3,105.0,315.0,-8.103650522355,-3.828434019545,225.843764915185,North
alvdalen,øː,3,105.0,315.0,-7.462494286365001,-4.344035779885,225.843764915185,North
alvdalen,ʉ̟ː,3,105.0,315.0,-8.604858889315,-5.56750492708,225.843764915185,North
ankarsrum,eː,3,149.0,456.0,-12.5078408877,-4.38498040695,94.43409687486621,Centre
ankarsrum,oː,3,149.0,456.0,-6.97522409993,-4.35776387151,94.43409687486621,Centre
ankarsrum,uː,3,149.0,456.0,-7.73815102329,-4.56611570248,94.43409687486621,Centre
ankarsrum,yː,3,149.0,456.0,-12.826953405,-4.54815550041,94.43409687486621,Centre
ankarsrum,æː,3,149.0,456.0,-11.599216379200001,-5.95996906419,94.43409687486621,Centre
ankarsrum,øː,3,149.0,456.0,-10.329839262,-5.66899246607,94.43409687486621,Centre
ankarsrum,ɑː,3,149.0,456.0,-8.37011588275,-5.59196850394,94.43409687486621,Centre
ankarsrum,ʉ̟ː,3,149.0,456.0,-11.5690257559,-4.3072690554649995,94.43409687486621,Centre
anundsjo,eː,3,182.0,230.0,-12.9260991105,-4.76173628174,322.74929689041943,North
anundsjo,oː,3,182.0,230.0,-7.22720812183,-4.56611570248,322.74929689041943,North
anundsjo,uː,3,182.0,230.0,-6.97522409993,-3.94782830429,322.74929689041943,North
anundsjo,yː,3,182.0,230.0,-13.10354088645,-3.985691502385,322.74929689041943,North
anundsjo,æː,3,182.0,230.0,-12.318991575950001,-5.79750477076,322.74929689041943,North
anundsjo,øː,3,182.0,230.0,-11.804077135,-4.67325657895,322.74929689041943,North
anundsjo,ɑː,3,182.0,230.0,-7.77732394366,-5.42777777778,322.74929689041943,North
anundsjo,ʉ̟ː,3,182.0,230.0,-12.1429001883,-3.9002725724,322.74929689041943,North
are,eː,3,89.0,227.0,-12.8988948307,-5.04864646465,309.8163893481515,North
are,oː,3,89.0,227.0,-7.017517629855,-4.48506014102,309.8163893481515,North
are,uː,3,89.0,227.0,-6.62133931912,-3.7554512128599997,309.8163893481515,North
are,yː,3,89.0,227.0,-13.1398149537,-3.38333358648,309.8163893481515,North
are,æː,3,89.0,227.0,-12.0510095729,-6.1001890503,309.8163893481515,North
are,øː,3,89.0,227.0,-10.4476408557,-5.51019762846,309.8163893481515,North
are,ɑː,3,89.0,227.0,-8.16013793103,-5.42777777778,309.8163893481515,North
are,ʉ̟ː,3,89.0,227.0,-12.1694736842,-3.5812484643299998,309.8163893481515,North
arjeplog,eː,3,171.0,122.0,-12.890368791850001,-4.74850964735,427.2821082142336,North
arjeplog,oː,3,171.0,122.0,-7.59972982581,-4.8213494451950005,427.2821082142336,North
arjeplog,uː,3,171.0,122.0,-8.430899601955,-3.7396015336649997,427.2821082142336,North
arjeplog,yː,3,171.0,122.0,-12.8988948307,-3.72738197425,427.2821082142336,North
arjeplog,æː,3,171.0,122.0,-11.7097515569,-6.2160061092,427.2821082142336,North
arjeplog,øː,3,171.0,122.0,-11.88733073705,-4.770540808630001,427.2821082142336,North
arjeplog,ɑː,3,171.0,122.0,-8.168919739195001,-5.774994799125,427.2821082142336,North
arjeplog,ʉ̟ː,3,171.0,122.0,-12.085161816,-3.828548778755,427.2821082142336,North
arstad,eː,3,70.0,485.0,-13.71595439265,-4.60194719472,52.36353118905221,South
arstad,oː,3,70.0,485.0,-6.733540865225,-4.20117647059,52.36353118905221,South
arstad,uː,3,70.0,485.0,-9.023342997185,-4.3165068439350005,52.36353118905221,South
arstad,yː,3,70.0,485.0,-12.8359870944,-4.43068229316,52.36353118905221,South
arstad,æː,3,70.0,485.0,-12.2598292423,-5.90481582009,52.36353118905221,South
arstad,øː,3,70.0,485.0,-10.5283213429,-4.704298939685,52.36353118905221,South
arstad,ɑː,3,70.0,485.0,-7.28231381056,-5.210270996785,52.36353118905221,South
arstad,ʉ̟ː,3,70.0,485.0,-11.27710870185,-4.34861435726,52.36353118905221,South
arsunda,eː,3,156.0,343.0,-12.0587280108,-5.07435028249,206.96864741095214,North
arsunda,oː,3,156.0,343.0,-7.12640241804,-4.46696554587,206.96864741095214,North
arsunda,uː,3,156.0,343.0,-7.02474166361,-4.39428571429,206.96864741095214,North
arsunda,yː,3,156.0,343.0,-12.6982993021,-3.94782830429,206.96864741095214,North
arsunda,æː,3,156.0,343.0,-11.4881466411,-6.341240549589999,206.96864741095214,North
arsunda,øː,3,156.0,343.0,-10.7425665287,-5.4855401662,206.96864741095214,North
arsunda,ɑː,3,156.0,343.0,-7.71850229601,-5.70537196554,206.96864741095214,North
arsunda,ʉ̟ː,3,156.0,343.0,-11.515290812,-3.8045508982,206.96864741095214,North
asby,eː,3,125.0,446.0,-12.951466623750001,-4.34861435726,100.186736530837,Centre
asby,oː,3,125.0,446.0,-6.896883585685,-4.57508467575,100.186736530837,Centre
asby,uː,3,125.0,446.0,-7.91955276031,-4.59300041271,100.186736530837,Centre
asby,yː,3,125.0,446.0,-12.0317353579,-4.40242645096,100.186736530837,Centre
asby,æː,3,125.0,446.0,-12.3637133151,-5.999154594065001,100.186736530837,Centre
asby,øː,3,125.0,446.0,-11.0752533566,-5.65692307692,100.186736530837,Centre
asby,ɑː,3,125.0,446.0,-7.98348189415,-5.27776179057,100.186736530837,Centre
asby,ʉ̟ː,3,125.0,446.0,-11.7117715553,-4.68213727908,100.186736530837,Centre
