village,vowel,n_speakers,geo_x,geo_y,display_x,display_y,geo_position,geographic_group
alvdalen,eː,3,105.0,315.0,-15.306154903514699,15.318786919416622,225.843764915185,North
alvdalen,oː,2,105.0,315.0,9.15680915032508,-0.8470725223953712,225.843764915185,North
alvdalen,uː,3,105.0,315.0,29.54640832095361,-0.3666879301753736,225.843764915185,North
alvdalen,øː,3,105.0,315.0,17.691167507647428,11.298588100613095,225.843764915185,North
alvdalen,ʉ̟ː,3,105.0,315.0,19.993392695466994,-30.690285941940324,225.843764915185,North
ankarsrum,eː,3,149.0,456.0,-31.965277009092084,13.230872811472214,94.43409687486621,Centre
ankarsrum,oː,3,149.0,456.0,32.5657438860615,-1.504046519642673,94.43409687486621,Centre
ankarsrum,uː,3,149.0,456.0,29.50383620158264,-6.960713435129646,94.43409687486621,Centre
ankarsrum,yː,3,149.0,456.0,-27.68382594016162,14.73283402194954,94.43409687486621,Centre
ankarsrum,æː,3,149.0,456.0,-40.712106833311346,-11.175694266923522,94.43409687486621,Centre
ankarsrum,øː,3,149.0,456.0,-22.118075018711103,-19.136580411795627,94.43409687486621,Centre
ankarsrum,ɑː,3,149.0,456.0,9.638780934077646,-27.448193181385058,94.43409687486621,Centre
ankarsrum,ʉ̟ː,3,149.0,456.0,-16.893441077711778,11.287031744956664,94.43409687486621,Centre
anundsjo,eː,3,182.0,230.0,-28.72551635169172,11.73877126460596,322.74929689041943,North
anundsjo,oː,3,182.0,230.0,23.81757694194195,3.496010869381644,322.74929689041943,North
anundsjo,uː,3,182.0,230.0,25.338736881880973,10.493914736805877,322.74929689041943,North
anundsjo,yː,3,182.0,230.0,-24.250625588184896,23.21062482345129,322.74929689041943,North
anundsjo,æː,3,182.0,230.0,-40.79761202285508,-4.196174378846713,322.74929689041943,North
anundsjo,øː,3,182.0,230.0,-25.510244945021338,9.088005069385797,322.74929689041943,North
anundsjo,ɑː,3,182.0,230.0,18.86349300016275,-16.74136516399294,322.74929689041943,North
anundsjo,ʉ̟ː,3,182.0,230.0,-12.295127371867402,17.82208417978942,322.74929689041943,North
are,eː,3,89.0,227.0,-26.303134039985878,7.4117966981101775,309.8163893481515,North
are,oː,3,89.0,227.0,34.5122513788355,5.200161474856124,309.8163893481515,North
are,uː,3,89.0,227.0,41.708593747776135,15.792018648379251,309.8163893481515,North
are,yː,3,89.0,227.0,-2.3139366655529483,30.50879353975329,309.8163893481515,North
are,æː,3,89.0,227.0,-28.95265968581139,-5.212907824054554,309.8163893481515,North
are,øː,3,89.0,227.0,-10.986433476012163,-11.325778076654995,309.8163893481515,North
are,ɑː,3,89.0,227.0,12.403472261213572,-20.46431692709949,309.8163893481515,North
are,ʉ̟ː,3,89.0,227.0,4.679689482765047,27.751054519791296,309.8163893481515,North
arjeplog,eː,3,171.0,122.0,-20.506319472824387,11.932038956109228,427.2821082142336,North
arjeplog,oː,3,171.0,122.0,22.630317622723133,-5.768774195715241,427.2821082142336,North
arjeplog,uː,3,171.0,122.0,34.52817996837429,12.589482153410241,427.2821082142336,North
arjeplog,yː,3,171.0,122.0,-7.910151167064392,22.37579594918932,427.2821082142336,North
arjeplog,æː,3,171.0,122.0,-29.875680941309724,-14.34348862117534,427.2821082142336,North
arjeplog,øː,3,171.0,122.0,-13.91960518486879,6.313038718231336,427.2821082142336,North
arjeplog,ɑː,3,171.0,122.0,11.8297495998834,-21.30909752571433,427.2821082142336,North
