method,grouping,village,speaker,pair,first_vowel,second_vowel,display_x,display_y,geo_x,geo_y
fasttrack,village,ankarsrum,,uː->oː,uː,oː,-7.35668756161,-4.461939786995,149.0,456.0
fasttrack,village,ankarsrum,,oː->ɑː,oː,ɑː,-7.672669991339999,-4.974866187725,149.0,456.0
fasttrack,village,ankarsrum,,ɑː->æː,ɑː,æː,-9.984666130975,-5.775968784065,149.0,456.0
fasttrack,village,ankarsrum,,æː->eː,æː,eː,-12.05352863345,-5.17247473557,149.0,456.0
fasttrack,village,ankarsrum,,yː->ʉ̟ː,yː,ʉ̟ː,-12.197989580449999,-4.4277122779375,149.0,456.0
fasttrack,village,ankarsrum,,ʉ̟ː->øː,ʉ̟ː,øː,-10.94943250895,-4.9881307607675,149.0,456.0
fasttrack,village,anundsjo,,uː->oː,uː,oː,-7.10121611088,-4.256972003385,182.0,230.0
fasttrack,village,anundsjo,,oː->ɑː,oː,ɑː,-7.502266032745,-4.99694674013,182.0,230.0
fasttrack,village,anundsjo,,ɑː->æː,ɑː,æː,-10.048157759805001,-5.6126412742700005,182.0,230.0
fasttrack,village,anundsjo,,æː->eː,æː,eː,-12.622545343225,-5.27962052625,182.0,230.0
fasttrack,village,anundsjo,,yː->ʉ̟ː,yː,ʉ̟ː,-12.623220537375001,-3.9429820373925,182.0,230.0
fasttrack,village,anundsjo,,ʉ̟ː->øː,ʉ̟ː,øː,-11.97348866165,-4.286764575675,182.0,230.0
fasttrack,village,are,,uː->oː,uː,oː,-6.8194284744875,-4.120255676939999,89.0,227.0
fasttrack,village,are,,oː->ɑː,oː,ɑː,-7.5888277804425,-4.9564189594000005,89.0,227.0
fasttrack,village,are,,ɑː->æː,ɑː,æː,-10.105573751965,-5.76398341404,89.0,227.0
fasttrack,village,are,,æː->eː,æː,eː,-12.4749522018,-5.5744177574750005,89.0,227.0
fasttrack,village,are,,yː->ʉ̟ː,yː,ʉ̟ː,-12.65464431895,-3.482291025405,89.0,227.0
fasttrack,village,are,,ʉ̟ː->øː,ʉ̟ː,øː,-11.30855726995,-4.5457230463950005,89.0,227.0
fasttrack,village,arjeplog,,uː->oː,uː,oː,-8.0153147138825,-4.28047548943,171.0,122.0
fasttrack,village,arjeplog,,oː->ɑː,oː,ɑː,-7.8843247825025005,-5.29817212216,171.0,122.0
fasttrack,village,arjeplog,,ɑː->æː,ɑː,æː,-9.9393356480475,-5.9955004541625,171.0,122.0
fasttrack,village,arjeplog,,æː->eː,æː,eː,-12.300060174375002,-5.482257878275,171.0,122.0
fasttrack,village,arjeplog,,yː->ʉ̟ː,yː,ʉ̟ː,-12.492028323349999,-3.7779653765025003,171.0,122.0
fasttrack,village,arjeplog,,ʉ̟ː->øː,ʉ̟ː,øː,-11.986246276525,-4.2995447936925,171.0,122.0
fasttrack,village,arstad,,uː->oː,uː,oː,-7.878441931205,-4.258841657262501,70.0,485.0
fasttrack,village,arstad,,oː->ɑː,oː,ɑː,-7.0079273378925,-4.7057237336875,70.0,485.0
fasttrack,village,arstad,,ɑː->æː,ɑː,æː,-9.77107152643,-5.5575434084375,70.0,485.0
fasttrack,village,arstad,,æː->eː,æː,eː,-12.987891817474999,-5.253381507405,70.0,485.0
fasttrack,village,arstad,,yː->ʉ̟ː,yː,ʉ̟ː,-12.056547898125,-4.3896483252100005,70.0,485.0
fasttrack,village,arstad,,ʉ̟ː->øː,ʉ̟ː,øː,-10.902715022375,-4.5264566484725,70.0,485.0
fasttrack,village,arsunda,,uː->oː,uː,oː,-7.075572040825,-4.43062563008,156.0,343.0
fasttrack,village,arsunda,,oː->ɑː,oː,ɑː,-7.422452357025,-5.086168755705,156.0,343.0
fasttrack,village,arsunda,,ɑː->æː,ɑː,æː,-9.603324468555,-6.023306257565,156.0,343.0
fasttrack,village,arsunda,,æː->eː,æː,eː,-11.773437325949999,-5.70779541604,156.0,343.0
fasttrack,village,arsunda,,yː->ʉ̟ː,yː,ʉ̟ː,-12.10679505705,-3.876189601245,156.0,343.0
fasttrack,village,arsunda,,ʉ̟ː->øː,ʉ̟ː,øː,-11.12892867035,-4.6450455322,156.0,343.0
fasttrack,village,asby,,uː->oː,uː,oː,-7.4082181729975005,-4.58404254423,125.0,446.0
fasttrack,village,asby,,oː->ɑː,oː,ɑː,-7.4401827399175,-4.9264232331599995,125.0,446.0
fasttrack,village,asby,,ɑː->æː,ɑː,æː,-10.173597604625,-5.638458192317501,125.0,446.0
fasttrack,village,asby,,æː->eː,æː,eː,-12.657589969425,-5.173884475662501,125.0,446.0
fasttrack,village,asby,,yː->ʉ̟ː,yː,ʉ̟ː,-11.8717534566,-4.54228186502,125.0,446.0
fasttrack,village,asby,,ʉ̟ː->øː,ʉ̟ː,øː,-11.393512455949999,-5.1695301780000005,125.0,446.0
fasttrack,village,aspas,,uː->oː,uː,oː,-6.8214540701325,-3.84444858675,112.0,229.0
fasttrack,village,aspas,,oː->ɑː,oː,ɑː,-7.2777685029275005,-4.6378493226975,112.0,229.0
fasttrack,village,aspas,,ɑː->æː,ɑː,æː,-9.4042929193325,-5.688284393529999,112.0,229.0
fasttrack,village,aspas,,æː->eː,æː,eː,-11.757565884849999,-5.512192362143749,112.0,229.0
fasttrack,village,aspas,,yː->ʉ̟ː,yː,ʉ̟ː,-12.30475559305,-3.3814728984175,112.0,229.0
fasttrack,village,aspas,,ʉ̟ː->øː,ʉ̟ː,øː,-11.359347267099999,-4.1905250813625,112.0,229.0
fasttrack,village,bara,,uː->oː,uː,oː,-9.530520471245001,-4.6331867600225,79.0,539.0
fasttrack,village,bara,,oː->ɑː,oː,ɑː,-8.856941696315001,-5.127103774622499,79.0,539.0
fasttrack,village,bara,,ɑː->æː,ɑː,æː,-9.6741597926575,-5.505483879054999,79.0,539.0
fasttrack,village,bara,,æː->eː,æː,eː,-11.49898291615,-5.441664101004999,79.0,539.0
fasttrack,village,bara,,yː->ʉ̟ː,yː,ʉ̟ː,-11.0503455924,-4.2658484973275,79.0,539.0
fasttrack,village,bara,,ʉ̟ː->øː,ʉ̟ː,øː,-10.18012642195,-4.7156506050175,79.0,539.0
fasttrack,village,bengtsf,,uː->oː,uː,oː,-6.73587900447,-4.25235473404,62.0,401.0
