method,grouping,village,speaker,fit_basis,n_points,n_vowels,missing_vowels,geo_x,geo_y,centroid_x,centroid_y,ellipse_angle_deg,ellipse_angle_from_horizontal_signed_deg,major_axis_sd,minor_axis_sd,axis_ratio,orientation_reliable
fasttrack,village,ankarsrum,,vowels,8,8,,149.0,456.0,-1372.1875,-502.75,179.3841824469498,-0.6158175530501921,457.0373689869388,80.78841164820328,5.657214440322559,1
fasttrack,village,ankarsrum,,midpoints,6,8,,149.0,456.0,-1328.75,-508.0416666666667,0.6231679466782509,0.6231679466782509,415.92362133849537,58.47564988384979,7.1127661199942995,1
fasttrack,village,anundsjo,,vowels,8,8,,182.0,230.0,-1459.25,-469.6875,179.87619519373902,-0.12380480626097778,547.7678207344392,79.89266971998252,6.856296361785406,1
fasttrack,village,anundsjo,,midpoints,6,8,,182.0,230.0,-1409.4166666666667,-480.9166666666667,179.21266689072357,-0.7873331092764317,506.4856465738945,75.23063304238111,6.732438982516154,1
fasttrack,village,are,,vowels,8,8,,89.0,227.0,-1410.375,-475.375,179.65118763083177,-0.348812369168229,542.0965558236882,114.21597283133916,4.746241198892498,1
fasttrack,village,are,,midpoints,6,8,,89.0,227.0,-1374.0,-484.4166666666667,179.90708147986135,-0.0929185201386531,492.5687897244385,98.45775264583591,5.0028441284483325,1
fasttrack,village,arjeplog,,vowels,8,8,,171.0,122.0,-1473.6875,-479.5625,177.37729873526663,-2.622701264733365,469.7531382857485,105.53273763883698,4.4512551156720415,1
fasttrack,village,arjeplog,,midpoints,6,8,,171.0,122.0,-1414.375,-497.3333333333333,176.6883991045878,-3.311600895412198,440.1926495387316,96.02703634257449,4.584049100175843,1
fasttrack,village,arstad,,vowels,8,8,,70.0,485.0,-1437.3125,-478.25,1.1127061550328392,1.1127061550328392,540.1272311968601,66.27592494078439,8.14967473753777,1
fasttrack,village,arstad,,midpoints,6,8,,70.0,485.0,-1363.625,-486.25,2.1458713717136106,2.1458713717136106,476.9103397351865,57.15764693957413,8.343771398416141,1
fasttrack,village,arsunda,,vowels,8,8,,156.0,343.0,-1335.125,-501.9375,179.28177913341378,-0.718220866586222,458.7359642896981,104.61821694714926,4.384857414664609,1
fasttrack,village,arsunda,,midpoints,6,8,,156.0,343.0,-1293.9166666666667,-509.3333333333333,179.12833722094314,-0.8716627790568623,420.75589019152005,93.97294399174085,4.477415225264196,1
fasttrack,village,asby,,vowels,8,8,,125.0,446.0,-1404.3125,-504.5,0.8466996339986963,0.8466996339986963,477.74951883147907,72.94347081721348,6.549585774834529,1
fasttrack,village,asby,,midpoints,6,8,,125.0,446.0,-1363.375,-511.9166666666667,1.7363298290104865,1.7363298290104865,448.9044773201329,46.94737115755209,9.561866112026612,1
fasttrack,village,aspas,,vowels,8,8,,112.0,229.0,-1347.71875,-448.75,179.93650863032715,-0.06349136967284608,498.6616299402487,117.61383936111855,4.239821033383416,1
fasttrack,village,aspas,,midpoints,6,8,,112.0,229.0,-1295.6041666666667,-462.8541666666667,179.5102935042183,-0.48970649578168945,453.71053234032223,104.18257076783401,4.354956198493076,1
fasttrack,village,bara,,vowels,8,8,,79.0,539.0,-1355.375,-497.5625,178.41361758397358,-1.5863824160264244,261.6249745280053,66.45858288388986,3.93666195057291,1
fasttrack,village,bara,,midpoints,6,8,,79.0,539.0,-1310.3333333333333,-505.0416666666667,178.91269088190955,-1.0873091180904453,205.22733083771817,56.527822888902286,3.6305543067006925,1
fasttrack,village,bengtsf,,vowels,8,8,,62.0,401.0,-1381.5,-461.125,179.26754480165445,-0.7324551983455478,551.7394730578126,75.9678052948472,7.262806539117386,1
fasttrack,village,bengtsf,,midpoints,6,8,,62.0,401.0,-1327.5833333333333,-474.8333333333333,179.80948710485688,-0.1905128951431152,487.72379938534414,61.73980763217457,7.899665031207124,1
fasttrack,village,berg,,vowels,8,8,,112.0,252.0,-1393.6875,-495.0625,1.7458888757790874,1.7458888757790874,478.36984982585983,116.61915729850247,4.101983421140727,1
fasttrack,village,berg,,midpoints,6,8,,112.0,252.0,-1347.5416666666667,-509.0,1.3109291055009749,1.3109291055009749,427.32477767676096,105.01176029461395,4.069304013930318,1
fasttrack,village,bjurholm,,vowels,8,8,,197.0,211.0,-1414.9375,-473.8125,177.96419701811794,-2.035802981882057,487.29657708080634,97.61148150946494,4.992205522805793,1
fasttrack,village,bjurholm,,midpoints,6,8,,197.0,211.0,-1364.25,-488.5416666666667,177.53902776508832,-2.4609722349116794,443.74668608930824,89.3902343739159,4.964151724148445,1
fasttrack,village,boda,,vowels,8,8,,163.0,475.0,-1353.625,-503.6875,178.56523430978012,-1.4347656902198764,454.83944006062774,103.33954443438415,4.401407443299015,1
fasttrack,village,boda,,midpoints,6,8,,163.0,475.0,-1295.9583333333333,-521.2916666666666,0.28493750530191164,0.28493750530191164,410.09872083404287,86.24404329352349,4.755096180246448,1
fasttrack,village,borga,,vowels,8,8,,337.0,331.0,-1385.375,-472.5,179.81514148891006,-0.1848585110899421,521.5881211469223,118.42309026112676,4.404446126146544,1
fasttrack,village,borga,,midpoints,6,8,,337.0,331.0,-1319.4583333333333,-487.3333333333333,179.75394297530966,-0.2460570246903444,389.8657238184607,111.91791400325964,3.483497054878147,1
fasttrack,village,brando,,vowels,8,8,,237.0,337.0,-1297.4375,-509.6875,3.984831994062972,3.984831994062972,439.0445560941394,111.33112249289795,3.9435922881505756,1
fasttrack,village,brando,,midpoints,6,8,,237.0,337.0,-1247.9166666666667,-519.0416666666666,3.3688083548424004,3.3688083548424004,357.5049494551076,94.62023144356783,3.7783140455360864,1
fasttrack,village,bredsattra,,vowels,8,8,,158.0,489.0,-1444.75,-484.1875,1.0546557565467083,1.0546557565467083,502.01875796840466,103.37216763093205,4.856420925221903,1
fasttrack,village,bredsattra,,midpoints,6,8,,158.0,489.0,-1388.5,-499.0833333333333,1.120416601047026,1.120416601047026,457.6638183359122,97.22831919178606,4.707104083874527,1
fasttrack,village,broby,,vowels,8,8,,99.0,510.0,-1460.90625,-474.03125,0.6991856237903278,0.6991856237903278,318.76979796745906,64.7615220873555,4.922209788977426,1
fasttrack,village,broby,,midpoints,6,8,,99.0,510.0,-1416.5833333333333,-482.375,1.1720709832683838,1.1720709832683838,286.7177257999267,58.66264679320818,4.887568861504596,1
fasttrack,village,burseryd,,vowels,8,8,,84.0,478.0,-1408.625,-453.125,177.60660433947646,-2.393395660523538,442.4896361118617,91.03096297033498,4.860869551122507,1
fasttrack,village,burseryd,,midpoints,6,8,,84.0,478.0,-1354.3333333333333,-470.0416666666667,178.29231979068706,-1.7076802093129402,403.17688581482344,81.60381166339111,4.940662422460048,1
fasttrack,village,burtrask,,vowels,8,8,,222.0,177.0,-1430.5,-499.125,1.1621697098354389,1.1621697098354389,439.36790258186375,128.18167813453434,3.427696602011411,1
fasttrack,village,burtrask,,midpoints,6,8,,222.0,177.0,-1387.125,-517.25,0.6467341607144874,0.6467341607144874,385.3643655747585,114.48656906014733,3.3660224840199486,1
fasttrack,village,dalby,,vowels,8,8,,82.0,336.0,-1381.53125,-464.21875,1.1343774945253529,1.1343774945253529,475.92496195043486,96.15862900313644,4.94937341437045,1
fasttrack,village,dalby,,midpoints,6,8,,82.0,336.0,-1338.6458333333333,-479.0833333333333,1.5258748876116783,1.5258748876116783,427.38280853640714,82.57586202012124,5.175638474500779,1
fasttrack,village,dragsfjard,,vowels,8,8,,272.0,350.0,-1381.4375,-470.8125,0.5339886027561249,0.5339886027561249,501.8564833971074,93.71970215642412,5.354866392548678,1
fasttrack,village,dragsfjard,,midpoints,6,8,,272.0,350.0,-1342.5,-483.2916666666667,0.25033400824511887,0.25033400824511887,417.3323782737202,84.33472867726056,4.948523399782359,1
fasttrack,village,faro,,vowels,8,8,,208.0,445.0,-1368.0,-479.5,177.35101595075056,-2.648984049249435,461.7312766919915,62.18531851385198,7.425085015671977,1
fasttrack,village,faro,,midpoints,6,8,,208.0,445.0,-1338.7916666666667,-479.125,178.9750591048476,-1.0249408951524117,412.46897593868295,41.10441648729367,10.034663211097685,1
fasttrack,village,floby,,vowels,8,8,,85.0,439.0,-1564.9375,-428.375,0.22100214939015927,0.22100214939015927,663.9191933872988,85.3013367117748,7.783221447403801,1
fasttrack,village,floby,,midpoints,6,8,,85.0,439.0,-1491.8333333333333,-442.875,0.6925900447779441,0.6925900447779441,583.0913192400424,75.48459341861603,7.724640126315369,1
fasttrack,village,frandef,,vowels,8,8,,63.0,423.0,-1437.0625,-463.5625,0.17127106838808004,0.17127106838808004,483.349740431632,92.12269494904058,5.246804174573986,1
fasttrack,village,frandef,,midpoints,6,8,,63.0,423.0,-1386.875,-477.2083333333333,0.357771976723285,0.357771976723285,442.3638594115014,82.3745716421523,5.370150649562069,1
fasttrack,village,frillesas,,vowels,8,8,,58.0,470.0,-1338.125,-511.28125,2.042413471888068,2.042413471888068,519.2650075309076,77.44700341430254,6.704778553575544,1
fasttrack,village,frillesas,,midpoints,6,8,,58.0,470.0,-1290.9583333333333,-520.5,3.343693556605473,3.343693556605473,466.3848251164877,63.63582181232352,7.328966796279655,1
fasttrack,village,grangarde,,vowels,8,8,,119.0,354.0,-1489.25,-555.625,1.9412688824932616,1.9412688824932616,663.6543075520974,86.49120142933009,7.67308462114905,1
fasttrack,village,grangarde,,midpoints,6,8,,119.0,354.0,-1425.9166666666667,-570.2916666666666,1.576586736560131,1.576586736560131,595.4044791642409,71.77801386561457,8.29508155908269,1
fasttrack,village,graso,,vowels,8,8,,189.0,350.0,-1408.0,-463.0625,1.547895114039619,1.547895114039619,553.2136490348868,89.93674634393714,6.151141458011843,1
fasttrack,village,graso,,midpoints,6,8,,189.0,350.0,-1370.1666666666667,-468.5833333333333,2.1125592719104134,2.1125592719104134,503.06779915134257,66.60610175019826,7.552878579173793,1
fasttrack,village,hammaro,,vowels,8,8,,90.0,391.0,-1386.9375,-504.4375,179.9786868092828,-0.021313190717194175,433.17183850800257,95.11763075655227,4.554064636204819,1
fasttrack,village,hammaro,,midpoints,6,8,,90.0,391.0,-1351.9583333333333,-517.7916666666666,0.7208596456041221,0.7208596456041221,386.5599792374572,79.27864331123484,4.875966125200788,1
fasttrack,village,hamneda,,vowels,8,8,,93.0,496.0,-1468.6875,-482.625,177.00179334902379,-2.998206650976215,439.6444628613317,78.0746599439993,5.631077524726666,1
fasttrack,village,hamneda,,midpoints,6,8,,93.0,496.0,-1422.5833333333333,-494.9166666666667,176.59230046780382,-3.407699532196176,400.42308379757736,71.22771437700142,5.621731474888786,1
fasttrack,village,haraker,,vowels,8,8,,149.0,373.0,-1247.375,-485.375,2.111857593311612,2.111857593311612,433.4454249899942,114.07904207591157,3.7995184488099643,1
fasttrack,village,haraker,,midpoints,6,8,,149.0,373.0,-1196.875,-498.125,2.0740935255355737,2.0740935255355737,376.22190000765113,101.52386150375168,3.7057485248800193,1
fasttrack,village,houtskar,,vowels,8,8,,245.0,347.0,-1464.5,-520.375,3.2610172836666607,3.2610172836666607,478.2428713973743,117.82775970710166,4.058830216123933,1
fasttrack,village,houtskar,,midpoints,6,8,,245.0,347.0,-1410.9166666666667,-539.5,4.5442575159530065,4.5442575159530065,375.37567821144444,104.86237110596336,3.5796985539467494,1
fasttrack,village,jamshog,,vowels,8,8,,108.0,514.0,-1452.6875,-496.0,176.09663658447923,-3.903363415520772,354.86930175638514,109.00748299776075,3.2554581758728887,1
fasttrack,village,jamshog,,midpoints,6,8,,108.0,514.0,-1429.125,-518.0833333333334,176.94008666480485,-3.059913335195148,305.35449210199647,103.69471813838177,2.9447448971749695,1
fasttrack,village,jarnboas,,vowels,8,8,,117.0,378.0,-1352.0,-464.25,178.62488231715614,-1.3751176828438645,445.4556425317762,72.74799335103624,6.1232705125251545,1
fasttrack,village,jarnboas,,midpoints,6,8,,117.0,378.0,-1285.4166666666667,-473.7916666666667,0.24023945166180738,0.24023945166180738,391.9918488033314,57.72168184555541,6.79106769362984,1
fasttrack,village,jarsnas,,vowels,8,8,,113.0,452.0,-1337.5,-463.875,0.7626968331256592,0.7626968331256592,438.4190041802434,76.92418569625691,5.699364903404842,1
fasttrack,village,jarsnas,,midpoints,6,8,,113.0,452.0,-1295.7083333333333,-475.5833333333333,1.99399830641147,1.99399830641147,399.1739740277052,59.48037947308563,6.711019290122856,1
fasttrack,village,karna,,vowels,8,8,,53.0,448.0,-1401.375,-506.1875,179.3816657287049,-0.6183342712951116,423.4825456083126,68.38136620216676,6.192952395193502,1
fasttrack,village,karna,,midpoints,6,8,,53.0,448.0,-1376.5833333333333,-513.6666666666666,179.80389525657134,-0.1961047434286627,391.5653187471486,57.662461686761866,6.790645201279085,1
fasttrack,village,karsta,,vowels,8,8,,186.0,377.0,-1457.375,-440.125,177.5294655349263,-2.4705344650737118,569.4339396402927,69.18935580827458,8.2300800894607,1
fasttrack,village,karsta,,midpoints,6,8,,186.0,377.0,-1395.75,-451.1666666666667,177.74495191574604,-2.255048084253957,518.4921115909472,58.11236430078798,8.922233982896419,1
fasttrack,village,korsberga,,vowels,8,8,,100.0,432.0,-1411.875,-459.5625,177.7353338942303,-2.2646661057696917,559.7060161990646,108.96055758458586,5.1367763584044255,1
fasttrack,village,korsberga,,midpoints,6,8,,100.0,432.0,-1342.25,-477.5416666666667,178.3929691358495,-1.607030864150488,489.47590577424705,97.12091990476156,5.039860683509129,1
fasttrack,village,kramfors,,vowels,8,8,,173.0,248.0,-1450.5625,-477.0625,179.74283123269174,-0.2571687673082579,502.2884952915262,91.09164144218495,5.514100825708846,1
fasttrack,village,kramfors,,midpoints,6,8,,173.0,248.0,-1397.5,-487.5833333333333,179.3135631390175,-0.6864368609824965,449.07009052945676,82.34072782367302,5.453802782641287,1
fasttrack,village,kyrkslatt,,vowels,8,8,,310.0,347.0,-1421.1875,-460.0625,2.2899489731613585,2.2899489731613585,553.1492283674309,104.24607261914413,5.30618770059879,1
fasttrack,village,kyrkslatt,,midpoints,6,8,,310.0,347.0,-1381.6666666666667,-472.75,1.5571224770967262,1.5571224770967262,465.88711796539803,88.28977846026086,5.276795639204071,1
fasttrack,village,lanna,,vowels,8,8,,161.0,393.0,-1319.0625,-486.59375,178.58159585228015,-1.4184041477198548,424.1210160147199,112.2356464637759,3.7788441495866927,1
fasttrack,village,lanna,,midpoints,6,8,,161.0,393.0,-1273.2083333333333,-500.3541666666667,1.2832047986893258,1.2832047986893258,372.36308487091327,92.43874212823525,4.028214537518849,1
fasttrack,village,leksand,,vowels,8,8,,120.0,335.0,-1442.90625,-481.90625,178.59351650305354,-1.4064834969464641,531.7619800801352,107.54076314441124,4.94474806140308,1
fasttrack,village,leksand,,midpoints,6,8,,120.0,335.0,-1386.8541666666667,-495.375,179.0225310991575,-0.9774689008424957,474.4243881767105,96.06145172399057,4.938759301075884,1
fasttrack,village,loderup,,vowels,8,8,,98.0,543.0,-1423.875,-594.75,173.53908429330406,-6.460915706695943,235.63313125253597,74.44995173449081,3.1649870250133825,1
fasttrack,village,loderup,,midpoints,6,8,,98.0,543.0,-1382.5833333333333,-600.5833333333334,171.45842854778377,-8.541571452216232,169.29899548001688,65.06330350351547,2.602065778459426,1
fasttrack,village,malung,,vowels,8,8,,96.0,337.0,-1500.5,-422.25,178.1743115191279,-1.8256884808720883,569.2470037814908,81.10305683913893,7.0188107078447635,1
fasttrack,village,malung,,midpoints,6,8,,96.0,337.0,-1446.0416666666667,-432.6666666666667,178.28370359218545,-1.7162964078145535,507.33054227242076,71.13383836757858,7.1320563309241045,1
fasttrack,village,n_rorum,,vowels,8,8,,84.0,522.0,-1533.96875,-491.40625,177.80235309125484,-2.1976469087451562,301.7232770391731,62.202142273853035,4.850689478037542,1
fasttrack,village,n_rorum,,midpoints,6,8,,84.0,522.0,-1483.1666666666667,-498.1458333333333,177.49323339987188,-2.506766600128117,237.94971617755206,58.452720996167095,4.070806493219624,1
fasttrack,village,narpes,,vowels,8,8,,237.0,258.0,-1385.125,-508.8125,179.87132009255623,-0.12867990744376812,464.0394313422688,95.36185735457974,4.86609053362763,1
fasttrack,village,narpes,,midpoints,6,8,,237.0,258.0,-1354.25,-507.3333333333333,4.295983784074963,4.295983784074963,390.68069705402934,44.7429839868155,8.731663877607089,1
fasttrack,village,nora,,vowels,8,8,,160.0,357.0,-1325.875,-455.0,2.9010884909639003,2.9010884909639003,366.6694011223042,105.21014818262918,3.4851143873100585,1
fasttrack,village,nora,,midpoints,6,8,,160.0,357.0,-1309.0,-464.0416666666667,1.8257313754241125,1.8257313754241125,359.1658578727907,92.72026183725437,3.8736501683225435,1
fasttrack,village,nysatra,,vowels,8,8,,228.0,188.0,-1406.3125,-502.1875,0.48998316591826097,0.48998316591826097,473.52545800210385,110.40278326414243,4.289071742595275,1
fasttrack,village,nysatra,,midpoints,6,8,,228.0,188.0,-1357.0,-516.0833333333334,179.6010790500771,-0.3989209499229105,435.30140059461087,101.67341002954888,4.281369145267196,1
fasttrack,village,ockelbo,,vowels,8,8,,156.0,328.0,-1407.1875,-483.8125,179.9373757214247,-0.06262427857529929,485.16614793967176,109.04068687137163,4.449404730107684,1
fasttrack,village,ockelbo,,midpoints,6,8,,156.0,328.0,-1362.0,-495.3333333333333,0.4063368115140804,0.4063368115140804,441.12515879663465,95.23319244523175,4.6320526223073335,1
fasttrack,village,orust,,vowels,8,8,,49.0,436.0,-1446.375,-460.5,179.7552657744491,-0.24473422555089996,555.6832152264492,60.10113525094861,9.245802311490921,1
