method,grouping,village,speaker,pair,first_vowel,second_vowel,display_x,display_y,geo_x,geo_y
fasttrack,village,ankarsrum,,uː->oː,uː,oː,-818.0,-448.5,149.0,456.0
fasttrack,village,ankarsrum,,oː->ɑː,oː,ɑː,-868.0,-508.5,149.0,456.0
fasttrack,village,ankarsrum,,ɑː->æː,ɑː,æː,-1296.75,-603.0,149.0,456.0
fasttrack,village,ankarsrum,,æː->eː,æː,eː,-1737.5,-533.0,149.0,456.0
fasttrack,village,ankarsrum,,yː->ʉ̟ː,yː,ʉ̟ː,-1779.0,-444.75,149.0,456.0
fasttrack,village,ankarsrum,,ʉ̟ː->øː,ʉ̟ː,øː,-1473.25,-510.5,149.0,456.0
fasttrack,village,anundsjo,,uː->oː,uː,oː,-780.0,-426.5,182.0,230.0
fasttrack,village,anundsjo,,oː->ɑː,oː,ɑː,-839.0,-510.0,182.0,230.0
fasttrack,village,anundsjo,,ɑː->æː,ɑː,æː,-1342.0,-582.75,182.0,230.0
fasttrack,village,anundsjo,,æː->eː,æː,eː,-1889.5,-543.75,182.0,230.0
fasttrack,village,anundsjo,,yː->ʉ̟ː,yː,ʉ̟ː,-1892.5,-392.5,182.0,230.0
fasttrack,village,anundsjo,,ʉ̟ː->øː,ʉ̟ː,øː,-1713.5,-430.0,182.0,230.0
fasttrack,village,are,,uː->oː,uː,oː,-740.5,-412.0,89.0,227.0
fasttrack,village,are,,oː->ɑː,oː,ɑː,-854.0,-505.5,89.0,227.0
fasttrack,village,are,,ɑː->æː,ɑː,æː,-1336.5,-602.0,89.0,227.0
fasttrack,village,are,,æː->eː,æː,eː,-1850.0,-579.5,89.0,227.0
fasttrack,village,are,,yː->ʉ̟ː,yː,ʉ̟ː,-1901.5,-345.0,89.0,227.0
fasttrack,village,are,,ʉ̟ː->øː,ʉ̟ː,øː,-1561.5,-462.5,89.0,227.0
fasttrack,village,arjeplog,,uː->oː,uː,oː,-918.5,-430.25,171.0,122.0
fasttrack,village,arjeplog,,oː->ɑː,oː,ɑː,-897.25,-546.0,171.0,122.0
fasttrack,village,arjeplog,,ɑː->æː,ɑː,æː,-1294.0,-631.0,171.0,122.0
fasttrack,village,arjeplog,,æː->eː,æː,eː,-1805.5,-569.75,171.0,122.0
fasttrack,village,arjeplog,,yː->ʉ̟ː,yː,ʉ̟ː,-1854.5,-375.25,171.0,122.0
fasttrack,village,arjeplog,,ʉ̟ː->øː,ʉ̟ː,øː,-1716.5,-431.75,171.0,122.0
fasttrack,village,arstad,,uː->oː,uː,oː,-907.0,-426.25,70.0,485.0
fasttrack,village,arstad,,oː->ɑː,oː,ɑː,-767.25,-477.0,70.0,485.0
fasttrack,village,arstad,,ɑː->æː,ɑː,æː,-1297.0,-576.5,70.0,485.0
fasttrack,village,arstad,,æː->eː,æː,eː,-2005.25,-541.5,70.0,485.0
fasttrack,village,arstad,,yː->ʉ̟ː,yː,ʉ̟ː,-1746.0,-440.5,70.0,485.0
fasttrack,village,arstad,,ʉ̟ː->øː,ʉ̟ː,øː,-1459.25,-455.75,70.0,485.0
fasttrack,village,arsunda,,uː->oː,uː,oː,-776.25,-445.0,156.0,343.0
fasttrack,village,arsunda,,oː->ɑː,oː,ɑː,-827.25,-521.5,156.0,343.0
fasttrack,village,arsunda,,ɑː->æː,ɑː,æː,-1231.75,-634.75,156.0,343.0
fasttrack,village,arsunda,,æː->eː,æː,eː,-1663.75,-596.75,156.0,343.0
fasttrack,village,arsunda,,yː->ʉ̟ː,yː,ʉ̟ː,-1754.0,-385.5,156.0,343.0
fasttrack,village,arsunda,,ʉ̟ː->øː,ʉ̟ː,øː,-1510.5,-472.5,156.0,343.0
fasttrack,village,asby,,uː->oː,uː,oː,-826.5,-462.0,125.0,446.0
fasttrack,village,asby,,oː->ɑː,oː,ɑː,-831.5,-501.5,125.0,446.0
fasttrack,village,asby,,ɑː->æː,ɑː,æː,-1364.0,-586.5,125.0,446.0
fasttrack,village,asby,,æː->eː,æː,eː,-1899.25,-533.5,125.0,446.0
fasttrack,village,asby,,yː->ʉ̟ː,yː,ʉ̟ː,-1687.5,-457.5,125.0,446.0
fasttrack,village,asby,,ʉ̟ː->øː,ʉ̟ː,øː,-1571.5,-530.5,125.0,446.0
fasttrack,village,aspas,,uː->oː,uː,oː,-740.75,-383.0,112.0,229.0
