village,speaker,vowel,n_speakers,n_tokens,geo_x,geo_y,display_x,display_y
ankarsrum,,eː,3,15,149.0,456.0,-1855.5,-440.0
ankarsrum,,oː,3,15,149.0,456.0,-762.0,-437.0
ankarsrum,,uː,3,15,149.0,456.0,-874.0,-460.0
ankarsrum,,yː,3,15,149.0,456.0,-1946.0,-458.0
ankarsrum,,æː,3,30,149.0,456.0,-1619.5,-626.0
ankarsrum,,øː,3,39,149.0,456.0,-1334.5,-589.5
ankarsrum,,ɑː,3,15,149.0,456.0,-974.0,-580.0
ankarsrum,,ʉ̟ː,3,16,149.0,456.0,-1612.0,-431.5
anundsjo,,eː,3,15,182.0,230.0,-1975.0,-482.0
anundsjo,,oː,3,15,182.0,230.0,-798.0,-460.0
anundsjo,,uː,3,15,182.0,230.0,-762.0,-393.0
anundsjo,,yː,3,16,182.0,230.0,-2028.0,-397.0
anundsjo,,æː,3,30,182.0,230.0,-1804.0,-605.5
anundsjo,,øː,3,45,182.0,230.0,-1670.0,-472.0
anundsjo,,ɑː,3,15,182.0,230.0,-880.0,-560.0
anundsjo,,ʉ̟ː,3,15,182.0,230.0,-1757.0,-388.0
are,,eː,3,18,89.0,227.0,-1967.0,-515.0
are,,oː,3,16,89.0,227.0,-768.0,-451.0
are,,uː,3,16,89.0,227.0,-713.0,-373.0
are,,yː,3,16,89.0,227.0,-2039.0,-335.0
are,,æː,3,33,89.0,227.0,-1733.0,-644.0
are,,øː,3,58,89.0,227.0,-1359.0,-570.0
are,,ɑː,3,16,89.0,227.0,-940.0,-560.0
are,,ʉ̟ː,3,16,89.0,227.0,-1764.0,-355.0
arjeplog,,eː,3,18,171.0,122.0,-1964.5,-480.5
arjeplog,,oː,3,18,171.0,122.0,-853.0,-489.0
arjeplog,,uː,3,17,171.0,122.0,-984.0,-371.5
arjeplog,,yː,3,15,171.0,122.0,-1967.0,-370.0
arjeplog,,æː,3,35,171.0,122.0,-1646.5,-659.0
arjeplog,,øː,3,51,171.0,122.0,-1691.0,-483.0
arjeplog,,ɑː,3,17,171.0,122.0,-941.5,-603.0
arjeplog,,ʉ̟ː,3,17,171.0,122.0,-1742.0,-380.5
arstad,,eː,3,15,70.0,485.0,-2222.5,-464.0
arstad,,oː,3,13,70.0,485.0,-728.5,-420.0
arstad,,uː,3,14,70.0,485.0,-1085.5,-432.5
arstad,,yː,3,13,70.0,485.0,-1949.5,-445.0
arstad,,æː,3,24,70.0,485.0,-1788.0,-619.0
arstad,,øː,3,43,70.0,485.0,-1376.0,-475.5
arstad,,ɑː,3,13,70.0,485.0,-806.0,-534.0
arstad,,ʉ̟ː,3,13,70.0,485.0,-1542.5,-436.0
arsunda,,eː,3,15,156.0,343.0,-1735.0,-518.0
arsunda,,oː,3,14,156.0,343.0,-783.5,-449.0
arsunda,,uː,3,15,156.0,343.0,-769.0,-441.0
arsunda,,yː,3,15,156.0,343.0,-1909.0,-393.0
arsunda,,æː,3,28,156.0,343.0,-1592.5,-675.5
arsunda,,øː,3,44,156.0,343.0,-1422.0,-567.0
arsunda,,ɑː,3,15,156.0,343.0,-871.0,-594.0
arsunda,,ʉ̟ː,3,15,156.0,343.0,-1599.0,-378.0
asby,,eː,3,16,125.0,446.0,-1982.5,-436.0
asby,,oː,3,19,125.0,446.0,-751.0,-461.0
asby,,uː,3,15,125.0,446.0,-902.0,-463.0
asby,,yː,3,14,125.0,446.0,-1728.0,-442.0
asby,,æː,3,29,125.0,446.0,-1816.0,-631.0
asby,,øː,3,48,125.0,446.0,-1496.0,-588.0
asby,,ɑː,3,16,125.0,446.0,-912.0,-542.0
asby,,ʉ̟ː,3,16,125.0,446.0,-1647.0,-473.0
aspas,,eː,2,11,112.0,229.0,-1796.0,-472.75
aspas,,oː,2,10,112.0,229.0,-762.0,-425.0
aspas,,uː,2,10,112.0,229.0,-719.5,-341.0
aspas,,yː,2,10,112.0,229.0,-1997.0,-320.0
aspas,,æː,2,20,112.0,229.0,-1531.0,-676.25
aspas,,øː,2,35,112.0,229.0,-1503.75,-492.0
aspas,,ɑː,2,10,112.0,229.0,-850.5,-513.0
aspas,,ʉ̟ː,2,10,112.0,229.0,-1622.0,-350.0
bara,,eː,3,13,79.0,539.0,-1765.5,-517.0
bara,,oː,3,14,79.0,539.0,-1115.5,-516.5
bara,,uː,3,15,79.0,539.0,-1242.5,-420.5
bara,,yː,3,14,79.0,539.0,-1672.0,-430.5
bara,,æː,3,27,79.0,539.0,-1440.0,-608.0
bara,,øː,3,40,79.0,539.0,-1282.0,-532.5
bara,,ɑː,3,12,79.0,539.0,-999.5,-532.0
bara,,ʉ̟ː,3,13,79.0,539.0,-1326.0,-423.5
bengtsf,,eː,3,13,62.0,401.0,-2189.5,-403.0
bengtsf,,oː,3,14,62.0,401.0,-759.0,-459.0
bengtsf,,uː,3,13,62.0,401.0,-699.0,-393.0
bengtsf,,yː,3,12,62.0,401.0,-1711.0,-387.5
bengtsf,,æː,3,26,62.0,401.0,-1816.0,-574.0
bengtsf,,øː,3,40,62.0,401.0,-1573.5,-496.5
bengtsf,,ɑː,3,14,62.0,401.0,-848.0,-565.0
bengtsf,,ʉ̟ː,3,13,62.0,401.0,-1456.0,-411.0
berg,,eː,3,15,112.0,252.0,-1839.0,-546.5
berg,,oː,3,15,112.0,252.0,-818.0,-473.0
berg,,uː,3,15,112.0,252.0,-811.0,-346.0
berg,,yː,3,14,112.0,252.0,-2019.0,-380.0
berg,,æː,3,29,112.0,252.0,-1700.0,-682.5
berg,,øː,3,42,112.0,252.0,-1459.5,-540.5
berg,,ɑː,3,14,112.0,252.0,-934.0,-598.0
berg,,ʉ̟ː,3,14,112.0,252.0,-1569.0,-394.0
bjurholm,,eː,3,15,197.0,211.0,-1864.0,-451.0
bjurholm,,oː,3,14,197.0,211.0,-786.5,-464.0
bjurholm,,uː,3,14,197.0,211.0,-803.0,-406.0
bjurholm,,yː,3,15,197.0,211.0,-2040.0,-377.0
bjurholm,,æː,3,33,197.0,211.0,-1632.0,-646.5
bjurholm,,øː,3,44,197.0,211.0,-1561.0,-484.5
bjurholm,,ɑː,3,16,197.0,211.0,-992.0,-590.5
bjurholm,,ʉ̟ː,3,14,197.0,211.0,-1641.0,-371.0
boda,,eː,1,5,163.0,475.0,-1973.0,-447.0
boda,,oː,1,5,163.0,475.0,-758.0,-446.0
boda,,uː,1,4,163.0,475.0,-831.5,-427.0
boda,,yː,1,5,163.0,475.0,-1749.0,-395.0
boda,,æː,1,9,163.0,475.0,-1513.0,-679.0
boda,,øː,1,18,163.0,475.0,-1553.0,-534.5
boda,,ɑː,1,5,163.0,475.0,-924.0,-638.0
boda,,ʉ̟ː,1,4,163.0,475.0,-1527.5,-463.0
borga,,eː,1,4,337.0,331.0,-1910.5,-497.5
borga,,oː,1,5,337.0,331.0,-804.0,-508.0
borga,,uː,1,5,337.0,331.0,-776.0,-390.0
borga,,yː,1,4,337.0,331.0,-2124.5,-331.0
borga,,æː,1,10,337.0,331.0,-1783.5,-573.5
borga,,øː,1,14,337.0,331.0,-1521.5,-493.5
borga,,ɑː,1,4,337.0,331.0,-1156.5,-663.5
borga,,ʉ̟ː,1,4,337.0,331.0,-1006.5,-323.0
brando,,eː,3,23,237.0,337.0,-1777.0,-555.0
brando,,oː,3,10,237.0,337.0,-807.5,-496.0
brando,,uː,3,11,237.0,337.0,-728.0,-353.0
brando,,yː,3,10,237.0,337.0,-1904.0,-419.0
brando,,æː,3,10,237.0,337.0,-1574.0,-657.0
brando,,øː,3,33,237.0,337.0,-1375.0,-599.5
brando,,ɑː,3,10,237.0,337.0,-993.0,-617.0
brando,,ʉ̟ː,3,12,237.0,337.0,-1221.0,-381.0
bredsattra,,eː,3,15,158.0,489.0,-2034.0,-490.0
bredsattra,,oː,3,15,158.0,489.0,-784.0,-444.0
bredsattra,,uː,3,15,158.0,489.0,-855.0,-393.0
bredsattra,,yː,3,13,158.0,489.0,-1964.0,-408.0
bredsattra,,æː,3,29,158.0,489.0,-1719.0,-686.5
bredsattra,,øː,3,39,158.0,489.0,-1601.0,-467.0
bredsattra,,ɑː,3,13,158.0,489.0,-968.0,-588.0
bredsattra,,ʉ̟ː,3,14,158.0,489.0,-1633.0,-397.0
broby,,eː,2,7,99.0,510.0,-1871.5,-450.75
broby,,oː,2,8,99.0,510.0,-926.5,-436.5
broby,,uː,2,8,99.0,510.0,-1428.5,-443.0
broby,,yː,2,8,99.0,510.0,-1670.0,-457.5
broby,,æː,2,16,99.0,510.0,-1708.0,-603.0
broby,,øː,2,23,99.0,510.0,-1405.5,-444.75
broby,,ɑː,2,8,99.0,510.0,-1095.5,-544.5
broby,,ʉ̟ː,2,7,99.0,510.0,-1581.75,-412.25
burseryd,,eː,2,10,84.0,478.0,-2008.0,-413.5
burseryd,,oː,2,10,84.0,478.0,-835.5,-442.75
burseryd,,uː,2,11,84.0,478.0,-965.25,-384.0
burseryd,,yː,2,9,84.0,478.0,-1826.75,-376.5
burseryd,,æː,2,13,84.0,478.0,-1573.5,-633.5
burseryd,,øː,2,30,84.0,478.0,-1486.0,-435.5
burseryd,,ɑː,2,10,84.0,478.0,-936.0,-555.0
burseryd,,ʉ̟ː,2,9,84.0,478.0,-1638.0,-384.25
burtrask,,eː,3,22,222.0,177.0,-1871.5,-492.0
burtrask,,oː,3,12,222.0,177.0,-811.0,-460.0
burtrask,,uː,3,17,222.0,177.0,-823.0,-360.0
burtrask,,yː,3,12,222.0,177.0,-1994.0,-384.0
burtrask,,æː,3,25,222.0,177.0,-1596.5,-660.5
burtrask,,øː,3,42,222.0,177.0,-1554.0,-543.0
burtrask,,ɑː,3,12,222.0,177.0,-1254.0,-703.0
burtrask,,ʉ̟ː,3,11,222.0,177.0,-1540.0,-390.5
dalby,,eː,2,15,82.0,336.0,-1906.75,-423.5
dalby,,oː,2,8,82.0,336.0,-790.75,-431.5
dalby,,uː,2,8,82.0,336.0,-748.5,-378.75
dalby,,yː,2,7,82.0,336.0,-1870.0,-385.25
dalby,,æː,2,7,82.0,336.0,-1739.75,-642.75
dalby,,øː,2,21,82.0,336.0,-1515.5,-491.0
dalby,,ɑː,2,8,82.0,336.0,-981.0,-569.75
dalby,,ʉ̟ː,2,7,82.0,336.0,-1500.0,-391.25
dragsfjard,,eː,3,18,272.0,350.0,-1898.0,-505.5
dragsfjard,,oː,3,9,272.0,350.0,-852.0,-506.0
dragsfjard,,uː,3,9,272.0,350.0,-668.0,-383.0
dragsfjard,,yː,3,9,272.0,350.0,-1842.0,-363.5
dragsfjard,,æː,3,8,272.0,350.0,-1950.0,-517.0
dragsfjard,,øː,3,30,272.0,350.0,-1585.0,-481.5
dragsfjard,,ɑː,3,10,272.0,350.0,-1099.0,-638.0
dragsfjard,,ʉ̟ː,3,10,272.0,350.0,-1157.5,-372.0
faro,,eː,3,12,208.0,445.0,-1758.5,-507.5
faro,,oː,3,14,208.0,445.0,-794.0,-431.0
faro,,uː,3,11,208.0,445.0,-905.0,-500.0
faro,,yː,3,13,208.0,445.0,-1773.0,-384.5
faro,,æː,3,22,208.0,445.0,-2027.5,-463.5
faro,,øː,3,32,208.0,445.0,-1386.0,-530.5
faro,,ɑː,3,11,208.0,445.0,-928.0,-590.0
faro,,ʉ̟ː,3,9,208.0,445.0,-1372.0,-429.0
floby,,eː,3,11,85.0,439.0,-2379.5,-417.0
floby,,oː,3,13,85.0,439.0,-804.0,-402.0
floby,,uː,3,13,85.0,439.0,-731.0,-345.0
floby,,yː,3,14,85.0,439.0,-2241.0,-337.0
