village,speaker,vowel,word,f1_20,f2_20,f1_50,f2_50,f1_80,f2_80,VL,x,y,complete
alvdalen,ym_1,øː,blöt,527,1331,445,1644,480,807,526,105,315,0
alvdalen,ym_1,øː,blöt,411,816,409,576,422,825,14,105,315,0
alvdalen,ym_1,øː,blöt,480,936,413,772,423,747,197,105,315,0
alvdalen,ym_1,øː,lös,455,821,509,2107,380,1013,206,105,315,0
alvdalen,ym_1,øː,lös,425,869,454,1738,472,665,209,105,315,0
alvdalen,ym_1,øː,lös,492,954,475,701,493,630,323,105,315,0
alvdalen,ym_1,øː,lös,453,960,524,1697,444,705,255,105,315,0
alvdalen,ym_1,eː,gles,494,1865,417,2064,470,1872,25,105,315,0
alvdalen,ym_1,eː,gles,476,1879,450,1595,506,853,1027,105,315,0
alvdalen,ym_1,eː,gles,435,1540,454,736,472,1901,363,105,315,0
alvdalen,ym_1,oː,lås,529,927,536,1574,614,1430,510,105,315,0
alvdalen,ym_1,oː,lås,544,824,527,1860,519,786,45,105,315,0
alvdalen,ym_1,oː,lås,625,921,628,1359,632,678,242,105,315,0
alvdalen,ym_1,uː,sot,436,917,370,911,468,991,80,105,315,0
alvdalen,ym_1,uː,sot,510,822,369,1689,465,1042,224,105,315,0
alvdalen,ym_1,uː,sot,415,913,362,697,494,1013,128,105,315,0
alvdalen,ym_1,uː,rot,492,965,344,962,448,997,55,105,315,0
alvdalen,ym_1,uː,rot,487,1074,368,1235,477,927,147,105,315,0
alvdalen,ym_1,uː,rot,497,1029,502,1014,506,904,126,105,315,0
alvdalen,ym_1,ʉ̟ː,lus,634,1086,541,955,487,858,272,105,315,0
alvdalen,ym_1,ʉ̟ː,lus,641,1110,571,964,496,847,300,105,315,0
alvdalen,ym_1,ʉ̟ː,lus,619,1146,575,1024,588,1033,117,105,315,0
alvdalen,ym_1,øː,söt,421,1774,397,1847,522,1341,445,105,315,0
alvdalen,ym_1,øː,söt,430,1814,379,1577,527,1324,500,105,315,0
alvdalen,ym_1,øː,söt,440,1686,481,1878,578,1400,318,105,315,0
alvdalen,ym_1,øː,blöt,503,912,476,651,417,786,152,105,315,0
alvdalen,ym_1,øː,blöt,503,970,468,1754,562,1165,203,105,315,0
alvdalen,ym_2,øː,blöt,510,912,500,802,477,817,100,105,315,0
alvdalen,ym_2,øː,blöt,485,917,436,777,404,889,86,105,315,0
alvdalen,ym_2,øː,blöt,527,1036,648,791,776,862,304,105,315,0
alvdalen,ym_2,øː,blöt,526,966,498,840,561,1370,405,105,315,0
alvdalen,ym_2,øː,lös,542,841,466,734,471,819,75,105,315,0
alvdalen,ym_2,øː,lös,475,818,458,751,464,756,63,105,315,0
alvdalen,ym_2,øː,lös,529,983,498,779,458,774,221,105,315,0
alvdalen,ym_2,eː,gles,404,2170,393,2424,389,2430,260,105,315,0
alvdalen,ym_2,eː,gles,438,2284,414,2433,404,1888,398,105,315,0
alvdalen,ym_2,eː,gles,419,2206,404,2381,534,2431,253,105,315,0
alvdalen,ym_2,oː,lås,518,886,521,919,671,2182,1306,105,315,0
alvdalen,ym_2,oː,lås,375,938,451,857,475,990,113,105,315,0
alvdalen,ym_2,oː,lås,534,931,560,1070,869,1743,879,105,315,0
alvdalen,ym_2,oː,lås,527,883,489,1011,660,790,162,105,315,0
