village,speaker,first_vowel,second_vowel,geo_x,geo_y,first_x,first_y,second_x,second_y,pair_dx,pair_dy,pair_length,directed_angle_from_horizontal_deg,geo_position,geographic_group
ankarsrum,ym_1,uː,oː,149.0,456.0,-8.59911170929,-4.59300041271,-6.83233160622,-4.14537489469,1.7667801030699994,0.4476255180200006,1.8226026821517387,14.21710975455645,94.43409687486621,Centre
ankarsrum,ym_2,uː,oː,149.0,456.0,-7.73815102329,-4.41250104037,-6.97522409993,-4.35776387151,0.7629269233600002,0.05473716885999913,0.7648879970573232,4.103727342605288,94.43409687486621,Centre
ankarsrum,ym_3,uː,oː,149.0,456.0,-7.52639543183,-4.56611570248,-7.33710165826,-4.75292093404,0.1892937735700002,-0.18680523155999929,0.26594797846675855,-44.62089537165415,94.43409687486621,Centre
anundsjo,ym_1,uː,oː,182.0,230.0,-7.34392792793,-4.56611570248,-6.10043010753,-4.58404624277,1.2434978204,-0.017930540290000074,1.2436270878421078,-0.8261157142028658,322.74929689041943,North
anundsjo,ym_2,uː,oː,182.0,230.0,-6.97522409993,-3.94782830429,-7.26168657257,-4.56611570248,-0.28646247264000024,-0.6182873981900001,0.6814250178791373,-114.85904633025608,322.74929689041943,North
anundsjo,ym_3,uː,oː,182.0,230.0,-5.85730275942,-3.29329833771,-7.22720812183,-4.09865766146,-1.3699053624100008,-0.8053593237499999,1.5891017407047079,-149.54897942744302,322.74929689041943,North
are,ym_1,uː,oː,89.0,227.0,-6.161940958400001,-3.7554512128599997,-7.017517629855,-4.606394773630001,-0.8555766714549993,-0.8509435607700011,1.2066964756532375,-135.15555457886398,309.8163893481515,North
are,ym_2,uː,oː,89.0,227.0,-6.62133931912,-3.17199648197,-6.87542097489,-4.22897188418,-0.2540816557700003,-1.05697540221,1.0870853180297377,-103.51662090445207,309.8163893481515,North
are,ym_3,uː,oː,89.0,227.0,-7.13,-4.13604719764,-7.1995352215,-4.48506014102,-0.0695352214999998,-0.34901294338,0.35587242331462704,-101.26772204606434,309.8163893481515,North
arjeplog,ym_1,uː,oː,171.0,122.0,-8.77580279813,-3.85251387111,-7.59972982581,-4.56611570248,1.17607297232,-0.7136018313700001,1.375636292759179,-31.247978660526645,427.2821082142336,North
arjeplog,ym_2,uː,oː,171.0,122.0,-7.795933646685,-3.278071972885,-7.783506680655,-4.8213494451950005,0.012426966030000486,-1.5432774723100007,1.543327504460494,-89.5386459466259,427.2821082142336,North
arjeplog,ym_3,uː,oː,171.0,122.0,-8.430899601955,-3.7396015336649997,-7.47269863994,-4.89310541311,0.9582009620149998,-1.153503879445,1.4995733671618525,-50.2840199303028,427.2821082142336,North
arstad,ym_1,uː,oː,70.0,485.0,-8.65840375587,-3.90979991486,-6.733540865225,-4.172993971025001,1.9248628906449996,-0.263194056165001,1.9427733421536362,-7.7859935939324085,52.36353118905221,South
arstad,ym_2,uː,oː,70.0,485.0,-9.03997375328,-4.691010682,-8.015171678905,-5.159578581625,1.0248020743749997,-0.46856789962500045,1.1268430095635713,-24.571192245936082,52.36353118905221,South
arstad,ym_3,uː,oː,70.0,485.0,-9.023342997185,-4.3165068439350005,-6.40571860817,-4.20117647059,2.617624389015001,0.1153303733450004,2.620163837812829,2.5227732592374816,52.36353118905221,South
arsunda,ym_1,uː,oː,156.0,343.0,-6.36051554208,-3.28323851204,-6.9681293642,-4.23822147651,-0.6076138221200003,-0.9549829644699996,1.1318953216880012,-122.46681027949037,206.96864741095214,North
arsunda,ym_2,uː,oː,156.0,343.0,-7.02474166361,-4.47601659751,-7.12640241804,-5.031194509560001,-0.10166075442999922,-0.5551779120500004,0.5644089147236023,-100.3766897576527,206.96864741095214,North
arsunda,ym_3,uː,oː,156.0,343.0,-7.13697632058,-4.39428571429,-7.50629510539,-4.46696554587,-0.3693187848100008,-0.07267983158000035,0.37640234156024177,-168.86678466273318,206.96864741095214,North
asby,ym_1,uː,oː,125.0,446.0,-7.91955276031,-4.71758719737,-6.896883585685,-4.668768711369999,1.0226691746250003,0.04881848600000094,1.0238337195577765,2.733016254279905,100.186736530837,Centre
asby,ym_2,uː,oː,125.0,446.0,-7.38478245236,-4.30275198662,-6.669021657955,-3.885916510025,0.715760794405,0.41683547659499975,0.8282906068255617,30.215110429203833,100.186736530837,Centre
asby,ym_3,uː,oː,125.0,446.0,-8.68790090392,-4.59300041271,-7.26856729378,-4.57508467575,1.419333610139999,0.01791573696000004,1.4194466775838612,0.7231855815922483,100.186736530837,Centre
aspas,ym_2,uː,oː,112.0,229.0,-6.62869109948,-3.4332173913,-7.13,-4.43976724855,-0.5013089005199998,-1.00654985725,1.124479092233629,-116.47545156282015,311.77528251009113,North
aspas,ym_3,uː,oː,112.0,229.0,-6.70919925512,-3.45306689835,-6.81792592593,-4.0517428088,-0.10872667081000031,-0.5986759104500003,0.6084688444764966,-100.29340530030551,311.77528251009113,North
bara,ym_1,uː,oː,79.0,539.0,-9.870653605775,-4.44380635146,-9.190387336715,-5.0486152706950005,0.6802662690600005,-0.6048089192350004,0.9102505290341897,-41.639551365856995,0.6950911219785691,South
bara,ym_2,uː,oː,79.0,539.0,-10.616388975700001,-4.2055947881,-10.0814490324,-5.402894457705,0.5349399433000013,-1.197299669605,1.3113684614836711,-65.92544870735313,0.6950911219785691,South
bara,ym_3,uː,oː,79.0,539.0,-8.71142761618,-4.11736819907,-8.458167188885,-5.060778731945,0.2532604272950003,-0.9434105328749993,0.9768133279051512,-74.97312541648321,0.6950911219785691,South
bengtsf,ym_1,uː,oː,62.0,401.0,-6.88601490138,-4.07478787589,-7.17872773537,-4.82324213965,-0.2927128339899996,-0.7484542637599993,0.8036570090050729,-111.3599614919476,133.76174405913517,Centre
bengtsf,ym_2,uː,oː,62.0,401.0,-6.51783377209,-3.91931914894,-6.95392423685,-4.55713931377,-0.43609046475999946,-0.6378201648299995,0.7726509277276253,-124.36120084529406,133.76174405913517,Centre
bengtsf,ym_3,uː,oː,62.0,401.0,-6.299921065785,-3.94757015431,-6.654372925444999,-4.242834642845001,-0.35445185965999926,-0.2952644885350004,0.4613211885511733,-140.20512095237356,133.76174405913517,Centre
berg,ym_1,uː,oː,112.0,252.0,-7.77732394366,-4.42159733777,-7.36437724982,-4.68213727908,0.4129466938399995,-0.26053994131000024,0.48826840259349635,-32.249005725238774,289.11343963427134,North
berg,ym_2,uː,oː,112.0,252.0,-7.31659328762,-3.4332173913,-7.81633169361,-4.91918699187,-0.49973840598999963,-1.4859696005700003,1.567751296679289,-108.58802872887136,289.11343963427134,North
berg,ym_3,uː,oː,112.0,252.0,-7.11603209336,-3.49266261925,-6.54010518407,-3.69830683283,0.5759269092900006,-0.2056442135800003,0.6115401437544957,-19.64994461548794,289.11343963427134,North
bjurholm,ym_1,uː,oː,197.0,211.0,-7.129501496810001,-4.07038971618,-7.14682189181,-4.606343153835001,-0.0173203949999996,-0.5359534376550004,0.5362332360243707,-91.85098219628765,344.0326593930225,North
bjurholm,ym_2,uː,oː,197.0,211.0,-7.39836148042,-4.23822147651,-7.14394756009,-4.60194719472,0.2544139203300002,-0.36372571821000044,0.44387255033968964,-55.02850358429185,344.0326593930225,North
bjurholm,ym_3,uː,oː,197.0,211.0,-7.26168657257,-3.57144338807,-7.513,-4.44884088076,-0.2513134274299995,-0.8773974926899997,0.9126800090860496,-105.98332921682848,344.0326593930225,North
boda,ym_2,uː,oː,163.0,475.0,-7.455028471035,-4.26171545532,-6.9468138337,-4.43976724855,0.5082146373349996,-0.17805179322999987,0.5385021436112988,-19.30778832795007,78.10530644374003,Centre
bredsattra,ym_1,uː,oː,158.0,489.0,-8.868601723,-3.67888172043,-7.05995610827,-4.3669057548,1.8086456147299996,-0.6880240343700001,1.9350907037017229,-20.827236663733594,63.4569046509324,South
bredsattra,ym_2,uː,oː,158.0,489.0,-6.93969819654,-3.94782830429,-7.13,-4.42159733777,-0.1903018034599997,-0.47376903347999955,0.5105603524410227,-111.88416008678779,63.4569046509324,South
