village,geo_x,geo_y,geographic_position,geographic_group,median_unwrapped_angle_deg,median_pair_distance,pair,first_vowel,second_vowel
ankarsrum,149.0,456.0,94.43409687486621,Centre,4.103727342605296,0.7648879970573232,uː->oː,uː,oː
anundsjo,182.0,230.0,322.74929689041943,North,-114.85904633025608,1.2436270878421078,uː->oː,uː,oː
are,89.0,227.0,309.8163893481515,North,-103.51662090445207,1.0870853180297377,uː->oː,uː,oː
arjeplog,171.0,122.0,427.2821082142336,North,-50.28401993030279,1.4995733671618525,uː->oː,uː,oː
arstad,70.0,485.0,52.36353118905221,South,-7.785993593932417,1.9427733421536362,uː->oː,uː,oː
arsunda,156.0,343.0,206.96864741095214,North,-122.46681027949037,0.5644089147236023,uː->oː,uː,oː
asby,125.0,446.0,100.186736530837,Centre,2.7330162542799172,1.0238337195577765,uː->oː,uː,oː
aspas,112.0,229.0,311.77528251009113,North,-108.38442843156284,0.8664739683550629,uː->oː,uː,oː
bara,79.0,539.0,0.6950911219785691,South,-65.92544870735314,0.9768133279051512,uː->oː,uː,oː
bengtsf,62.0,401.0,133.76174405913517,Centre,-124.36120084529406,0.7726509277276253,uː->oː,uː,oː
berg,112.0,252.0,289.11343963427134,North,-32.249005725238774,0.6115401437544957,uː->oː,uː,oː
bjurholm,197.0,211.0,344.0326593930225,North,-91.85098219628763,0.5362332360243707,uː->oː,uː,oː
boda,163.0,475.0,78.10530644374003,Centre,-19.307788327950064,0.5385021436112988,uː->oː,uː,oː
bredsattra,158.0,489.0,63.4569046509324,South,-93.80643807929086,0.6974914579975,uː->oː,uː,oː
broby,99.0,510.0,32.68566535202928,South,-2.612264838073486,2.686982909242139,uː->oː,uː,oː
burseryd,84.0,478.0,61.65247618276582,South,-35.00345247376336,1.0178716170306779,uː->oː,uː,oː
burtrask,222.0,177.0,381.8039577688209,North,-106.72400654408004,0.7729472048340723,uː->oː,uː,oː
dalby,82.0,336.0,201.22302887742558,North,-119.55416354265006,0.5980191847929953,uː->oː,uː,oː
floby,85.0,439.0,100.24992663283506,Centre,-129.82749481761587,0.7897862858826438,uː->oː,uː,oː
frandef,63.0,423.0,112.25604601246488,Centre,-107.82447216543913,0.6032763344830886,uː->oː,uː,oː
frillesas,58.0,470.0,65.09282618043753,South,-12.395606228775378,0.6833348702587592,uː->oː,uː,oː
grangarde,119.0,354.0,189.80902415725896,North,-108.87015001097477,1.4426254462067438,uː->oː,uː,oː
graso,189.0,350.0,205.70952611928726,North,-79.5061284433008,0.6821614538845288,uː->oː,uː,oː
hammaro,90.0,391.0,148.3984439812024,Centre,-62.342228568023856,0.9719029483430468,uː->oː,uː,oː
hamneda,93.0,496.0,45.45474670393189,South,-62.72770064890419,0.6700903177148947,uː->oː,uː,oː
haraker,149.0,373.0,176.21379073108554,North,-118.65394483964569,1.2132607734501657,uː->oː,uː,oː
jamshog,108.0,514.0,30.28210110195524,South,-42.215136471460326,2.3298166503275035,uː->oː,uː,oː
jarnboas,117.0,378.0,165.82018913948008,North,6.399574771420717,2.1443380601439133,uː->oː,uː,oː
jarsnas,113.0,452.0,92.22478367908248,Centre,-52.40563727088808,0.5408879906512006,uː->oː,uː,oː
karna,53.0,448.0,85.9151349758696,Centre,-51.918721579570544,0.5205439432529728,uː->oː,uː,oː
karsta,186.0,377.0,178.59395123967883,North,-38.35455685566096,0.6032354648998117,uː->oː,uː,oː
korsberga,100.0,432.0,109.7097189393582,Centre,-81.71052939971626,0.49841269680546973,uː->oː,uː,oː
kramfors,173.0,248.0,303.4763157810137,North,-122.95664183777946,0.7643491301307496,uː->oː,uː,oː
lanna,161.0,393.0,158.55800815800026,Centre,-43.69298313122418,0.7126215235792984,uː->oː,uː,oː
leksand,120.0,335.0,208.70052428052836,North,-55.90194439403213,0.5868304239132331,uː->oː,uː,oː
loderup,98.0,543.0,0.0,South,-32.37699184089696,1.8788391238802096,uː->oː,uː,oː
malung,96.0,337.0,202.62959374041924,North,-45.5055259103723,1.022612613183193,uː->oː,uː,oː
n_rorum,84.0,522.0,18.299385463806168,South,-33.457689003324816,1.0386698901835572,uː->oː,uː,oː
nora,160.0,357.0,193.85787143343043,North,-23.784586069909366,1.6795954061340264,uː->oː,uː,oː
nysatra,228.0,188.0,371.9907689659383,North,-79.56374997849208,0.9319501927116702,uː->oː,uː,oː
ockelbo,156.0,328.0,221.748110156052,North,-130.83131897020976,0.6535272641635858,uː->oː,uː,oː
orust,49.0,436.0,97.05531592071132,Centre,-51.04346196817009,0.5982788264169775,uː->oː,uː,oː
ossjo,74.0,515.0,23.48799495009064,South,-23.589448783774586,2.039648947878286,uː->oː,uː,oː
ostad,63.0,445.0,90.57950065298506,Centre,-10.98839126969213,0.47705451513689495,uː->oː,uː,oː
ovanaker,140.0,310.0,236.74990844521912,North,-128.56735013912032,0.92566502085795,uː->oː,uː,oː
oxaback,71.0,468.0,69.28443627964162,South,-67.50869473178214,0.5160794026110479,uː->oː,uː,oː
pitea,233.0,141.0,419.15398879796567,North,-80.5322444349094,0.9259618902546893,uː->oː,uː,oː
ragunda,145.0,241.0,305.5896736367263,North,-5.922508489156925,1.334178783854962,uː->oː,uː,oː
rimforsa,134.0,437.0,110.59203999318285,Centre,21.12358130215081,0.7822314470282877,uː->oː,uː,oː
s_finnskoga,74.0,333.0,202.8121429239692,North,-136.35932879979657,1.4751954447579174,uː->oː,uː,oː
s_mellosa,129.0,395.0,151.12029911541478,Centre,4.694764170294619,1.7124602677683665,uː->oː,uː,oː
segerstad,153.0,510.0,41.911420243744836,South,-42.68997956211486,0.44045778753008413,uː->oː,uː,oː
skee,42.0,404.0,127.38890525392424,Centre,-128.69432950780916,0.8372603583348162,uː->oː,uː,oː
skinnskatteberg,135.0,371.0,175.79252338443186,North,-29.436988625132628,1.7724623039609115,uː->oː,uː,oː
skog,157.0,317.0,232.75723014860148,North,-156.262445453617,0.9639212541149892,uː->oː,uː,oː
skuttunge,171.0,364.0,188.8401092599555,North,-69.74264482399755,0.8875099428684764,uː->oː,uː,oː
sorsele,166.0,143.0,405.736623807046,North,-151.1086816132524,2.7810872695448206,uː->oː,uː,oː
sorunda,181.0,406.0,149.16608670177132,Centre,-30.61862347256097,0.9625347507637492,uː->oː,uː,oː
st_anna,157.0,436.0,115.50682570414243,Centre,-5.762257469318357,0.6083172343261594,uː->oː,uː,oː
stenberga,128.0,474.0,73.11094801174586,South,-71.92145362603797,0.44084255621277096,uː->oː,uː,oː
storsjo,87.0,251.0,285.8275543303726,North,-84.80802301437323,0.6476329540136502,uː->oː,uː,oː
strom,132.0,211.0,332.92758406040195,North,-143.60797463893954,0.681658507230587,uː->oː,uː,oː
tjallmo,128.0,416.0,130.2582039594654,Centre,1.4113325993627228,0.6142317745651579,uː->oː,uː,oː
torhamn,135.0,521.0,27.997895933433075,South,-78.93470300573846,0.711386181348277,uː->oː,uː,oː
torp,145.0,265.0,281.9425332445665,North,-104.44875915532747,0.5989763162404442,uː->oː,uː,oː
torsas,144.0,504.0,46.285579526498864,South,-82.62771574173324,0.6591197796281728,uː->oː,uː,oː
torso,95.0,414.0,126.59083766943033,Centre,-41.65172338554386,0.2644828208757419,uː->oː,uː,oː
v_vingaker,139.0,402.0,145.93168962913032,Centre,-136.28044252802312,0.6885758383739011,uː->oː,uː,oː
vackelsang,116.0,500.0,45.44304483319151,South,-0.20118153261368832,1.8383583220750948,uː->oː,uː,oː
vaxtorp,78.0,504.0,35.00965688106874,South,-14.101998911018015,1.4502295247056338,uː->oː,uː,oː
vemdalen,102.0,266.0,273.610801277416,North,-169.2856458000393,0.6753901677942105,uː->oː,uː,oː
viby,116.0,402.0,142.0022014345107,Centre,-2.4615848459222747,1.3402160456315149,uː->oː,uː,oː
vilhelmina,152.0,178.0,368.85934835581264,North,-8.267280548559981,3.139149119554002,uː->oː,uː,oː
villberga,166.0,379.0,173.2064099508079,North,-89.33893484356308,1.0194959371805634,uː->oː,uː,oː
