village,geo_x,geo_y,geo_position,geographic_group,first_x,first_y,second_x,second_y
ankarsrum,149.0,456.0,94.43409687486621,Centre,-7.73815102329,-4.56611570248,-6.97522409993,-4.35776387151
anundsjo,182.0,230.0,322.74929689041943,North,-6.97522409993,-3.94782830429,-7.22720812183,-4.56611570248
are,89.0,227.0,309.8163893481515,North,-6.62133931912,-3.7554512128599997,-7.017517629855,-4.48506014102
arjeplog,171.0,122.0,427.2821082142336,North,-8.430899601955,-3.7396015336649997,-7.59972982581,-4.8213494451950005
arstad,70.0,485.0,52.36353118905221,South,-9.023342997185,-4.3165068439350005,-6.733540865225,-4.20117647059
arsunda,156.0,343.0,206.96864741095214,North,-7.02474166361,-4.39428571429,-7.12640241804,-4.46696554587
asby,125.0,446.0,100.186736530837,Centre,-7.91955276031,-4.59300041271,-6.896883585685,-4.57508467575
aspas,112.0,229.0,311.77528251009113,North,-6.6689451772999995,-3.443142144825,-6.973962962965,-4.245755028675
bara,79.0,539.0,0.6950911219785691,South,-9.870653605775,-4.2055947881,-9.190387336715,-5.060778731945
bengtsf,62.0,401.0,133.76174405913517,Centre,-6.51783377209,-3.94757015431,-6.95392423685,-4.55713931377
berg,112.0,252.0,289.11343963427134,North,-7.31659328762,-3.49266261925,-7.36437724982,-4.68213727908
bjurholm,197.0,211.0,344.0326593930225,North,-7.26168657257,-4.07038971618,-7.14682189181,-4.60194719472
boda,163.0,475.0,78.10530644374003,Centre,-7.455028471035,-4.26171545532,-6.9468138337,-4.43976724855
bredsattra,158.0,489.0,63.4569046509324,South,-7.6130017762,-3.94782830429,-7.13,-4.42159733777
broby,99.0,510.0,32.68566535202928,South,-10.725251211015,-4.4054966947050005,-8.074286153935,-4.353143299905
burseryd,84.0,478.0,61.65247618276582,South,-8.297460546404999,-3.847728831235,-7.47492927707,-4.402099986775
burtrask,222.0,177.0,381.8039577688209,North,-7.39836148042,-3.63017241379,-7.31659328762,-4.565815373105
dalby,82.0,336.0,201.22302887742558,North,-6.8746474810075,-3.8083276870650002,-7.1672032395750005,-4.305707428917501
floby,85.0,439.0,100.24992663283506,Centre,-6.7528326806150005,-3.48277657267,-7.26856729378,-4.03292125318
frandef,63.0,423.0,112.25604601246488,Centre,-7.596096512475,-3.84293766012,-7.37118387909,-4.35776387151
frillesas,58.0,470.0,65.09282618043753,South,-7.14274189689,-4.364315672595,-6.510982626580001,-4.471553952695
grangarde,119.0,354.0,189.80902415725896,North,-6.08833341946,-3.9892277103,-6.55491380734,-5.3543177877999995
graso,189.0,350.0,205.70952611928726,North,-6.73104166667,-3.653117606135,-6.75279223196,-4.08919160559
hammaro,90.0,391.0,148.3984439812024,Centre,-7.63287437899,-3.92883028499,-7.89385584325,-4.70873563218
hamneda,93.0,496.0,45.45474670393189,South,-8.27191226868,-4.38516666667,-8.03430555556,-4.92786672085
haraker,149.0,373.0,176.21379073108554,North,-6.517204853825,-3.4748147445099997,-6.97501305336,-4.36199162966
jamshog,108.0,514.0,30.28210110195524,South,-9.56106904232,-4.0517428088,-8.56334457181,-5.67309803922
jarnboas,117.0,378.0,165.82018913948008,North,-8.4460825289,-4.103171373775,-6.78051875783,-4.16400673401
jarsnas,113.0,452.0,92.22478367908248,Centre,-7.46590461726,-4.02349851758,-7.02102621483,-4.24746331237
karna,53.0,448.0,85.9151349758696,Centre,-7.97073170732,-4.54815550041,-7.718354072625,-4.906132057495
karsta,186.0,377.0,178.59395123967883,North,-7.11603209336,-4.01406779661,-6.62133931912,-4.4260661062699995
korsberga,100.0,432.0,109.7097189393582,Centre,-6.882573406625,-3.93833333333,-6.92545119705,-4.407835424125
kramfors,173.0,248.0,303.4763157810137,North,-7.5197001071,-3.95731520816,-7.69223912274,-4.55713931377
lanna,161.0,393.0,158.55800815800026,Centre,-7.6335303390775,-3.928659258515,-7.113326960709999,-4.2032090459875
leksand,120.0,335.0,208.70052428052836,North,-7.477117897275,-4.1132240299725,-7.15425764484,-4.6013482669325
loderup,98.0,543.0,0.0,South,-11.5605891313,-5.07435028249,-10.6640713224,-5.98351487061
