village,speaker,first_vowel,second_vowel,geo_x,geo_y,first_x,first_y,second_x,second_y,pair_dx,pair_dy,pair_length,directed_angle_from_horizontal_deg,geo_position,geographic_group
ankarsrum,ym_1,oː,ɑː,149.0,456.0,-6.83233160622,-4.14537489469,-7.98348189415,-5.05722132472,-1.1511502879299993,-0.9118464300300007,1.4685403969110884,-141.6166348196964,94.43409687486621,Centre
ankarsrum,ym_2,oː,ɑː,149.0,456.0,-6.97522409993,-4.35776387151,-8.37011588275,-5.78561622465,-1.3948917828199994,-1.4278523531399996,1.9961175887572833,-134.33100002866934,94.43409687486621,Centre
ankarsrum,ym_3,oː,ɑː,149.0,456.0,-7.33710165826,-4.75292093404,-8.41274396464,-5.59196850394,-1.0756423063800007,-0.8390475699,1.3641873756304823,-142.04422683350967,94.43409687486621,Centre
anundsjo,ym_1,oː,ɑː,182.0,230.0,-6.10043010753,-4.58404624277,-7.43222381636,-5.42777777778,-1.3317937088299994,-0.8437315350099999,1.5765650592504883,-147.644506719181,322.74929689041943,North
anundsjo,ym_2,oː,ɑː,182.0,230.0,-7.26168657257,-4.56611570248,-8.13511049724,-5.43604918683,-0.8734239246699991,-0.8699334843499997,1.2327423166985367,-135.11471384509227,322.74929689041943,North
anundsjo,ym_3,oː,ɑː,182.0,230.0,-7.22720812183,-4.09865766146,-7.77732394366,-4.77054441261,-0.5501158218299995,-0.6718867511499997,0.8683658352322468,-129.30933806121757,322.74929689041943,North
are,ym_1,oː,ɑː,89.0,227.0,-7.017517629855,-4.606394773630001,-8.26192545408,-5.9245408709900005,-1.244407824225,-1.3181460973599997,1.8127492840924793,-133.35175124050957,309.8163893481515,North
are,ym_2,oː,ɑː,89.0,227.0,-6.87542097489,-4.22897188418,-8.09743944637,-5.2693642543,-1.2220184714800002,-1.0403923701200002,1.6049129036936016,-139.58985563749883,309.8163893481515,North
are,ym_3,oː,ɑː,89.0,227.0,-7.1995352215,-4.48506014102,-8.16013793103,-5.42777777778,-0.9606027095300007,-0.9427176367600003,1.3459101412110464,-135.538379694371,309.8163893481515,North
arjeplog,ym_1,oː,ɑː,171.0,122.0,-7.59972982581,-4.56611570248,-8.10038829908,-5.774994799125,-0.5006584732700006,-1.208879096645,1.3084523595310145,-112.49693977349703,427.2821082142336,North
arjeplog,ym_2,oː,ɑː,171.0,122.0,-7.783506680655,-4.8213494451950005,-8.168919739195001,-5.530603022419999,-0.3854130585400011,-0.7092535772249988,0.8072074470045576,-118.5199478381614,427.2821082142336,North
arjeplog,ym_3,oː,ɑː,171.0,122.0,-7.47269863994,-4.89310541311,-8.9203700033,-6.03824345146,-1.4476713633600005,-1.1451380383499998,1.8458313853569313,-141.65527299862782,427.2821082142336,North
arstad,ym_1,oː,ɑː,70.0,485.0,-6.733540865225,-4.172993971025001,-7.28231381056,-5.15958199357,-0.5487729453350001,-0.986588022544999,1.1289409514057422,-119.08426162063533,52.36353118905221,South
arstad,ym_2,oː,ɑː,70.0,485.0,-8.015171678905,-5.159578581625,-8.040418917405,-5.737466470865,-0.025247238500000435,-0.5778878892399995,0.5784391373188175,-92.50159405297715,52.36353118905221,South
arstad,ym_3,oː,ɑː,70.0,485.0,-6.40571860817,-4.20117647059,-7.1195100580999995,-5.210270996785,-0.7137914499299995,-1.0090945261949997,1.2360299336140212,-125.27399817607576,52.36353118905221,South
arsunda,ym_1,oː,ɑː,156.0,343.0,-6.9681293642,-4.23822147651,-7.46596491228,-5.08290439693,-0.4978355480799994,-0.8446829204200004,0.9804741041870377,-120.51406215706265,206.96864741095214,North
arsunda,ym_2,oː,ɑː,156.0,343.0,-7.12640241804,-5.031194509560001,-7.71850229601,-5.70537196554,-0.59209987797,-0.6741774559799998,0.8972722594863576,-131.29138948788506,206.96864741095214,North
arsunda,ym_3,oː,ɑː,156.0,343.0,-7.50629510539,-4.46696554587,-8.62287634409,-5.92848954299,-1.1165812387000003,-1.4615239971200005,1.8392406195966993,-127.37925584696137,206.96864741095214,North
asby,ym_1,oː,ɑː,125.0,446.0,-6.896883585685,-4.668768711369999,-8.00257391304,-6.02263685428,-1.105690327355001,-1.3538681429100006,1.7480017300886699,-129.2381628591594,100.186736530837,Centre
asby,ym_2,oː,ɑː,125.0,446.0,-6.669021657955,-3.885916510025,-7.98348189415,-5.27776179057,-1.314460236195,-1.3918452805449997,1.914429157089184,-133.3621107886186,100.186736530837,Centre
asby,ym_3,oː,ɑː,125.0,446.0,-7.26856729378,-4.57508467575,-7.682300793394999,-5.180639253420001,-0.41373349961499883,-0.6055545776700004,0.7333974060772009,-124.34208996018782,100.186736530837,Centre
aspas,ym_2,oː,ɑː,112.0,229.0,-7.13,-4.43976724855,-7.75122708039,-5.21039294306,-0.6212270803899997,-0.7706256945099996,0.989841930031711,-128.87344591156975,311.77528251009113,North
aspas,ym_3,oː,ɑː,112.0,229.0,-6.81792592593,-4.0517428088,-7.41192100539,-4.84949429038,-0.59399507946,-0.7977514815799998,0.9946042332434426,-126.67087646266866,311.77528251009113,North
bara,ym_1,oː,ɑː,79.0,539.0,-9.190387336715,-5.0486152706950005,-8.523496055915,-5.1934288173,0.6668912807999998,-0.14481354660499957,0.6824331056502041,-12.25141577165716,0.6950911219785691,South
bara,ym_2,oː,ɑː,79.0,539.0,-10.0814490324,-5.402894457705,-8.55691570925,-5.444261623515,1.524533323150001,-0.04136716580999966,1.525094454714834,-1.5543002818289355,0.6950911219785691,South
bara,ym_3,oː,ɑː,79.0,539.0,-8.458167188885,-5.060778731945,-7.499547035885,-5.180782124885001,0.958620153,-0.12000339294000106,0.9661021747490561,-7.1353661991963095,0.6950911219785691,South
bengtsf,ym_1,oː,ɑː,62.0,401.0,-7.17872773537,-4.82324213965,-7.84871273237,-5.55933753943,-0.6699849970000002,-0.7360953997800008,0.9953473432839259,-132.30807742622181,133.76174405913517,Centre
bengtsf,ym_2,oː,ɑː,62.0,401.0,-6.95392423685,-4.55713931377,-7.56646723647,-5.37801113763,-0.6125429996200005,-0.8208718238600001,1.0242262824155173,-126.73067856800621,133.76174405913517,Centre
bengtsf,ym_3,oː,ɑː,62.0,401.0,-6.654372925444999,-4.242834642845001,-7.435428272325,-5.46903992963,-0.7810553468800006,-1.2262052867849995,1.4538317853965503,-122.49589258865376,133.76174405913517,Centre
berg,ym_1,oː,ɑː,112.0,252.0,-7.36437724982,-4.68213727908,-8.12257083621,-5.737544957,-0.75819358639,-1.05540767792,1.2995164027650503,-125.69306228752372,289.11343963427134,North
berg,ym_2,oː,ɑː,112.0,252.0,-7.81633169361,-4.91918699187,-8.18509641873,-5.5019849743,-0.36876472512000014,-0.5827979824299998,0.6896672464437524,-122.32353387903903,289.11343963427134,North
berg,ym_3,oː,ɑː,112.0,252.0,-6.54010518407,-3.69830683283,-7.7310860659,-5.752791905935,-1.1909808818299998,-2.054485073105,2.374730379747524,-120.10078361273885,289.11343963427134,North
bjurholm,ym_1,oː,ɑː,197.0,211.0,-7.14682189181,-4.606343153835001,-8.109994278815,-5.676908982624999,-0.9631723870049997,-1.0705658287899986,1.4400736928580167,-131.97725049290722,344.0326593930225,North
bjurholm,ym_2,oː,ɑː,197.0,211.0,-7.14394756009,-4.60194719472,-8.47932249322,-5.77761997659,-1.3353749331299998,-1.1756727818699995,1.7791662941001032,-138.63909918759182,344.0326593930225,North
bjurholm,ym_3,oː,ɑː,197.0,211.0,-7.513,-4.44884088076,-8.51542934415,-5.6326129666,-1.0024293441500003,-1.1837720858400003,1.5511869459310779,-130.25824032773272,344.0326593930225,North
boda,ym_2,oː,ɑː,163.0,475.0,-6.9468138337,-4.43976724855,-8.05961165049,-6.05382602002,-1.1127978167899997,-1.6140587714699999,1.9604858323415233,-124.58396046444236,78.10530644374003,Centre
bredsattra,ym_1,oː,ɑː,158.0,489.0,-7.05995610827,-4.3669057548,-7.893846839435,-5.57090999171,-0.8338907311649999,-1.2040042369099995,1.4645818358904115,-124.70638990446793,63.4569046509324,South
bredsattra,ym_2,oː,ɑː,158.0,489.0,-7.13,-4.42159733777,-8.33341530055,-5.65692307692,-1.2034153005499997,-1.2353257391500003,1.7245979436971217,-134.25033896959746,63.4569046509324,South
bredsattra,ym_3,oː,ɑː,158.0,489.0,-7.65930545712,-4.832,-8.81158286129,-6.38211289092,-1.1522774041700004,-1.5501128909200004,1.9314743567433441,-126.62529092101815,63.4569046509324,South
broby,ym_1,oː,ɑː,99.0,510.0,-7.93237430168,-4.32111993314,-9.43782051282,-5.31964898285,-1.5054462111399998,-0.9985290497100001,1.8064962102784874,-146.44456667146613,32.68566535202928,South
broby,ym_3,oː,ɑː,99.0,510.0,-8.21619800619,-4.38516666667,-8.71142761618,-5.27776179057,-0.49522960999,-0.8925951238999996,1.020773442944566,-119.02238867339132,32.68566535202928,South
