village,geo_x,geo_y,geographic_position,geographic_group,median_unwrapped_angle_deg,median_pair_distance,pair,first_vowel,second_vowel
ankarsrum,149.0,456.0,94.43409687486621,Centre,-141.6166348196964,1.4685403969110884,oː->ɑː,oː,ɑː
anundsjo,182.0,230.0,322.74929689041943,North,-135.11471384509224,1.2327423166985367,oː->ɑː,oː,ɑː
are,89.0,227.0,309.8163893481515,North,-135.53837969437097,1.6049129036936016,oː->ɑː,oː,ɑː
arjeplog,171.0,122.0,427.2821082142336,North,-118.5199478381614,1.3084523595310145,oː->ɑː,oː,ɑː
arstad,70.0,485.0,52.36353118905221,South,-119.08426162063533,1.1289409514057422,oː->ɑː,oː,ɑː
arsunda,156.0,343.0,206.96864741095214,North,-127.37925584696139,0.9804741041870377,oː->ɑː,oː,ɑː
asby,125.0,446.0,100.186736530837,Centre,-129.2381628591594,1.7480017300886699,oː->ɑː,oː,ɑː
aspas,112.0,229.0,311.77528251009113,North,-127.7721611871192,0.9922230816375768,oː->ɑː,oː,ɑː
bara,79.0,539.0,0.6950911219785691,South,-7.135366199196326,0.9661021747490561,oː->ɑː,oː,ɑː
bengtsf,62.0,401.0,133.76174405913517,Centre,-126.73067856800621,1.0242262824155173,oː->ɑː,oː,ɑː
berg,112.0,252.0,289.11343963427134,North,-122.32353387903903,1.2995164027650503,oː->ɑː,oː,ɑː
bjurholm,197.0,211.0,344.0326593930225,North,-131.97725049290722,1.5511869459310779,oː->ɑː,oː,ɑː
boda,163.0,475.0,78.10530644374003,Centre,-124.58396046444234,1.9604858323415233,oː->ɑː,oː,ɑː
bredsattra,158.0,489.0,63.4569046509324,South,-126.62529092101813,1.7245979436971217,oː->ɑː,oː,ɑː
broby,99.0,510.0,32.68566535202928,South,-132.73347767242873,1.4136348266115268,oː->ɑː,oː,ɑː
burseryd,84.0,478.0,61.65247618276582,South,-123.55351689843062,1.1810311422733157,oː->ɑː,oː,ɑː
burtrask,222.0,177.0,381.8039577688209,North,-145.1344228586413,3.5325697736497585,oː->ɑː,oː,ɑː
dalby,82.0,336.0,201.22302887742558,North,-135.30435932969422,1.7340760274569793,oː->ɑː,oː,ɑː
