village,geo_x,geo_y,geo_position,geographic_group,first_x,first_y,second_x,second_y
ankarsrum,149.0,456.0,94.43409687486621,Centre,-6.97522409993,-4.35776387151,-8.37011588275,-5.59196850394
anundsjo,182.0,230.0,322.74929689041943,North,-7.22720812183,-4.56611570248,-7.77732394366,-5.42777777778
are,89.0,227.0,309.8163893481515,North,-7.017517629855,-4.48506014102,-8.16013793103,-5.42777777778
arjeplog,171.0,122.0,427.2821082142336,North,-7.59972982581,-4.8213494451950005,-8.168919739195001,-5.774994799125
arstad,70.0,485.0,52.36353118905221,South,-6.733540865225,-4.20117647059,-7.28231381056,-5.210270996785
arsunda,156.0,343.0,206.96864741095214,North,-7.12640241804,-4.46696554587,-7.71850229601,-5.70537196554
asby,125.0,446.0,100.186736530837,Centre,-6.896883585685,-4.57508467575,-7.98348189415,-5.27776179057
aspas,112.0,229.0,311.77528251009113,North,-6.973962962965,-4.245755028675,-7.58157404289,-5.02994361672
bara,79.0,539.0,0.6950911219785691,South,-9.190387336715,-5.060778731945,-8.523496055915,-5.1934288173
bengtsf,62.0,401.0,133.76174405913517,Centre,-6.95392423685,-4.55713931377,-7.56646723647,-5.46903992963
berg,112.0,252.0,289.11343963427134,North,-7.36437724982,-4.68213727908,-8.12257083621,-5.737544957
bjurholm,197.0,211.0,344.0326593930225,North,-7.14682189181,-4.60194719472,-8.47932249322,-5.676908982624999
boda,163.0,475.0,78.10530644374003,Centre,-6.9468138337,-4.43976724855,-8.05961165049,-6.05382602002
bredsattra,158.0,489.0,63.4569046509324,South,-7.13,-4.42159733777,-8.33341530055,-5.65692307692
broby,99.0,510.0,32.68566535202928,South,-8.074286153935,-4.353143299905,-9.0746240645,-5.29870538671
burseryd,84.0,478.0,61.65247618276582,South,-7.47492927707,-4.402099986775,-8.13181921447,-5.37870865064
burtrask,222.0,177.0,381.8039577688209,North,-7.31659328762,-4.565815373105,-9.9304044804,-6.54751783703
dalby,82.0,336.0,201.22302887742558,North,-7.1672032395750005,-4.305707428917501,-8.4117293986125,-5.5078416768125
floby,85.0,439.0,100.24992663283506,Centre,-7.26856729378,-4.03292125318,-7.9066773469200005,-5.1760560365299995
frandef,63.0,423.0,112.25604601246488,Centre,-7.37118387909,-4.35776387151,-8.367058551469999,-5.386160208034999
frillesas,58.0,470.0,65.09282618043753,South,-6.510982626580001,-4.471553952695,-7.522384783654999,-5.551150805424999
grangarde,119.0,354.0,189.80902415725896,North,-6.55491380734,-5.3543177877999995,-7.48615164521,-6.0661282682949995
