village,speaker,first_vowel,second_vowel,geo_x,geo_y,first_x,first_y,second_x,second_y,pair_dx,pair_dy,pair_length,directed_angle_from_horizontal_deg,geo_position,geographic_group
ankarsrum,ym_1,ɑː,æː,149.0,456.0,-7.98348189415,-5.05722132472,-11.599216379200001,-5.72142069945,-3.6157344850500017,-0.6641993747299999,3.6762340344123254,-169.59098759814032,94.43409687486621,Centre
ankarsrum,ym_2,ɑː,æː,149.0,456.0,-8.37011588275,-5.78561622465,-11.8912814896,-6.12365170694,-3.5211656068500012,-0.3380354822899996,3.5373542681148535,-174.51635176936185,94.43409687486621,Centre
ankarsrum,ym_3,ɑː,æː,149.0,456.0,-8.41274396464,-5.59196850394,-11.4234549053,-5.95996906419,-3.0107109406599992,-0.3680005602500005,3.033117996477244,-173.031278646519,94.43409687486621,Centre
anundsjo,ym_1,ɑː,æː,182.0,230.0,-7.43222381636,-5.42777777778,-12.65250670735,-5.79750477076,-5.22028289099,-0.36972699297999956,5.233359486152365,-175.9487862503439,322.74929689041943,North
anundsjo,ym_2,ɑː,æː,182.0,230.0,-8.13511049724,-5.43604918683,-12.318991575950001,-6.326477351735,-4.183881078710002,-0.8904281649049999,4.277583803696153,-167.98536814494796,322.74929689041943,North
anundsjo,ym_3,ɑː,æː,182.0,230.0,-7.77732394366,-4.77054441261,-12.19394818535,-5.48961394086,-4.416624241689999,-0.7190695282500004,4.474777165261019,-170.75282332105502,322.74929689041943,North
are,ym_1,ɑː,æː,89.0,227.0,-8.26192545408,-5.9245408709900005,-12.5684853056,-6.215322125855,-4.306559851519999,-0.2907812548649993,4.316365542085705,-176.13722096644562,309.8163893481515,North
are,ym_2,ɑː,æː,89.0,227.0,-8.09743944637,-5.2693642543,-11.9929961936,-4.50312474099,-3.8955567472299997,0.7662395133100004,3.970199662818826,168.87221990533416,309.8163893481515,North
are,ym_3,ɑː,æː,89.0,227.0,-8.16013793103,-5.42777777778,-12.0510095729,-6.1001890503,-3.8908716418699996,-0.6724112725199998,3.9485464481148136,-170.19512348799512,309.8163893481515,North
arjeplog,ym_1,ɑː,æː,171.0,122.0,-8.10038829908,-5.774994799125,-11.7097515569,-5.84516657744,-3.60936325782,-0.07017177831499932,3.6100453190192634,-178.88621897828912,427.2821082142336,North
arjeplog,ym_2,ɑː,æː,171.0,122.0,-8.168919739195001,-5.530603022419999,-11.61827097715,-6.2160061092,-3.4493512379549998,-0.685403086780001,3.516788500059286,-168.7614335351048,427.2821082142336,North
arjeplog,ym_3,ɑː,æː,171.0,122.0,-8.9203700033,-6.03824345146,-12.1580972857,-6.48806026365,-3.2377272824,-0.4498168121900008,3.2688244247322404,-172.0905374911484,427.2821082142336,North
arstad,ym_1,ɑː,æː,70.0,485.0,-7.28231381056,-5.15958199357,-12.4334650856,-5.90481582009,-5.15115127504,-0.7452338265199998,5.204779814222294,-171.7679491750309,52.36353118905221,South
arstad,ym_2,ɑː,æː,70.0,485.0,-8.040418917405,-5.737466470865,-12.2598292423,-6.31510638298,-4.219410324895,-0.577639912115,4.258766412694967,-172.20463062578523,52.36353118905221,South
arstad,ym_3,ɑː,æː,70.0,485.0,-7.1195100580999995,-5.210270996785,-12.169469614299999,-5.749238382945,-5.049959556199999,-0.5389673861600004,5.078639321964086,-173.90804995541345,52.36353118905221,South
arsunda,ym_1,ɑː,æː,156.0,343.0,-7.46596491228,-5.08290439693,-11.16271876155,-6.16587319951,-3.6967538492700003,-1.08296880258,3.8521176577895595,-163.6719858482257,206.96864741095214,North
arsunda,ym_2,ɑː,æː,156.0,343.0,-7.71850229601,-5.70537196554,-11.4881466411,-6.814320502795,-3.7696443450900006,-1.1089485372549994,3.9293746763001645,-163.60724764551438,206.96864741095214,North
arsunda,ym_3,ɑː,æː,156.0,343.0,-8.62287634409,-5.92848954299,-11.63666457255,-6.341240549589999,-3.0137882284599993,-0.41275100659999886,3.041920919329326,-172.20161656992684,206.96864741095214,North
asby,ym_1,ɑː,æː,125.0,446.0,-8.00257391304,-6.02263685428,-12.3637133151,-5.999154594065001,-4.361139402059999,0.02348226021499933,4.361202620922932,179.69149773084305,100.186736530837,Centre
asby,ym_2,ɑː,æː,125.0,446.0,-7.98348189415,-5.27776179057,-11.5111224243,-6.2389597088399995,-3.5276405301500002,-0.9611979182699999,3.656247960415644,-164.75827419028144,100.186736530837,Centre
asby,ym_3,ɑː,æː,125.0,446.0,-7.682300793394999,-5.180639253420001,-12.5348783678,-5.22727564103,-4.852577574405,-0.04663638760999955,4.852801672051685,-179.44936770667852,100.186736530837,Centre
aspas,ym_2,ɑː,æː,112.0,229.0,-7.75122708039,-5.21039294306,-11.32408678975,-6.46193404919,-3.5728597093600003,-1.2515411061300004,3.7857207560913855,-160.6950943896672,311.77528251009113,North
aspas,ym_3,ɑː,æː,112.0,229.0,-7.41192100539,-4.84949429038,-11.1299368018,-6.23131629149,-3.7180157964099996,-1.3818220011099998,3.9664938554226863,-159.61212658510235,311.77528251009113,North
bara,ym_1,ɑː,æː,79.0,539.0,-8.523496055915,-5.1934288173,-10.5894655121,-5.47730799683,-2.065969456185,-0.2838791795299995,2.0853817833816355,-172.17613918697387,0.6950911219785691,South
bara,ym_2,ɑː,æː,79.0,539.0,-8.55691570925,-5.444261623515,-10.8248235294,-5.81753894081,-2.2679078201500005,-0.3732773172949999,2.298421596727737,-170.6534268030012,0.6950911219785691,South
bara,ym_3,ɑː,æː,79.0,539.0,-7.499547035885,-5.180782124885001,-11.3855555556,-5.88900271634,-3.8860085197150003,-0.7082205914549995,3.950017546981081,-169.67126937967583,0.6950911219785691,South
bengtsf,ym_1,ɑː,æː,62.0,401.0,-7.84871273237,-5.55933753943,-12.9835425101,-5.78561622465,-5.134829777729999,-0.2262786852199996,5.139813118163695,-177.47675547238887,133.76174405913517,Centre
bengtsf,ym_2,ɑː,æː,62.0,401.0,-7.56646723647,-5.37801113763,-12.3637133151,-5.42359936281,-4.79724607863,-0.045588225180000386,4.797462686171303,-179.45553464798786,133.76174405913517,Centre
bengtsf,ym_3,ɑː,æː,62.0,401.0,-7.435428272325,-5.46903992963,-12.1085868393,-5.54298342541,-4.673158566974999,-0.07394349578000003,4.673743535182477,-179.0934832086129,133.76174405913517,Centre
berg,ym_1,ɑː,æː,112.0,252.0,-8.12257083621,-5.737544957,-11.99248500795,-6.3112949165500005,-3.8699141717399996,-0.5737499595500006,3.91221480912254,-171.56681100619633,289.11343963427134,North
berg,ym_2,ɑː,æː,112.0,252.0,-8.18509641873,-5.5019849743,-11.63666002395,-6.394430678565,-3.4515636052200005,-0.8924457042649996,3.5650737237735126,-165.5029459983711,289.11343963427134,North
berg,ym_3,ɑː,æː,112.0,252.0,-7.7310860659,-5.752791905935,-11.9227322404,-6.98231362468,-4.191646174500001,-1.2295217187449996,4.368251516232341,-163.65217867065073,289.11343963427134,North
bjurholm,ym_1,ɑː,æː,197.0,211.0,-8.109994278815,-5.676908982624999,-11.1191229083,-5.72951114587,-3.0091286294849997,-0.05260216324500089,3.0095883599529567,-178.99852236977242,344.0326593930225,North
bjurholm,ym_2,ɑː,æː,197.0,211.0,-8.47932249322,-5.77761997659,-11.93838902095,-6.1197488014850006,-3.45906652773,-0.34212882489500096,3.475944961601969,-174.35136970123546,344.0326593930225,North
bjurholm,ym_3,ɑː,æː,197.0,211.0,-8.51542934415,-5.6326129666,-11.65092520765,-6.303703682509999,-3.135495863499999,-0.6710907159099992,3.2065085465356553,-167.91924240626076,344.0326593930225,North
