village,geo_x,geo_y,geographic_position,geographic_group,median_unwrapped_angle_deg,median_pair_distance,pair,first_vowel,second_vowel
ankarsrum,149.0,456.0,94.43409687486621,Centre,-173.031278646519,3.5373542681148535,ɑː->æː,ɑː,æː
anundsjo,182.0,230.0,322.74929689041943,North,-170.75282332105502,4.474777165261019,ɑː->æː,ɑː,æː
are,89.0,227.0,309.8163893481515,North,-176.13722096644562,3.970199662818826,ɑː->æː,ɑː,æː
arjeplog,171.0,122.0,427.2821082142336,North,-172.0905374911484,3.516788500059286,ɑː->æː,ɑː,æː
arstad,70.0,485.0,52.36353118905221,South,-172.20463062578523,5.078639321964086,ɑː->æː,ɑː,æː
arsunda,156.0,343.0,206.96864741095214,North,-163.6719858482257,3.8521176577895595,ɑː->æː,ɑː,æː
asby,125.0,446.0,100.186736530837,Centre,-179.44936770667852,4.361202620922932,ɑː->æː,ɑː,æː
aspas,112.0,229.0,311.77528251009113,North,-160.15361048738475,3.876107305757036,ɑː->æː,ɑː,æː
bara,79.0,539.0,0.6950911219785691,South,-170.6534268030012,2.298421596727737,ɑː->æː,ɑː,æː
bengtsf,62.0,401.0,133.76174405913517,Centre,-179.0934832086129,4.797462686171303,ɑː->æː,ɑː,æː
berg,112.0,252.0,289.11343963427134,North,-165.5029459983711,3.91221480912254,ɑː->æː,ɑː,æː
bjurholm,197.0,211.0,344.0326593930225,North,-174.35136970123546,3.2065085465356553,ɑː->æː,ɑː,æː
boda,163.0,475.0,78.10530644374003,Centre,-174.19339492129072,3.1060054925043215,ɑː->æː,ɑː,æː
bredsattra,158.0,489.0,63.4569046509324,South,-171.374623556015,3.285368939937275,ɑː->æː,ɑː,æː
broby,99.0,510.0,32.68566535202928,South,-169.9682969393382,2.916072754795845,ɑː->æː,ɑː,æː
burseryd,84.0,478.0,61.65247618276582,South,-168.41474561567338,3.364468746036943,ɑː->æː,ɑː,æː
burtrask,222.0,177.0,381.8039577688209,North,-191.23950286209123,1.60500947459561,ɑː->æː,ɑː,æː
dalby,82.0,336.0,201.22302887742558,North,-170.54319758743594,3.7119292323194166,ɑː->æː,ɑː,æː
floby,85.0,439.0,100.24992663283506,Centre,-174.84445324009477,5.126714719109282,ɑː->æː,ɑː,æː
frandef,63.0,423.0,112.25604601246488,Centre,-168.53806314691906,3.496818384826651,ɑː->æː,ɑː,æː
frillesas,58.0,470.0,65.09282618043753,South,-170.2473382401513,4.5087854235763505,ɑː->æː,ɑː,æː
grangarde,119.0,354.0,189.80902415725896,North,-176.01026787233263,5.312217962482089,ɑː->æː,ɑː,æː
graso,189.0,350.0,205.70952611928726,North,-180.9415663276671,4.9977941326400295,ɑː->æː,ɑː,æː
hammaro,90.0,391.0,148.3984439812024,Centre,-169.65246960233824,3.2281264709305937,ɑː->æː,ɑː,æː
hamneda,93.0,496.0,45.45474670393189,South,-181.46770156431063,3.525777329266497,ɑː->æː,ɑː,æː
haraker,149.0,373.0,176.21379073108554,North,-155.47020753189616,2.6858621405085983,ɑː->æː,ɑː,æː
jamshog,108.0,514.0,30.28210110195524,South,-202.8969823852171,2.6459165828598956,ɑː->æː,ɑː,æː
jarnboas,117.0,378.0,165.82018913948008,North,-178.26456974404124,3.2084346534290034,ɑː->æː,ɑː,æː
jarsnas,113.0,452.0,92.22478367908248,Centre,-168.72403000285257,3.7125980113369863,ɑː->æː,ɑː,æː
karna,53.0,448.0,85.9151349758696,Centre,-176.87100898470194,3.5875373628817733,ɑː->æː,ɑː,æː
karsta,186.0,377.0,178.59395123967883,North,-186.51996565385588,4.404894804106638,ɑː->æː,ɑː,æː
korsberga,100.0,432.0,109.7097189393582,Centre,-171.37452043331578,4.14328470145134,ɑː->æː,ɑː,æː
kramfors,173.0,248.0,303.4763157810137,North,-173.65353066035445,4.0625811083317815,ɑː->æː,ɑː,æː
lanna,161.0,393.0,158.55800815800026,Centre,-155.96686599022786,2.457346806233263,ɑː->æː,ɑː,æː
leksand,120.0,335.0,208.70052428052836,North,-174.85053482643787,4.3493700303837235,ɑː->æː,ɑː,æː
loderup,98.0,543.0,0.0,South,-178.73308604981915,2.6998416987632905,ɑː->æː,ɑː,æː
malung,96.0,337.0,202.62959374041924,North,-195.1982441833615,5.877370724442743,ɑː->æː,ɑː,æː
n_rorum,84.0,522.0,18.299385463806168,South,-170.48137037595598,3.1751684804048486,ɑː->æː,ɑː,æː
nora,160.0,357.0,193.85787143343043,North,-177.21842714631362,3.343619237838357,ɑː->æː,ɑː,æː
nysatra,228.0,188.0,371.9907689659383,North,-173.12525469707452,3.2107692281984668,ɑː->æː,ɑː,æː
ockelbo,156.0,328.0,221.748110156052,North,-167.10011233014916,3.0298073679610114,ɑː->æː,ɑː,æː
orust,49.0,436.0,97.05531592071132,Centre,-180.78427491713052,4.87048657161054,ɑː->æː,ɑː,æː
ossjo,74.0,515.0,23.48799495009064,South,-166.59449420603593,3.7317223195677354,ɑː->æː,ɑː,æː
ostad,63.0,445.0,90.57950065298506,Centre,-175.63707976555798,4.130839748281435,ɑː->æː,ɑː,æː
ovanaker,140.0,310.0,236.74990844521912,North,-175.55827472128462,4.057802976712803,ɑː->æː,ɑː,æː
oxaback,71.0,468.0,69.28443627964162,South,-176.19399114032782,4.032419496667732,ɑː->æː,ɑː,æː
pitea,233.0,141.0,419.15398879796567,North,-171.55110785807724,3.732338169131946,ɑː->æː,ɑː,æː
ragunda,145.0,241.0,305.5896736367263,North,-169.6202009769676,3.9026488426306214,ɑː->æː,ɑː,æː
rimforsa,134.0,437.0,110.59203999318285,Centre,-169.44781795288253,3.632935407591632,ɑː->æː,ɑː,æː
s_finnskoga,74.0,333.0,202.8121429239692,North,-175.96329644683158,5.166117174475538,ɑː->æː,ɑː,æː
s_mellosa,129.0,395.0,151.12029911541478,Centre,-174.13761053495966,4.098504293796297,ɑː->æː,ɑː,æː
segerstad,153.0,510.0,41.911420243744836,South,-173.3992219920492,3.6969180593055917,ɑː->æː,ɑː,æː
skee,42.0,404.0,127.38890525392424,Centre,-177.31584890129616,5.067185738206812,ɑː->æː,ɑː,æː
skinnskatteberg,135.0,371.0,175.79252338443186,North,-169.0943756682909,1.7712827116573688,ɑː->æː,ɑː,æː
skog,157.0,317.0,232.75723014860148,North,-171.02263334049658,3.809117053786476,ɑː->æː,ɑː,æː
skuttunge,171.0,364.0,188.8401092599555,North,-176.3739083424914,3.770505178425905,ɑː->æː,ɑː,æː
sorsele,166.0,143.0,405.736623807046,North,-168.390877384065,3.2646523927595092,ɑː->æː,ɑː,æː
sorunda,181.0,406.0,149.16608670177132,Centre,-167.48517076172732,3.7619160747206917,ɑː->æː,ɑː,æː
st_anna,157.0,436.0,115.50682570414243,Centre,-174.88671480623077,3.5325513937246438,ɑː->æː,ɑː,æː
stenberga,128.0,474.0,73.11094801174586,South,-180.56256638901579,4.253096532386485,ɑː->æː,ɑː,æː
storsjo,87.0,251.0,285.8275543303726,North,-167.9803532067365,3.5181279899313296,ɑː->æː,ɑː,æː
strom,132.0,211.0,332.92758406040195,North,-173.32812030418148,3.8574413776005465,ɑː->æː,ɑː,æː
tjallmo,128.0,416.0,130.2582039594654,Centre,-176.57596642103078,4.037913411744809,ɑː->æː,ɑː,æː
torhamn,135.0,521.0,27.997895933433075,South,-180.35082535241207,4.899259188009517,ɑː->æː,ɑː,æː
torp,145.0,265.0,281.9425332445665,North,-178.01837561952044,3.94376245837914,ɑː->æː,ɑː,æː
