village,geo_x,geo_y,geo_position,geographic_group,first_x,first_y,second_x,second_y
ankarsrum,149.0,456.0,94.43409687486621,Centre,-8.37011588275,-5.59196850394,-11.599216379200001,-5.95996906419
anundsjo,182.0,230.0,322.74929689041943,North,-7.77732394366,-5.42777777778,-12.318991575950001,-5.79750477076
are,89.0,227.0,309.8163893481515,North,-8.16013793103,-5.42777777778,-12.0510095729,-6.1001890503
arjeplog,171.0,122.0,427.2821082142336,North,-8.168919739195001,-5.774994799125,-11.7097515569,-6.2160061092
arstad,70.0,485.0,52.36353118905221,South,-7.28231381056,-5.210270996785,-12.2598292423,-5.90481582009
arsunda,156.0,343.0,206.96864741095214,North,-7.71850229601,-5.70537196554,-11.4881466411,-6.341240549589999
asby,125.0,446.0,100.186736530837,Centre,-7.98348189415,-5.27776179057,-12.3637133151,-5.999154594065001
aspas,112.0,229.0,311.77528251009113,North,-7.58157404289,-5.02994361672,-11.227011795774999,-6.346625170339999
bara,79.0,539.0,0.6950911219785691,South,-8.523496055915,-5.1934288173,-10.8248235294,-5.81753894081
bengtsf,62.0,401.0,133.76174405913517,Centre,-7.56646723647,-5.46903992963,-12.3637133151,-5.54298342541
berg,112.0,252.0,289.11343963427134,North,-8.12257083621,-5.737544957,-11.9227322404,-6.394430678565
bjurholm,197.0,211.0,344.0326593930225,North,-8.47932249322,-5.676908982624999,-11.65092520765,-6.1197488014850006
boda,163.0,475.0,78.10530644374003,Centre,-8.05961165049,-6.05382602002,-11.1496803916,-6.36806366048
bredsattra,158.0,489.0,63.4569046509324,South,-8.33341530055,-5.65692307692,-11.99645746645,-6.424486347725
broby,99.0,510.0,32.68566535202928,South,-9.0746240645,-5.29870538671,-11.9482126247,-5.777541948905
burseryd,84.0,478.0,61.65247618276582,South,-8.13181921447,-5.37870865064,-11.390311270275,-6.0182370125
burtrask,222.0,177.0,381.8039577688209,North,-9.9304044804,-6.54751783703,-11.5046314885,-6.227484366575
dalby,82.0,336.0,201.22302887742558,North,-8.4117293986125,-5.5078416768125,-12.069240189550001,-6.0880842772224995
floby,85.0,439.0,100.24992663283506,Centre,-7.9066773469200005,-5.1760560365299995,-12.9969868554,-5.563240914825
frandef,63.0,423.0,112.25604601246488,Centre,-8.367058551469999,-5.386160208034999,-11.89712838605,-6.08103711663
frillesas,58.0,470.0,65.09282618043753,South,-7.522384783654999,-5.551150805424999,-11.9691641891,-6.284692360319999
grangarde,119.0,354.0,189.80902415725896,North,-7.48615164521,-6.0661282682949995,-12.7854956343,-6.43574018127
graso,189.0,350.0,205.70952611928726,North,-7.8389961579600005,-5.365491752745,-12.866382288250001,-5.473123407645
hammaro,90.0,391.0,148.3984439812024,Centre,-8.39751759456,-5.7455693535000005,-11.5731430171,-6.27706059008
