village,speaker,first_vowel,second_vowel,geo_x,geo_y,first_x,first_y,second_x,second_y,pair_dx,pair_dy,pair_length,directed_angle_from_horizontal_deg,geo_position,geographic_group
ankarsrum,ym_1,æː,eː,149.0,456.0,-11.599216379200001,-5.72142069945,-12.5078408877,-4.38498040695,-0.9086245084999991,1.3364402925000007,1.616066568203288,124.21116109796324,94.43409687486621,Centre
ankarsrum,ym_2,æː,eː,149.0,456.0,-11.8912814896,-6.12365170694,-13.4565380704,-4.38498040695,-1.5652565807999999,1.73867129999,2.339445672193869,131.9954482496063,94.43409687486621,Centre
ankarsrum,ym_3,æː,eː,149.0,456.0,-11.4234549053,-5.95996906419,-12.3785185185,-4.76173628174,-0.9550636132000001,1.1982327824499999,1.5322885845024454,128.55695328465993,94.43409687486621,Centre
anundsjo,ym_1,æː,eː,182.0,230.0,-12.65250670735,-5.79750477076,-13.7567397521,-4.76173628174,-1.10423304475,1.0357684890199996,1.5139838109981985,136.8324251157116,322.74929689041943,North
anundsjo,ym_2,æː,eː,182.0,230.0,-12.318991575950001,-6.326477351735,-12.9260991105,-4.76173628174,-0.6071075345499981,1.5647410699949997,1.6783903522829466,111.20587119999652,322.74929689041943,North
anundsjo,ym_3,æː,eː,182.0,230.0,-12.19394818535,-5.48961394086,-12.8407161125,-4.33945720251,-0.64676792715,1.1501567383499998,1.3195337336960422,119.35036477699347,322.74929689041943,North
are,ym_1,æː,eː,89.0,227.0,-12.5684853056,-6.215322125855,-13.492481334899999,-5.75358122167,-0.9239960292999996,0.4617409041849996,1.0329440085308335,153.44770470813222,309.8163893481515,North
are,ym_2,æː,eː,89.0,227.0,-11.9929961936,-4.50312474099,-12.4988303173,-4.50312474099,-0.5058341236999997,0.0,0.5058341236999997,180.0,309.8163893481515,North
are,ym_3,æː,eː,89.0,227.0,-12.0510095729,-6.1001890503,-12.8988948307,-5.04864646465,-0.8478852577999998,1.05154258565,1.3507965131099724,128.88010655863096,309.8163893481515,North
arjeplog,ym_1,æː,eː,171.0,122.0,-11.7097515569,-5.84516657744,-12.4916108206,-4.74850964735,-0.7818592636999995,1.09665693009,1.3468334457340776,125.48689049313315,427.2821082142336,North
arjeplog,ym_2,æː,eː,171.0,122.0,-11.61827097715,-6.2160061092,-12.890368791850001,-4.655381697325,-1.2720978147000004,1.5606244118750006,2.013400458206143,129.18420145727544,427.2821082142336,North
arjeplog,ym_3,æː,eː,171.0,122.0,-12.1580972857,-6.48806026365,-13.689220353349999,-4.962231033365,-1.5311230676499985,1.5258292302850007,2.161594940843927,135.0992211214561,427.2821082142336,North
arstad,ym_1,æː,eː,70.0,485.0,-12.4334650856,-5.90481582009,-13.723823178,-4.60194719472,-1.2903580924,1.3028686253699995,1.8337095357759579,134.72358946756532,52.36353118905221,South
arstad,ym_2,æː,eː,70.0,485.0,-12.2598292423,-6.31510638298,-13.71595439265,-4.984091614584999,-1.4561251503499992,1.3310147683950007,1.9727900970877275,137.57019318723468,52.36353118905221,South
arstad,ym_3,æː,eː,70.0,485.0,-12.169469614299999,-5.749238382945,-13.2691023067,-4.379568723545,-1.099632692400002,1.3696696594000004,1.7564700492965402,128.7590710877289,52.36353118905221,South
arsunda,ym_1,æː,eː,156.0,343.0,-11.16271876155,-6.16587319951,-11.8557342849,-4.75292093404,-0.6930155233500006,1.4129522654700004,1.5737549428360444,116.1267229118594,206.96864741095214,North
arsunda,ym_2,æː,eː,156.0,343.0,-11.4881466411,-6.814320502795,-12.0587280108,-5.37801113763,-0.5705813696999993,1.436309365165,1.5454927019916376,111.66570782399542,206.96864741095214,North
arsunda,ym_3,æː,eː,156.0,343.0,-11.63666457255,-6.341240549589999,-12.5992918511,-5.07435028249,-0.9626272785500003,1.266890267099999,1.5911198026174167,127.2288327379999,206.96864741095214,North
asby,ym_1,æː,eː,125.0,446.0,-12.3637133151,-5.999154594065001,-12.951466623750001,-4.853862514125,-0.5877533086500009,1.1452920799400008,1.2873025674651304,117.1664754044905,100.186736530837,Centre
asby,ym_2,æː,eː,125.0,446.0,-11.5111224243,-6.2389597088399995,-12.6135240572,-4.22897188418,-1.1024016328999995,2.0099878246599996,2.292452925471322,118.74308781949338,100.186736530837,Centre
asby,ym_3,æː,eː,125.0,446.0,-12.5348783678,-5.22727564103,-13.1791273997,-4.34861435726,-0.6442490319000012,0.8786612837700005,1.0895423198299523,126.24948784682415,100.186736530837,Centre
aspas,ym_2,æː,eː,112.0,229.0,-11.32408678975,-6.46193404919,-12.1467025282,-4.89310541311,-0.8226157384500006,1.5688286360800001,1.7714174952648156,117.67028239005649,311.77528251009113,North
aspas,ym_3,æː,eː,112.0,229.0,-11.1299368018,-6.23131629149,-12.42953741965,-4.462413694785,-1.2996006178500004,1.7689025967049998,2.1949893308501056,126.30446998763833,311.77528251009113,North
bara,ym_1,æː,eː,79.0,539.0,-10.5894655121,-5.47730799683,-11.41762609555,-5.265121794715,-0.8281605834499999,0.2121862021149994,0.854911069262898,165.62916555865166,0.6950911219785691,South
bara,ym_2,æː,eː,79.0,539.0,-10.8248235294,-5.81753894081,-12.6383592939,-5.0657892612,-1.813535764500001,0.7517496796099996,1.963170789797551,157.4849388689147,0.6950911219785691,South
bara,ym_3,æː,eː,79.0,539.0,-11.3855555556,-5.88900271634,-12.1731423029,-4.836368215015,-0.7875867473000007,1.0526345013250005,1.3146605181195363,126.80403174452138,0.6950911219785691,South
