village,geo_x,geo_y,geographic_position,geographic_group,median_unwrapped_angle_deg,median_pair_distance,pair,first_vowel,second_vowel
ankarsrum,149.0,456.0,94.43409687486621,Centre,128.55695328465993,1.616066568203288,æː->eː,æː,eː
anundsjo,182.0,230.0,322.74929689041943,North,119.35036477699347,1.5139838109981985,æː->eː,æː,eː
are,89.0,227.0,309.8163893481515,North,153.44770470813222,1.0329440085308335,æː->eː,æː,eː
arjeplog,171.0,122.0,427.2821082142336,North,129.18420145727544,2.013400458206143,æː->eː,æː,eː
arstad,70.0,485.0,52.36353118905221,South,134.72358946756532,1.8337095357759579,æː->eː,æː,eː
arsunda,156.0,343.0,206.96864741095214,North,116.12672291185942,1.5737549428360444,æː->eː,æː,eː
asby,125.0,446.0,100.186736530837,Centre,118.74308781949338,1.2873025674651304,æː->eː,æː,eː
aspas,112.0,229.0,311.77528251009113,North,121.9873761888474,1.9832034130574607,æː->eː,æː,eː
bara,79.0,539.0,0.6950911219785691,South,157.4849388689147,1.3146605181195363,æː->eː,æː,eː
bengtsf,62.0,401.0,133.76174405913517,Centre,129.48452805028072,1.8139821050494276,æː->eː,æː,eː
berg,112.0,252.0,289.11343963427134,North,114.5349836971113,1.0947118444916002,æː->eː,æː,eː
bjurholm,197.0,211.0,344.0326593930225,North,121.33353682133361,1.7496691240760287,æː->eː,æː,eː
boda,163.0,475.0,78.10530644374003,Centre,132.67774447795694,2.6105553859165695,æː->eː,æː,eː
bredsattra,158.0,489.0,63.4569046509324,South,124.96241224237184,1.9628787822832159,æː->eː,æː,eː
broby,99.0,510.0,32.68566535202928,South,115.13751686070671,1.434128698414702,æː->eː,æː,eː
burseryd,84.0,478.0,61.65247618276582,South,130.979804703831,2.4926183854485573,æː->eː,æː,eː
burtrask,222.0,177.0,381.8039577688209,North,121.61144852629224,1.6882589583526522,æː->eː,æː,eː
dalby,82.0,336.0,201.22302887742558,North,108.27299921802776,1.9558415162412546,æː->eː,æː,eː
floby,85.0,439.0,100.24992663283506,Centre,134.02458150892545,1.7753783361099975,æː->eː,æː,eː
frandef,63.0,423.0,112.25604601246488,Centre,128.3656645805466,1.528320262370375,æː->eː,æː,eː
frillesas,58.0,470.0,65.09282618043753,South,135.98466442752812,2.0140728794436846,æː->eː,æː,eː
grangarde,119.0,354.0,189.80902415725896,North,129.67915794966552,1.1228157499673483,æː->eː,æː,eː
graso,189.0,350.0,205.70952611928726,North,90.61407143000548,0.962698213659868,æː->eː,æː,eː
hammaro,90.0,391.0,148.3984439812024,Centre,133.21509834678292,1.4797859182540904,æː->eː,æː,eː
hamneda,93.0,496.0,45.45474670393189,South,118.15842294722756,1.0183115575019437,æː->eː,æː,eː
haraker,149.0,373.0,176.21379073108554,North,136.13696163578618,2.014671745391094,æː->eː,æː,eː
jamshog,108.0,514.0,30.28210110195524,South,129.6141657524988,1.469279025881493,æː->eː,æː,eː
jarnboas,117.0,378.0,165.82018913948008,North,137.45686990648204,2.8299221672775987,æː->eː,æː,eː
jarsnas,113.0,452.0,92.22478367908248,Centre,121.53666118997546,1.5011499510397726,æː->eː,æː,eː
karna,53.0,448.0,85.9151349758696,Centre,125.31035203323796,1.4521464592140487,æː->eː,æː,eː
karsta,186.0,377.0,178.59395123967883,North,153.98033082052723,1.9361852425823691,æː->eː,æː,eː
korsberga,100.0,432.0,109.7097189393582,Centre,123.40965484131408,2.678541050268027,æː->eː,æː,eː
kramfors,173.0,248.0,303.4763157810137,North,126.36034901517809,1.676051312884916,æː->eː,æː,eː
lanna,161.0,393.0,158.55800815800026,Centre,130.9518764457797,2.727971471764122,æː->eː,æː,eː
leksand,120.0,335.0,208.70052428052836,North,119.55160738299837,1.7433393021219938,æː->eː,æː,eː
loderup,98.0,543.0,0.0,South,166.18276850954294,0.864709858267089,æː->eː,æː,eː
malung,96.0,337.0,202.62959374041924,North,53.92548522237212,0.374654962278297,æː->eː,æː,eː
n_rorum,84.0,522.0,18.299385463806168,South,141.58112139868953,1.3228678234800504,æː->eː,æː,eː
nora,160.0,357.0,193.85787143343043,North,84.2970036309456,0.8594800648846844,æː->eː,æː,eː
nysatra,228.0,188.0,371.9907689659383,North,123.52153095831721,1.6036661520659992,æː->eː,æː,eː
ockelbo,156.0,328.0,221.748110156052,North,136.2349092014507,1.978265455637047,æː->eː,æː,eː
orust,49.0,436.0,97.05531592071132,Centre,136.67119049379247,1.3122644337443303,æː->eː,æː,eː
ossjo,74.0,515.0,23.48799495009064,South,130.32412476857792,1.7491932603605749,æː->eː,æː,eː
ostad,63.0,445.0,90.57950065298506,Centre,119.42494945184389,1.4239749304633678,æː->eː,æː,eː
ovanaker,140.0,310.0,236.74990844521912,North,121.01212161569964,1.770801799266097,æː->eː,æː,eː
oxaback,71.0,468.0,69.28443627964162,South,129.63155549601078,1.8323821355909278,æː->eː,æː,eː
pitea,233.0,141.0,419.15398879796567,North,127.93183951076924,1.7971945827380513,æː->eː,æː,eː
ragunda,145.0,241.0,305.5896736367263,North,137.1476473860061,1.5012550062720145,æː->eː,æː,eː
rimforsa,134.0,437.0,110.59203999318285,Centre,131.73050251997955,2.011433955908585,æː->eː,æː,eː
s_finnskoga,74.0,333.0,202.8121429239692,North,99.60711413192462,1.604356979094936,æː->eː,æː,eː
