village,geo_x,geo_y,geo_position,geographic_group,first_x,first_y,second_x,second_y
ankarsrum,149.0,456.0,94.43409687486621,Centre,-11.599216379200001,-5.95996906419,-12.5078408877,-4.38498040695
anundsjo,182.0,230.0,322.74929689041943,North,-12.318991575950001,-5.79750477076,-12.9260991105,-4.76173628174
are,89.0,227.0,309.8163893481515,North,-12.0510095729,-6.1001890503,-12.8988948307,-5.04864646465
arjeplog,171.0,122.0,427.2821082142336,North,-11.7097515569,-6.2160061092,-12.890368791850001,-4.74850964735
arstad,70.0,485.0,52.36353118905221,South,-12.2598292423,-5.90481582009,-13.71595439265,-4.60194719472
arsunda,156.0,343.0,206.96864741095214,North,-11.4881466411,-6.341240549589999,-12.0587280108,-5.07435028249
asby,125.0,446.0,100.186736530837,Centre,-12.3637133151,-5.999154594065001,-12.951466623750001,-4.34861435726
aspas,112.0,229.0,311.77528251009113,North,-11.227011795774999,-6.346625170339999,-12.288119973925,-4.677759553947499
bara,79.0,539.0,0.6950911219785691,South,-10.8248235294,-5.81753894081,-12.1731423029,-5.0657892612
bengtsf,62.0,401.0,133.76174405913517,Centre,-12.3637133151,-5.54298342541,-13.61640032135,-4.04233601354
berg,112.0,252.0,289.11343963427134,North,-11.9227322404,-6.394430678565,-12.447062755000001,-5.31542690604
bjurholm,197.0,211.0,344.0326593930225,North,-11.65092520765,-6.1197488014850006,-12.5384728033,-4.48506014102
boda,163.0,475.0,78.10530644374003,Centre,-11.1496803916,-6.36806366048,-12.919308416,-4.44884088076
bredsattra,158.0,489.0,63.4569046509324,South,-11.99645746645,-6.424486347725,-13.1233650476,-4.832
broby,99.0,510.0,32.68566535202928,South,-11.9482126247,-5.777541948905,-12.554554029675,-4.4827767400625
burseryd,84.0,478.0,61.65247618276582,South,-11.390311270275,-6.0182370125,-13.0284008638,-4.140711046165
burtrask,222.0,177.0,381.8039577688209,North,-11.5046314885,-6.227484366575,-12.56511692005,-4.84949429038
dalby,82.0,336.0,201.22302887742558,North,-12.069240189550001,-6.0880842772224995,-12.682487258950001,-4.2308702316525
floby,85.0,439.0,100.24992663283506,Centre,-12.9969868554,-5.563240914825,-14.1707278033,-4.17331089609
frandef,63.0,423.0,112.25604601246488,Centre,-11.89712838605,-6.08103711663,-13.087029045400001,-4.403336501675
