village,geo_x,geo_y,geographic_position,geographic_group,median_unwrapped_angle_deg,median_pair_distance,pair,first_vowel,second_vowel
ankarsrum,149.0,456.0,94.43409687486621,Centre,-3.4453758896189517,1.2147481324991136,yː->ʉ̟ː,yː,ʉ̟ː
anundsjo,182.0,230.0,322.74929689041943,North,5.0813029862531,0.9644308915323593,yː->ʉ̟ː,yː,ʉ̟ː
are,89.0,227.0,309.8163893481515,North,-6.234709985780363,0.9711173606319997,yː->ʉ̟ː,yː,ʉ̟ː
arjeplog,171.0,122.0,427.2821082142336,North,7.734251372494221,0.6037449784601601,yː->ʉ̟ː,yː,ʉ̟ː
arstad,70.0,485.0,52.36353118905221,South,2.5500539162628466,1.5728632145213302,yː->ʉ̟ː,yː,ʉ̟ː
arsunda,156.0,343.0,206.96864741095214,North,4.236057002969439,0.6674522483524198,yː->ʉ̟ː,yː,ʉ̟ː
asby,125.0,446.0,100.186736530837,Centre,-11.021392009790183,0.32877872817867876,yː->ʉ̟ː,yː,ʉ̟ː
aspas,112.0,229.0,311.77528251009113,North,-11.661981722391666,1.446389875816902,yː->ʉ̟ː,yː,ʉ̟ː
bara,79.0,539.0,0.6950911219785691,South,5.367618199437494,1.6129570351503038,yː->ʉ̟ː,yː,ʉ̟ː
bengtsf,62.0,401.0,133.76174405913517,Centre,-9.391472952143822,1.139211210594376,yː->ʉ̟ː,yː,ʉ̟ː
berg,112.0,252.0,289.11343963427134,North,-8.508293347884397,1.4033433199341223,yː->ʉ̟ː,yː,ʉ̟ː
bjurholm,197.0,211.0,344.0326593930225,North,-7.512671569015588,1.4592471104542302,yː->ʉ̟ː,yː,ʉ̟ː
boda,163.0,475.0,78.10530644374003,Centre,-34.80796769616054,1.0959208904598068,yː->ʉ̟ː,yː,ʉ̟ː
bredsattra,158.0,489.0,63.4569046509324,South,4.351632241917464,1.2748964232784539,yː->ʉ̟ː,yː,ʉ̟ː
broby,99.0,510.0,32.68566535202928,South,-31.982072567667547,0.5796004428026392,yː->ʉ̟ː,yː,ʉ̟ː
burseryd,84.0,478.0,61.65247618276582,South,-4.991079620811057,0.7486940653326283,yː->ʉ̟ː,yː,ʉ̟ː
burtrask,222.0,177.0,381.8039577688209,North,-5.498024888935099,1.353856578007227,yː->ʉ̟ː,yː,ʉ̟ː
dalby,82.0,336.0,201.22302887742558,North,-0.5381911280359972,1.467509004358589,yː->ʉ̟ː,yː,ʉ̟ː
floby,85.0,439.0,100.24992663283506,Centre,-4.377069315177032,1.8944845258811247,yː->ʉ̟ː,yː,ʉ̟ː
frandef,63.0,423.0,112.25604601246488,Centre,7.1450966559182305,1.4337540209394075,yː->ʉ̟ː,yː,ʉ̟ː
frillesas,58.0,470.0,65.09282618043753,South,-5.623513393679225,0.6767051691367808,yː->ʉ̟ː,yː,ʉ̟ː
grangarde,119.0,354.0,189.80902415725896,North,-6.8863466289197035,1.8364906203278755,yː->ʉ̟ː,yː,ʉ̟ː
graso,189.0,350.0,205.70952611928726,North,-3.7868704502495167,1.641775006262882,yː->ʉ̟ː,yː,ʉ̟ː
hammaro,90.0,391.0,148.3984439812024,Centre,-4.0313599153687605,0.9877098803238374,yː->ʉ̟ː,yː,ʉ̟ː
hamneda,93.0,496.0,45.45474670393189,South,1.7566207558251743,1.0801523181893256,yː->ʉ̟ː,yː,ʉ̟ː
haraker,149.0,373.0,176.21379073108554,North,-0.5668911138073942,1.9267121826687839,yː->ʉ̟ː,yː,ʉ̟ː
jamshog,108.0,514.0,30.28210110195524,South,26.94242231725469,0.7508985439879513,yː->ʉ̟ː,yː,ʉ̟ː
jarnboas,117.0,378.0,165.82018913948008,North,4.9247817177424125,0.9002408704852136,yː->ʉ̟ː,yː,ʉ̟ː
jarsnas,113.0,452.0,92.22478367908248,Centre,-18.101527719730562,1.0189430363498,yː->ʉ̟ː,yː,ʉ̟ː
karna,53.0,448.0,85.9151349758696,Centre,70.69544497075734,0.13518978904575507,yː->ʉ̟ː,yː,ʉ̟ː
karsta,186.0,377.0,178.59395123967883,North,-15.106367518343369,1.7501269767056837,yː->ʉ̟ː,yː,ʉ̟ː
korsberga,100.0,432.0,109.7097189393582,Centre,-3.1687928665171445,1.4539921903520057,yː->ʉ̟ː,yː,ʉ̟ː
kramfors,173.0,248.0,303.4763157810137,North,2.297552951699607,1.419685409525487,yː->ʉ̟ː,yː,ʉ̟ː
lanna,161.0,393.0,158.55800815800026,Centre,-16.976282115250193,1.4064377883558166,yː->ʉ̟ː,yː,ʉ̟ː
leksand,120.0,335.0,208.70052428052836,North,-6.312057535503634,1.7517185572518632,yː->ʉ̟ː,yː,ʉ̟ː
loderup,98.0,543.0,0.0,South,13.878509689371306,1.1631972545066975,yː->ʉ̟ː,yː,ʉ̟ː
malung,96.0,337.0,202.62959374041924,North,-4.089156427425529,1.8975901842173448,yː->ʉ̟ː,yː,ʉ̟ː
n_rorum,84.0,522.0,18.299385463806168,South,12.996005699115493,1.4045618882567643,yː->ʉ̟ː,yː,ʉ̟ː
nora,160.0,357.0,193.85787143343043,North,-156.15420943889066,1.5599459154256556,yː->ʉ̟ː,yː,ʉ̟ː
nysatra,228.0,188.0,371.9907689659383,North,3.2266936570798417,1.3285426023161575,yː->ʉ̟ː,yː,ʉ̟ː
ockelbo,156.0,328.0,221.748110156052,North,6.661338147750939e-15,1.1464785520999996,yː->ʉ̟ː,yː,ʉ̟ː
orust,49.0,436.0,97.05531592071132,Centre,4.439844680875417,0.809994602561599,yː->ʉ̟ː,yː,ʉ̟ː
