village,geo_x,geo_y,geo_position,geographic_group,first_x,first_y,second_x,second_y
ankarsrum,149.0,456.0,94.43409687486621,Centre,-12.826953405,-4.54815550041,-11.5690257559,-4.3072690554649995
anundsjo,182.0,230.0,322.74929689041943,North,-13.10354088645,-3.985691502385,-12.1429001883,-3.9002725724
are,89.0,227.0,309.8163893481515,North,-13.1398149537,-3.38333358648,-12.1694736842,-3.5812484643299998
arjeplog,171.0,122.0,427.2821082142336,North,-12.8988948307,-3.72738197425,-12.085161816,-3.828548778755
arstad,70.0,485.0,52.36353118905221,South,-12.8359870944,-4.43068229316,-11.27710870185,-4.34861435726
arsunda,156.0,343.0,206.96864741095214,North,-12.6982993021,-3.94782830429,-11.515290812,-3.8045508982
asby,125.0,446.0,100.186736530837,Centre,-12.0317353579,-4.40242645096,-11.7117715553,-4.68213727908
aspas,112.0,229.0,311.77528251009113,North,-12.99996966545,-3.23103347441,-11.60954152065,-3.5319123224249998
bara,79.0,539.0,0.6950911219785691,South,-11.8120484581,-4.2981080756650005,-10.2886427267,-4.23358891899
bengtsf,62.0,401.0,133.76174405913517,Centre,-11.96560024465,-3.895504841805,-10.8972131148,-4.11736819907
berg,112.0,252.0,289.11343963427134,North,-13.0737672782,-3.82376068376,-11.3897761405,-3.957311179745
bjurholm,197.0,211.0,344.0326593930225,North,-13.1431,-3.79493367565,-11.6874979172,-3.73705705706
boda,163.0,475.0,78.10530644374003,Centre,-12.1124076571,-3.9667940552,-11.21258007095,-4.592376114845
bredsattra,158.0,489.0,63.4569046509324,South,-12.8886646279,-4.08929054054,-11.655006958,-3.98572761986
broby,99.0,510.0,32.68566535202928,South,-11.77554462825,-4.543250753395,-11.437686501975,-4.1152190851225
burseryd,84.0,478.0,61.65247618276582,South,-12.395616135575,-3.7864596932075,-11.66555153455,-3.86375990143
burtrask,222.0,177.0,381.8039577688209,North,-12.990268083,-3.86208191126,-11.26433948365,-3.923993788045
dalby,82.0,336.0,201.22302887742558,North,-12.55061569015,-3.8723095893675,-11.091005512399999,-3.9310540781350003
floby,85.0,439.0,100.24992663283506,Centre,-13.7716448465,-3.40337831955,-11.853584395150001,-3.81412293965
frandef,63.0,423.0,112.25604601246488,Centre,-12.69104225365,-3.932199608985,-11.7640607049,-3.866413308665
frillesas,58.0,470.0,65.09282618043753,South,-11.8394206442,-4.5334053568075,-11.181568074849999,-4.58042365136
grangarde,119.0,354.0,189.80902415725896,North,-13.8353301551,-4.86212574736,-12.0120880848,-5.08232145949
graso,189.0,350.0,205.70952611928726,North,-12.8852510834,-3.8572897255800003,-11.5194382022,-3.942717562145
hammaro,90.0,391.0,148.3984439812024,Centre,-12.6525103734,-4.2751385197800005,-11.677325898549999,-4.34861435726
hamneda,93.0,496.0,45.45474670393189,South,-12.67537748055,-3.92384811452,-11.5957327742,-3.89073711121
haraker,149.0,373.0,176.21379073108554,North,-12.5060550459,-4.07051667467,-10.7011088052,-3.94782830429
jamshog,108.0,514.0,30.28210110195524,South,-11.3771072036,-4.07991550486,-11.08184310245,-3.8524117353
jarnboas,117.0,378.0,165.82018913948008,North,-11.895216055,-4.10333726955,-10.83786036715,-4.1960212635800005
jarsnas,113.0,452.0,92.22478367908248,Centre,-12.1352893674,-4.02349851758,-11.07524317255,-4.270486731565
karna,53.0,448.0,85.9151349758696,Centre,-11.646820746700001,-4.21971452561,-11.8596926454,-4.33029239766
karsta,186.0,377.0,178.59395123967883,North,-13.3436139833,-3.34346573549,-11.7520486591,-3.84293766012
korsberga,100.0,432.0,109.7097189393582,Centre,-13.0804019091,-3.5467968179750002,-11.3384875327,-3.654250222565
kramfors,173.0,248.0,303.4763157810137,North,-12.875,-4.06114164905,-11.5318664047,-3.70800687285
lanna,161.0,393.0,158.55800815800026,Centre,-12.62065883475,-3.8128030907275,-11.270097267925,-4.2008131756400005
leksand,120.0,335.0,208.70052428052836,North,-13.150885895975,-3.5024331026874997,-11.444998067775,-3.7366224242575
loderup,98.0,543.0,0.0,South,-11.3347212742,-5.0142776204,-10.49519406235,-4.73526855269
malung,96.0,337.0,202.62959374041924,North,-13.0638028169,-3.40337831955,-11.039648626950001,-3.4132250791
n_rorum,84.0,522.0,18.299385463806168,South,-12.457685423825,-4.34620848319,-11.096593521575,-4.004524184745
nora,160.0,357.0,193.85787143343043,North,-10.7425665287,-3.33344978166,-12.0080075889,-3.64379814745
