village,speaker,first_vowel,second_vowel,geo_x,geo_y,first_x,first_y,second_x,second_y,pair_dx,pair_dy,pair_length,directed_angle_from_horizontal_deg,geo_position,geographic_group
ankarsrum,ym_1,ʉ̟ː,øː,149.0,456.0,-11.5690257559,-4.01406779661,-10.329839262,-5.065785803605,1.2391864939000001,-1.0517180069950003,1.6253288691528587,-40.32181581193535,94.43409687486621,Centre
ankarsrum,ym_2,ʉ̟ː,øː,149.0,456.0,-11.74189984785,-4.3072690554649995,-10.4380946639,-5.70537196554,1.3038051839500007,-1.3981029100750009,1.9117007362176437,-46.998835454743286,94.43409687486621,Centre
ankarsrum,ym_3,ʉ̟ː,øː,149.0,456.0,-11.313437767,-4.61981863149,-10.17345253395,-5.66899246607,1.13998523305,-1.0491738345799995,1.549300508855323,-42.62459999170938,94.43409687486621,Centre
anundsjo,ym_1,ʉ̟ː,øː,182.0,230.0,-12.4005493925,-4.65547325103,-12.3748399047,-4.67325657895,0.025709487800000375,-0.017783327920000147,0.03126059044305825,-34.671723098510505,322.74929689041943,North
anundsjo,ym_2,ʉ̟ː,øː,182.0,230.0,-12.1429001883,-3.9002725724,-11.6223709902,-5.14259050684,0.5205291981000002,-1.2423179344400004,1.3469612081667008,-67.26639509673957,322.74929689041943,North
anundsjo,ym_3,ʉ̟ː,øː,182.0,230.0,-11.8478110409,-3.39341463415,-11.804077135,-4.47601659751,0.043733905899999925,-1.0826019633600001,1.0834849632533887,-87.6866784133875,322.74929689041943,North
are,ym_1,ʉ̟ː,øː,89.0,227.0,-12.28595644715,-3.5812484643299998,-11.15863519965,-5.677137024315,1.1273212474999994,-2.095888559985,2.379832357738871,-61.72540513111284,309.8163893481515,North
are,ym_2,ʉ̟ː,øː,89.0,227.0,-11.5235832631,-3.4332173913,-10.4476408557,-5.51019762846,1.0759424074000012,-2.0769802371600004,2.3391235473131644,-62.61439386335437,309.8163893481515,North
are,ym_3,ʉ̟ː,øː,89.0,227.0,-12.1694736842,-3.67888172043,-9.68776760341,-5.03147594015,2.4817060807899995,-1.3525942197199998,2.826371559906803,-28.591530479956727,309.8163893481515,North
arjeplog,ym_1,ʉ̟ː,øː,171.0,122.0,-11.8969624446,-3.828548778755,-11.88733073705,-4.770540808630001,0.009631707549999646,-0.9419920298750006,0.9420412698700374,-89.41418085911165,427.2821082142336,North
arjeplog,ym_2,ʉ̟ː,øː,171.0,122.0,-12.085161816,-3.29819197667,-11.87945082315,-4.52565503464,0.20571099284999939,-1.2274630579699997,1.2445812835087933,-80.48619138387741,427.2821082142336,North
arjeplog,ym_3,ʉ̟ː,øː,171.0,122.0,-13.2699480069,-3.90979991486,-12.1124076571,-5.0142776204,1.1575403497999996,-1.10447770554,1.599928330722976,-43.65619636653964,427.2821082142336,North
arstad,ym_1,ʉ̟ː,øː,70.0,485.0,-11.27710870185,-4.221405326355,-10.5283213429,-4.52115942029,0.7487873589500005,-0.2997540939350003,0.8065575154656424,-21.817183032142335,52.36353118905221,South
arstad,ym_2,ʉ̟ː,øː,70.0,485.0,-11.4965983852,-4.659898952555,-11.151855534900001,-5.452542887305,0.3447428502999994,-0.7926439347500001,0.864368000407772,-66.49444036897812,52.36353118905221,South
arstad,ym_3,ʉ̟ː,øː,70.0,485.0,-10.728771826,-4.34861435726,-10.4571755495,-4.704298939685,0.2715962764999986,-0.3556845824249999,0.4475221330655169,-52.635101564731,52.36353118905221,South
arsunda,ym_1,ʉ̟ː,øː,156.0,343.0,-11.4276540418,-3.49266261925,-10.6361774338,-5.4855401662,0.791476608,-1.99287754695,2.1442938553632604,-68.33936713748851,206.96864741095214,North
arsunda,ym_2,ʉ̟ː,øː,156.0,343.0,-11.515290812,-4.73526855269,-10.7425665287,-5.74557248925,0.7727242833000005,-1.0103039365599997,1.27193429949433,-52.58967242240196,206.96864741095214,North
arsunda,ym_3,ʉ̟ː,øː,156.0,343.0,-12.1618914562,-3.8045508982,-11.5214758072,-5.369610814894999,0.6404156489999995,-1.5650599166949992,1.6910188486026547,-67.74583757998052,206.96864741095214,North
asby,ym_1,ʉ̟ː,øː,125.0,446.0,-11.7117715553,-4.68213727908,-11.0752533566,-5.777420224525001,0.636518198700001,-1.0952829454450006,1.2668070681279648,-59.83720173669429,100.186736530837,Centre
asby,ym_2,ʉ̟ː,øː,125.0,446.0,-11.4569816643,-4.77054441261,-9.91003115265,-5.65692307692,1.5469505116500013,-0.8863786643100005,1.7828973672194879,-29.81204020430341,100.186736530837,Centre
asby,ym_3,ʉ̟ː,øː,125.0,446.0,-11.73997891275,-3.9951783499899998,-11.4527990971,-4.77054441261,0.28717981565000095,-0.7753660626199999,0.8268402370347068,-69.6763953146955,100.186736530837,Centre
aspas,ym_2,ʉ̟ː,øː,112.0,229.0,-11.6996448391,-3.4629787234,-11.0664504922,-4.93653939886,0.6331943468999999,-1.47356067546,1.6038441773464929,-66.74662848737579,311.77528251009113,North
aspas,ym_3,ʉ̟ː,øː,112.0,229.0,-11.5194382022,-3.60084592145,-11.151855534900001,-4.76173628174,0.3675826672999989,-1.1608903602900003,1.217695957911345,-72.43020417157668,311.77528251009113,North
bara,ym_1,ʉ̟ː,øː,79.0,539.0,-10.2886427267,-3.90979991486,-10.0716101172,-5.04864646465,0.21703260949999859,-1.1388465497900002,1.1593423211264937,-79.21038819655702,0.6950911219785691,South
bara,ym_2,ʉ̟ː,øː,79.0,539.0,-9.750319351135001,-4.302736609515,-10.0616049383,-5.25254901961,-0.3112855871649991,-0.9498124100950003,0.9995210508774346,-108.14571638732198,0.6950911219785691,South
bara,ym_3,ʉ̟ː,øː,79.0,539.0,-10.94173559305,-4.23358891899,-10.76311500125,-5.197712291045001,0.17862059179999967,-0.9641233720550009,0.980530056835428,-79.50397089748807,0.6950911219785691,South
bengtsf,ym_1,ʉ̟ː,øː,62.0,401.0,-11.91614787895,-4.40309003708,-12.0893679697,-4.997037472544999,-0.1732200907500001,-0.5939474354649992,0.6186911636146807,-106.25890867629025,133.76174405913517,Centre
bengtsf,ym_2,ʉ̟ː,øː,62.0,401.0,-10.8972131148,-4.11736819907,-11.374957342150001,-4.888751403624999,-0.47774422735000144,-0.7713832045549989,0.9073431517544998,-121.77136153864555,133.76174405913517,Centre
bengtsf,ym_3,ʉ̟ː,øː,62.0,401.0,-10.8266386314,-3.780441869795,-11.408724619800001,-4.668812575775,-0.5820859884000011,-0.8883707059799999,1.0620859706892891,-123.23396766283973,133.76174405913517,Centre
berg,ym_1,ʉ̟ː,øː,112.0,252.0,-11.3897761405,-4.07053254438,-10.737922068,-5.365511631405,0.6518540725000008,-1.2949790870250002,1.4497877664220165,-63.28067185240829,289.11343963427134,North
berg,ym_2,ʉ̟ː,øː,112.0,252.0,-11.3091628528,-3.957311179745,-10.91294982095,-5.26516212715,0.39621303184999945,-1.307850947405,1.3665499870974076,-73.14583194378172,289.11343963427134,North
berg,ym_3,ʉ̟ː,øː,112.0,252.0,-11.9266539197,-3.4629787234,-11.433945631450001,-4.498610463365,0.49270828824999846,-1.035631739965,1.1468629203759169,-64.55693822896909,289.11343963427134,North
bjurholm,ym_1,ʉ̟ː,øː,197.0,211.0,-11.0086013943,-3.98572360681,-10.9711421312,-4.78374219741,0.03745926309999881,-0.7980185905999995,0.7988972820927634,-87.31248941586212,344.0326593930225,North
bjurholm,ym_2,ʉ̟ː,øː,197.0,211.0,-11.875504386,-3.56162559447,-11.6590762382,-5.00566801619,0.21642814779999853,-1.4440424217199994,1.4601711060307618,-81.47615003352705,344.0326593930225,North
bjurholm,ym_3,ʉ̟ː,øː,197.0,211.0,-11.6874979172,-3.73705705706,-11.355944334,-4.72643150123,0.33155358319999984,-0.9893744441700005,1.0434507987008572,-71.47325954445304,344.0326593930225,North
boda,ym_2,ʉ̟ː,øː,163.0,475.0,-11.21258007095,-4.592376114845,-11.3219535919,-5.214473123935,-0.1093735209499993,-0.62209700909,0.6316385483832692,-99.97150619949984,78.10530644374003,Centre
bredsattra,ym_1,ʉ̟ː,øː,158.0,489.0,-12.300793294150001,-3.3633624708600003,-12.1276703474,-4.62874330449,0.1731229467500004,-1.26538083363,1.277168825492369,-82.20945226485158,63.4569046509324,South
bredsattra,ym_2,ʉ̟ː,øː,158.0,489.0,-11.5277259966,-3.98572761986,-11.2190656349,-4.62874330449,0.30866036169999944,-0.6430156846300004,0.7132603939410646,-64.3580648195335,63.4569046509324,South
bredsattra,ym_3,ʉ̟ː,øː,158.0,489.0,-11.655006958,-4.27514237856,-11.5235832631,-4.91918699187,0.13142369489999872,-0.6440446133100002,0.6573170099083057,-78.46657342823093,63.4569046509324,South
broby,ym_1,ʉ̟ː,øː,99.0,510.0,-11.14746383755,-4.668812575775,-10.471454646249999,-4.389703397585,0.6760091913000004,0.2791091781899997,0.7313619897642873,22.43464300745515,32.68566535202928,South
broby,ym_3,ʉ̟ː,øː,99.0,510.0,-11.7279091664,-3.56162559447,-10.8565776343,-4.46696554587,0.8713315320999993,-0.9053399513999998,1.2565265880325358,-46.096601696439556,32.68566535202928,South
burseryd,ym_1,ʉ̟ː,øː,84.0,478.0,-11.2877868946,-3.75125494717,-10.5518946423,-4.19189575452,0.7358922522999993,-0.4406408073499999,0.857730568475454,-30.91251712805363,61.65247618276582,South
burseryd,ym_2,ʉ̟ː,øː,84.0,478.0,-12.0433161745,-3.97626485569,-11.4820275979,-4.49409618574,0.5612885765999991,-0.5178313300499999,0.763671495214405,-42.69388730711954,61.65247618276582,South
burtrask,ym_1,ʉ̟ː,øː,222.0,177.0,-12.15735371155,-3.923993788045,-11.9618358522,-5.124333914919999,0.19551785934999977,-1.2003401268749991,1.2161593865571632,-80.74860241189069,381.8039577688209,North
burtrask,ym_2,ʉ̟ː,øː,222.0,177.0,-11.26433948365,-4.02820988538,-11.3262151394,-5.28615261686,-0.06187565575000065,-1.25794273148,1.2594635812352242,-92.81599378076045,381.8039577688209,North
burtrask,ym_3,ʉ̟ː,øː,222.0,177.0,-11.2363126253,-3.69830683283,-10.7975014732,-5.55116370809,0.43881115209999955,-1.8528568752599996,1.9041097204220083,-76.67615305365733,381.8039577688209,North
dalby,ym_1,ʉ̟ː,øː,82.0,336.0,-11.1774761411,-3.8858433005800004,-11.057636153,-5.0142776204,0.11983998809999896,-1.1284343198199993,1.134779994930926,-83.93789715703589,201.22302887742558,North
dalby,ym_2,ʉ̟ː,øː,82.0,336.0,-11.0045348837,-3.97626485569,-11.2619325342,-4.6643685726,-0.25739765049999974,-0.6881037169099997,0.7346701815837342,-110.5092197983632,201.22302887742558,North
floby,ym_1,ʉ̟ː,øː,85.0,439.0,-11.9384061135,-3.88119352089,-12.25019896215,-4.389650213975,-0.31179284865000056,-0.5084566930849999,0.5964419411914423,-121.51721570637359,100.24992663283506,Centre
floby,ym_2,ʉ̟ː,øː,85.0,439.0,-11.853584395150001,-3.5462181566649997,-12.81483815895,-4.154690814349999,-0.9612537637999985,-0.6084726576849997,1.1376501103458436,-147.6662310703489,100.24992663283506,Centre
floby,ym_3,ʉ̟ː,øː,85.0,439.0,-11.2770646745,-3.81412293965,-11.3069530561,-4.480515858865,-0.029888381599999292,-0.6663929192150002,0.6670628442167627,-92.56805133530905,100.24992663283506,Centre
frandef,ym_1,ʉ̟ː,øː,63.0,423.0,-11.82390037675,-3.8234982073,-11.3855555556,-4.691010682,0.4383448211500003,-0.8675124746999998,0.9719691744027398,-63.193015833216386,112.25604601246488,Centre
frandef,ym_2,ʉ̟ː,øː,63.0,423.0,-11.2147477064,-4.52115942029,-10.7011088052,-5.248340162325,0.5136389012000002,-0.7271807420350003,0.8902902630111806,-54.76480172099784,112.25604601246488,Centre
frandef,ym_4,ʉ̟ː,øː,63.0,423.0,-11.7640607049,-3.866413308665,-11.78810700585,-4.69964385855,-0.024046300949999377,-0.8332305498850001,0.8335774552199919,-91.65304700155453,112.25604601246488,Centre
