village,geo_x,geo_y,geographic_position,geographic_group,median_unwrapped_angle_deg,median_pair_distance,pair,first_vowel,second_vowel
ankarsrum,149.0,456.0,94.43409687486621,Centre,-42.62459999170939,1.6253288691528587,ʉ̟ː->øː,ʉ̟ː,øː
anundsjo,182.0,230.0,322.74929689041943,North,-67.26639509673957,1.0834849632533887,ʉ̟ː->øː,ʉ̟ː,øː
are,89.0,227.0,309.8163893481515,North,-61.72540513111285,2.379832357738871,ʉ̟ː->øː,ʉ̟ː,øː
arjeplog,171.0,122.0,427.2821082142336,North,-80.48619138387743,1.2445812835087933,ʉ̟ː->øː,ʉ̟ː,øː
arstad,70.0,485.0,52.36353118905221,South,-52.635101564731016,0.8065575154656424,ʉ̟ː->øː,ʉ̟ː,øː
arsunda,156.0,343.0,206.96864741095214,North,-67.74583757998052,1.6910188486026547,ʉ̟ː->øː,ʉ̟ː,øː
asby,125.0,446.0,100.186736530837,Centre,-59.8372017366943,1.2668070681279648,ʉ̟ː->øː,ʉ̟ː,øː
aspas,112.0,229.0,311.77528251009113,North,-69.58841632947623,1.410770067628919,ʉ̟ː->øː,ʉ̟ː,øː
bara,79.0,539.0,0.6950911219785691,South,-79.50397089748809,0.9995210508774346,ʉ̟ː->øː,ʉ̟ː,øː
bengtsf,62.0,401.0,133.76174405913517,Centre,-121.77136153864555,0.9073431517544998,ʉ̟ː->øː,ʉ̟ː,øː
berg,112.0,252.0,289.11343963427134,North,-64.55693822896909,1.3665499870974076,ʉ̟ː->øː,ʉ̟ː,øː
bjurholm,197.0,211.0,344.0326593930225,North,-81.47615003352705,1.0434507987008572,ʉ̟ː->øː,ʉ̟ː,øː
boda,163.0,475.0,78.10530644374003,Centre,-99.97150619949984,0.6316385483832692,ʉ̟ː->øː,ʉ̟ː,øː
bredsattra,158.0,489.0,63.4569046509324,South,-78.46657342823094,0.7132603939410646,ʉ̟ː->øː,ʉ̟ː,øː
broby,99.0,510.0,32.68566535202928,South,-11.830979344492206,0.9939442888984116,ʉ̟ː->øː,ʉ̟ː,øː
burseryd,84.0,478.0,61.65247618276582,South,-36.80320221758659,0.8107010318449295,ʉ̟ː->øː,ʉ̟ː,øː
burtrask,222.0,177.0,381.8039577688209,North,-80.7486024118907,1.2594635812352242,ʉ̟ː->øː,ʉ̟ː,øː
dalby,82.0,336.0,201.22302887742558,North,-97.22355847769956,0.9347250882573301,ʉ̟ː->øː,ʉ̟ː,øː
floby,85.0,439.0,100.24992663283506,Centre,-121.51721570637359,0.6670628442167627,ʉ̟ː->øː,ʉ̟ː,øː
frandef,63.0,423.0,112.25604601246488,Centre,-63.19301583321639,0.8902902630111806,ʉ̟ː->øː,ʉ̟ː,øː
frillesas,58.0,470.0,65.09282618043753,South,-46.01901993942663,1.3458291266701843,ʉ̟ː->øː,ʉ̟ː,øː
grangarde,119.0,354.0,189.80902415725896,North,-63.12181741016438,0.5530954626996587,ʉ̟ː->øː,ʉ̟ː,øː
graso,189.0,350.0,205.70952611928726,North,-66.56563996552482,1.8019222748650314,ʉ̟ː->øː,ʉ̟ː,øː
hammaro,90.0,391.0,148.3984439812024,Centre,-51.21564832661919,1.8053673755897277,ʉ̟ː->øː,ʉ̟ː,øː
hamneda,93.0,496.0,45.45474670393189,South,-80.6282730346578,0.9259404695696625,ʉ̟ː->øː,ʉ̟ː,øː
haraker,149.0,373.0,176.21379073108554,North,-81.70780189888119,1.164336261578587,ʉ̟ː->øː,ʉ̟ː,øː
jamshog,108.0,514.0,30.28210110195524,South,-26.44167005753438,1.303736211777288,ʉ̟ː->øː,ʉ̟ː,øː
jarnboas,117.0,378.0,165.82018913948008,North,-86.64023946014792,1.0380380379730105,ʉ̟ː->øː,ʉ̟ː,øː
jarsnas,113.0,452.0,92.22478367908248,Centre,-48.75895774132913,0.8511463932537676,ʉ̟ː->øː,ʉ̟ː,øː
karna,53.0,448.0,85.9151349758696,Centre,-45.14631679106428,1.4545623880601206,ʉ̟ː->øː,ʉ̟ː,øː
karsta,186.0,377.0,178.59395123967883,North,-76.25734759745056,1.0680987703598046,ʉ̟ː->øː,ʉ̟ː,øː
korsberga,100.0,432.0,109.7097189393582,Centre,-86.86493899821293,1.0621340018993575,ʉ̟ː->øː,ʉ̟ː,øː
kramfors,173.0,248.0,303.4763157810137,North,-89.09115903562268,1.3519110222221582,ʉ̟ː->øː,ʉ̟ː,øː
lanna,161.0,393.0,158.55800815800026,Centre,-42.2939565310258,1.8581646575203274,ʉ̟ː->øː,ʉ̟ː,øː
leksand,120.0,335.0,208.70052428052836,North,-76.91582191852271,1.5796748098054105,ʉ̟ː->øː,ʉ̟ː,øː
loderup,98.0,543.0,0.0,South,-67.74888538127838,1.2275917397442797,ʉ̟ː->øː,ʉ̟ː,øː
malung,96.0,337.0,202.62959374041924,North,-124.63262258794876,0.9821134421812275,ʉ̟ː->øː,ʉ̟ː,øː
n_rorum,84.0,522.0,18.299385463806168,South,-64.67404041937236,1.031099997917825,ʉ̟ː->øː,ʉ̟ː,øː
nora,160.0,357.0,193.85787143343043,North,-58.104912536457206,1.7548775801067709,ʉ̟ː->øː,ʉ̟ː,øː
nysatra,228.0,188.0,371.9907689659383,North,-73.17781308011324,1.2724288642729529,ʉ̟ː->øː,ʉ̟ː,øː
ockelbo,156.0,328.0,221.748110156052,North,-66.12322604692498,1.6168604231380195,ʉ̟ː->øː,ʉ̟ː,øː
orust,49.0,436.0,97.05531592071132,Centre,-56.627146206603285,1.7868644167952035,ʉ̟ː->øː,ʉ̟ː,øː
ossjo,74.0,515.0,23.48799495009064,South,-84.52240887322218,0.9492873034355014,ʉ̟ː->øː,ʉ̟ː,øː
ostad,63.0,445.0,90.57950065298506,Centre,-51.00591316950053,1.5490643524918033,ʉ̟ː->øː,ʉ̟ː,øː
ovanaker,140.0,310.0,236.74990844521912,North,-61.630931688737675,1.480791961661677,ʉ̟ː->øː,ʉ̟ː,øː
oxaback,71.0,468.0,69.28443627964162,South,-113.70411517585156,1.0106758203779387,ʉ̟ː->øː,ʉ̟ː,øː
pitea,233.0,141.0,419.15398879796567,North,-68.32078753805625,1.4990875352540516,ʉ̟ː->øː,ʉ̟ː,øː
ragunda,145.0,241.0,305.5896736367263,North,-48.64377519195726,1.7584865316595104,ʉ̟ː->øː,ʉ̟ː,øː
rimforsa,134.0,437.0,110.59203999318285,Centre,-35.561347111165404,2.0956840897069604,ʉ̟ː->øː,ʉ̟ː,øː
s_finnskoga,74.0,333.0,202.8121429239692,North,-74.33492931813181,1.3808622465528002,ʉ̟ː->øː,ʉ̟ː,øː
s_mellosa,129.0,395.0,151.12029911541478,Centre,-62.38167266281356,1.6706938036207453,ʉ̟ː->øː,ʉ̟ː,øː
segerstad,153.0,510.0,41.911420243744836,South,-67.5312520233844,0.6942268497341104,ʉ̟ː->øː,ʉ̟ː,øː
skee,42.0,404.0,127.38890525392424,Centre,-80.13978329324924,1.0908499495913508,ʉ̟ː->øː,ʉ̟ː,øː
skinnskatteberg,135.0,371.0,175.79252338443186,North,-63.51905587731375,1.403042001192814,ʉ̟ː->øː,ʉ̟ː,øː
skog,157.0,317.0,232.75723014860148,North,-70.14427382065143,1.0283883466567518,ʉ̟ː->øː,ʉ̟ː,øː
skuttunge,171.0,364.0,188.8401092599555,North,-64.74902926177141,1.44432158585088,ʉ̟ː->øː,ʉ̟ː,øː
sorsele,166.0,143.0,405.736623807046,North,-75.21041309256465,1.4675725582815653,ʉ̟ː->øː,ʉ̟ː,øː
sorunda,181.0,406.0,149.16608670177132,Centre,-74.57619257240924,1.7270584782783658,ʉ̟ː->øː,ʉ̟ː,øː
st_anna,157.0,436.0,115.50682570414243,Centre,-41.36127516449231,2.1855798126188177,ʉ̟ː->øː,ʉ̟ː,øː
stenberga,128.0,474.0,73.11094801174586,South,-94.63225714712006,0.916796609376059,ʉ̟ː->øː,ʉ̟ː,øː
storsjo,87.0,251.0,285.8275543303726,North,-20.60601784532163,1.8074555798861032,ʉ̟ː->øː,ʉ̟ː,øː
strom,132.0,211.0,332.92758406040195,North,-25.326691035029157,2.6182779422395157,ʉ̟ː->øː,ʉ̟ː,øː
tjallmo,128.0,416.0,130.2582039594654,Centre,-45.33302596194319,1.5974559011267828,ʉ̟ː->øː,ʉ̟ː,øː
torhamn,135.0,521.0,27.997895933433075,South,-58.27970007796431,1.5632484535137405,ʉ̟ː->øː,ʉ̟ː,øː
torp,145.0,265.0,281.9425332445665,North,-74.871161679974,1.6837259954859172,ʉ̟ː->øː,ʉ̟ː,øː
torsas,144.0,504.0,46.285579526498864,South,-64.6533185979241,1.0257302543027624,ʉ̟ː->øː,ʉ̟ː,øː
torso,95.0,414.0,126.59083766943033,Centre,-69.57017800527818,0.9597270161700953,ʉ̟ː->øː,ʉ̟ː,øː
v_vingaker,139.0,402.0,145.93168962913032,Centre,-39.19784559307719,1.5106504581781466,ʉ̟ː->øː,ʉ̟ː,øː
vackelsang,116.0,500.0,45.44304483319151,South,-147.79265106546563,0.42859641891639005,ʉ̟ː->øː,ʉ̟ː,øː
vaxtorp,78.0,504.0,35.00965688106874,South,-40.46324222267681,1.2319401817210534,ʉ̟ː->øː,ʉ̟ː,øː
vemdalen,102.0,266.0,273.610801277416,North,-32.04391394032346,1.4327662870308762,ʉ̟ː->øː,ʉ̟ː,øː
viby,116.0,402.0,142.0022014345107,Centre,-62.4378265538578,1.7378239098961437,ʉ̟ː->øː,ʉ̟ː,øː
vilhelmina,152.0,178.0,368.85934835581264,North,-74.76497747328106,0.945162959782301,ʉ̟ː->øː,ʉ̟ː,øː
villberga,166.0,379.0,173.2064099508079,North,-75.91262384078566,1.065952392431845,ʉ̟ː->øː,ʉ̟ː,øː
