village,geo_x,geo_y,geo_position,geographic_group,first_x,first_y,second_x,second_y
ankarsrum,149.0,456.0,94.43409687486621,Centre,-11.5690257559,-4.3072690554649995,-10.329839262,-5.66899246607
anundsjo,182.0,230.0,322.74929689041943,North,-12.1429001883,-3.9002725724,-11.804077135,-4.67325657895
are,89.0,227.0,309.8163893481515,North,-12.1694736842,-3.5812484643299998,-10.4476408557,-5.51019762846
arjeplog,171.0,122.0,427.2821082142336,North,-12.085161816,-3.828548778755,-11.88733073705,-4.770540808630001
arstad,70.0,485.0,52.36353118905221,South,-11.27710870185,-4.34861435726,-10.5283213429,-4.704298939685
arsunda,156.0,343.0,206.96864741095214,North,-11.515290812,-3.8045508982,-10.7425665287,-5.4855401662
asby,125.0,446.0,100.186736530837,Centre,-11.7117715553,-4.68213727908,-11.0752533566,-5.65692307692
aspas,112.0,229.0,311.77528251009113,North,-11.60954152065,-3.5319123224249998,-11.10915301355,-4.8491378403
bara,79.0,539.0,0.6950911219785691,South,-10.2886427267,-4.23358891899,-10.0716101172,-5.197712291045001
bengtsf,62.0,401.0,133.76174405913517,Centre,-10.8972131148,-4.11736819907,-11.408724619800001,-4.888751403624999
berg,112.0,252.0,289.11343963427134,North,-11.3897761405,-3.957311179745,-10.91294982095,-5.26516212715
bjurholm,197.0,211.0,344.0326593930225,North,-11.6874979172,-3.73705705706,-11.355944334,-4.78374219741
boda,163.0,475.0,78.10530644374003,Centre,-11.21258007095,-4.592376114845,-11.3219535919,-5.214473123935
bredsattra,158.0,489.0,63.4569046509324,South,-11.655006958,-3.98572761986,-11.5235832631,-4.62874330449
broby,99.0,510.0,32.68566535202928,South,-11.437686501975,-4.1152190851225,-10.664016140274999,-4.4283344717275
burseryd,84.0,478.0,61.65247618276582,South,-11.66555153455,-3.86375990143,-11.0169611201,-4.34299597013
burtrask,222.0,177.0,381.8039577688209,North,-11.26433948365,-3.923993788045,-11.3262151394,-5.28615261686
dalby,82.0,336.0,201.22302887742558,North,-11.091005512399999,-3.9310540781350003,-11.1597843436,-4.839323096499999
floby,85.0,439.0,100.24992663283506,Centre,-11.853584395150001,-3.81412293965,-12.25019896215,-4.389650213975
frandef,63.0,423.0,112.25604601246488,Centre,-11.7640607049,-3.866413308665,-11.3855555556,-4.69964385855
frillesas,58.0,470.0,65.09282618043753,South,-11.181568074849999,-4.58042365136,-10.2138144140975,-5.2924390366475
grangarde,119.0,354.0,189.80902415725896,North,-12.0120880848,-5.08232145949,-11.762036340249999,-5.57566587864
graso,189.0,350.0,205.70952611928726,North,-11.5194382022,-3.942717562145,-10.8066195524,-5.64072270228
hammaro,90.0,391.0,148.3984439812024,Centre,-11.677325898549999,-4.34861435726,-10.2886368028,-5.42777777778
hamneda,93.0,496.0,45.45474670393189,South,-11.5957327742,-3.89073711121,-11.5360033286,-4.9148435976
haraker,149.0,373.0,176.21379073108554,North,-10.7011088052,-3.94782830429,-10.3177885784,-5.15958199357
jamshog,108.0,514.0,30.28210110195524,South,-11.08184310245,-3.8524117353,-9.858875,-4.47601659751
jarnboas,117.0,378.0,165.82018913948008,North,-10.83786036715,-4.1960212635800005,-10.921866874100001,-5.05722132472
jarsnas,113.0,452.0,92.22478367908248,Centre,-11.07524317255,-4.270486731565,-10.5141434143,-4.91050020333
karna,53.0,448.0,85.9151349758696,Centre,-11.8596926454,-4.33029239766,-10.6128061529,-5.4484431855
karsta,186.0,377.0,178.59395123967883,North,-11.7520486591,-3.84293766012,-11.687487789199999,-4.80570494483
korsberga,100.0,432.0,109.7097189393582,Centre,-11.3384875327,-3.654250222565,-11.364397462300001,-4.67325657895
kramfors,173.0,248.0,303.4763157810137,North,-11.5318664047,-3.70800687285,-11.4820275979,-5.04006467259
lanna,161.0,393.0,158.55800815800026,Centre,-11.270097267925,-4.2008131756400005,-9.903301388025,-5.435783527605
leksand,120.0,335.0,208.70052428052836,North,-11.444998067775,-3.7366224242575,-11.097774174000001,-5.239428334034999
loderup,98.0,543.0,0.0,South,-10.49519406235,-4.73526855269,-10.1512093309,-6.077142995245
malung,96.0,337.0,202.62959374041924,North,-11.039648626950001,-3.4132250791,-11.739934383000001,-4.45790697674
n_rorum,84.0,522.0,18.299385463806168,South,-11.096593521575,-4.004524184745,-10.7767560849,-4.94317738972
nora,160.0,357.0,193.85787143343043,North,-12.0080075889,-3.64379814745,-10.9822998544,-5.214608538525001
nysatra,228.0,188.0,371.9907689659383,North,-11.7198448324,-3.94782830429,-11.3452724853,-5.15108966626
ockelbo,156.0,328.0,221.748110156052,North,-11.7560641238,-3.79493367565,-11.1016060081,-5.33635711439
orust,49.0,436.0,97.05531592071132,Centre,-12.0007608696,-3.9142678128800004,-11.6223709902,-4.875668075489999
ossjo,74.0,515.0,23.48799495009064,South,-11.084048583,-3.45306689835,-10.90396455745,-4.54812204802
ostad,63.0,445.0,90.57950065298506,Centre,-11.79540462065,-3.78137189311,-10.849124891575,-4.999946204925
ovanaker,140.0,310.0,236.74990844521912,North,-11.4569816643,-3.7756745182,-10.910709419349999,-5.14259050684
