model,n_villages,n_predictors,r2,adjusted_r2,cv_r2_10fold,coefficient_0,coefficient_1,pair,first_vowel,second_vowel,coefficient_2
angle_only,74,1,0.17483706976685043,0.16337647351361229,0.12903457724968148,105.35891342961393,-0.9608555339214985,uː->oː,uː,oː,
distance_only,74,1,0.004419170109164705,-0.0094083414170969,-0.15018118318567764,155.12546713222497,12.508706178365964,uː->oː,uː,oː,
angle_and_distance,74,2,0.20766466846486775,0.185345363351202,0.07610535842623611,61.82565278459854,-1.072725669488366,uː->oː,uː,oː,35.301930760141815
angle_only,74,1,0.06856811723364875,0.05563156330633823,-0.02175005122021112,39.84487971563985,-1.0290415357432325,oː->ɑː,oː,ɑː,
distance_only,74,1,0.07934720992460975,0.06656036561800704,0.026332248184745888,62.85910734270767,71.07397204586499,oː->ɑː,oː,ɑː,
angle_and_distance,74,2,0.13951341286087604,0.11527435406822462,0.04097085815227308,-51.838620495507705,-0.965699133563099,oː->ɑː,oː,ɑː,67.32871185273358
angle_only,74,1,0.003587289766187718,-0.01025177565372637,-0.0633872671161928,327.02500439070326,0.9158080978698281,ɑː->æː,ɑː,æː,
distance_only,74,1,0.000230727758125715,-0.013654956578567079,-0.06289339074118572,176.13466039062303,-2.1378009041880057,ɑː->æː,ɑː,æː,
angle_and_distance,74,2,0.003587973689791024,-0.024479970713313426,-0.10129759247071757,326.9395932048195,0.9126790259687322,ɑː->æː,ɑː,æː,-0.11990198458681858
angle_only,74,1,0.029763682011531456,0.016288177595024877,-0.03418743919074396,312.70952907997787,-1.1474918295353624,æː->eː,æː,eː,
distance_only,74,1,0.003624294989082788,-0.010214256469402327,-0.0586745912853901,144.98909873157987,13.19816861722282,æː->eː,æː,eː,
angle_and_distance,74,2,0.04466968325327658,0.017758970105481442,-0.051037526582282,298.24483890354475,-1.4229403163938419,æː->eː,æː,eː,28.263810083179862
angle_only,74,1,0.002729914777995668,-0.011121058627865388,-0.07515443310332026,166.549216105636,-0.24314683842910437,yː->ʉ̟ː,yː,ʉ̟ː,
distance_only,74,1,0.05265702370775638,0.03949948237036416,-0.014521312420462618,99.54835095797728,55.896229955984715,yː->ʉ̟ː,yː,ʉ̟ː,
angle_and_distance,74,2,0.05348229103189883,0.02681982035674113,-0.04771872369708996,99.65255982041027,-0.1344048984154179,yː->ʉ̟ː,yː,ʉ̟ː,55.17041403239011
angle_only,74,1,0.0006966232167467945,-0.013182590349687162,-0.09665345671686776,159.73910878726528,-0.12225221326015791,ʉ̟ː->øː,ʉ̟ː,øː,
distance_only,74,1,0.11007727293874148,0.09771723506289065,0.058414272304628256,54.37693873971176,87.08518671961579,ʉ̟ː->øː,ʉ̟ː,øː,
angle_and_distance,74,2,0.16644078458961042,0.14296024331044455,0.07056118863336736,-83.3348537731788,-1.294955224262938,ʉ̟ː->øː,ʉ̟ː,øː,125.83821461201471
