response,n_villages,r2,overall_f,overall_p,nonlinearity_f,nonlinearity_p,pair,first_vowel,second_vowel
angle,74,0.2360827431203717,7.210986909729321,0.0002758123445753464,2.806061190617927,0.06725605661328203,uː->oː,uː,oː
distance,74,0.12906783523723364,3.4578844875047703,0.020898399945447583,5.009234307784197,0.00926345834517758,uː->oː,uː,oː
angle,74,0.4268510808460245,17.37743581157868,1.5541240748862557e-08,21.878962530267497,4.1598074883764687e-08,oː->ɑː,oː,ɑː
distance,74,0.11970857052692396,3.1730400699612704,0.029452795172887923,1.6047499427849454,0.2082432810302699,oː->ɑː,oː,ɑː
angle,74,0.004971798960870744,0.11658829598916416,0.9500944522918429,0.04869994816559092,0.9524991176360476,ɑː->æː,ɑː,æː
distance,74,0.10048776771101853,2.606651133533985,0.05845534261173697,3.9009990886082058,0.024760255031108087,ɑː->æː,ɑː,æː
angle,74,0.1112891464058352,2.9219253247190666,0.039896882117537,3.2107082323354175,0.046334394724300565,æː->eː,æː,eː
distance,74,0.15094649165669272,4.1482483385472415,0.009160268096034128,6.072970469702679,0.003697580174921138,æː->eː,æː,eː
angle,74,0.06196151309245079,1.5412679319695552,0.21147791756038484,2.210043585567972,0.11729386490375958,yː->ʉ̟ː,yː,ʉ̟ː
distance,74,0.19804443049006415,5.762210385618602,0.0013976540008289742,6.345188475329522,0.002934319440939553,yː->ʉ̟ː,yː,ʉ̟ː
angle,74,0.006148827719492322,0.1443602933615741,0.9329611435681198,0.19200778035831353,0.8257336398304717,ʉ̟ː->øː,ʉ̟ː,øː
distance,74,0.16108848333656234,4.4804859668663735,0.006184205573306748,2.1282248824341754,0.12668787327714928,ʉ̟ː->øː,ʉ̟ː,øː
