village,group,geo_x,geo_y,axis_position,n_speakers
arjeplog,North,171.0,122.0,427.2821082142336,3
pitea,North,233.0,141.0,419.15398879796567,3
sorsele,North,166.0,143.0,405.736623807046,4
burtrask,North,222.0,177.0,381.8039577688209,3
vilhelmina,North,152.0,178.0,368.85934835581264,1
nysatra,North,228.0,188.0,371.9907689659383,3
bjurholm,North,197.0,211.0,344.0326593930225,3
strom,North,132.0,211.0,332.92758406040195,3
are,North,89.0,227.0,309.8163893481515,3
aspas,North,112.0,229.0,311.77528251009113,2
anundsjo,North,182.0,230.0,322.74929689041943,3
ragunda,North,145.0,241.0,305.5896736367263,3
kramfors,North,173.0,248.0,303.4763157810137,3
storsjo,North,87.0,251.0,285.8275543303726,3
berg,North,112.0,252.0,289.11343963427134,3
torp,North,145.0,265.0,281.9425332445665,2
vemdalen,North,102.0,266.0,273.610801277416,3
ovanaker,North,140.0,310.0,236.74990844521912,3
skog,North,157.0,317.0,232.75723014860148,3
ockelbo,North,156.0,328.0,221.748110156052,3
s_finnskoga,North,74.0,333.0,202.8121429239692,3
leksand,North,120.0,335.0,208.70052428052836,2
dalby,North,82.0,336.0,201.22302887742558,2
malung,North,96.0,337.0,202.62959374041924,3
arsunda,North,156.0,343.0,206.96864741095214,3
graso,North,189.0,350.0,205.70952611928726,3
grangarde,North,119.0,354.0,189.80902415725896,1
nora,North,160.0,357.0,193.85787143343043,3
skuttunge,North,171.0,364.0,188.8401092599555,2
skinnskatteberg,North,135.0,371.0,175.79252338443186,2
haraker,North,149.0,373.0,176.21379073108554,3
karsta,North,186.0,377.0,178.59395123967883,3
jarnboas,North,117.0,378.0,165.82018913948008,3
villberga,North,166.0,379.0,173.2064099508079,3
hammaro,Central,90.0,391.0,148.3984439812024,3
lanna,Central,161.0,393.0,158.55800815800026,2
s_mellosa,Central,129.0,395.0,151.12029911541478,3
bengtsf,Central,62.0,401.0,133.76174405913517,3
v_vingaker,Central,139.0,402.0,145.93168962913032,3
viby,Central,116.0,402.0,142.0022014345107,2
skee,Central,42.0,404.0,127.38890525392424,3
sorunda,Central,181.0,406.0,149.16608670177132,2
torso,Central,95.0,414.0,126.59083766943033,3
tjallmo,Central,128.0,416.0,130.2582039594654,3
frandef,Central,63.0,423.0,112.25604601246488,3
korsberga,Central,100.0,432.0,109.7097189393582,3
orust,Central,49.0,436.0,97.05531592071132,3
st_anna,Central,157.0,436.0,115.50682570414243,4
rimforsa,Central,134.0,437.0,110.59203999318285,3
floby,Central,85.0,439.0,100.24992663283506,3
ostad,Central,63.0,445.0,90.57950065298506,2
asby,Central,125.0,446.0,100.186736530837,3
karna,Central,53.0,448.0,85.9151349758696,3
jarsnas,Central,113.0,452.0,92.22478367908248,3
ankarsrum,Central,149.0,456.0,94.43409687486621,3
oxaback,South,71.0,468.0,69.28443627964162,3
frillesas,South,58.0,470.0,65.09282618043753,2
stenberga,South,128.0,474.0,73.11094801174586,3
boda,Central,163.0,475.0,78.10530644374003,1
burseryd,South,84.0,478.0,61.65247618276582,2
arstad,South,70.0,485.0,52.36353118905221,3
bredsattra,South,158.0,489.0,63.4569046509324,3
hamneda,South,93.0,496.0,45.45474670393189,3
vackelsang,South,116.0,500.0,45.44304483319151,3
torsas,South,144.0,504.0,46.285579526498864,3
vaxtorp,South,78.0,504.0,35.00965688106874,3
broby,South,99.0,510.0,32.68566535202928,2
segerstad,South,153.0,510.0,41.911420243744836,3
jamshog,South,108.0,514.0,30.28210110195524,3
ossjo,South,74.0,515.0,23.48799495009064,3
torhamn,South,135.0,521.0,27.997895933433075,3
n_rorum,South,84.0,522.0,18.299385463806168,2
bara,South,79.0,539.0,0.6950911219785691,3
loderup,South,98.0,543.0,0.0,3
