method,pair,group,first_vowel,second_vowel,n_villages,n_speakers,anchor_pair_length,midpoint_shift_along_axis,midpoint_shift_perpendicular,true_midpoint_x,true_midpoint_y,plot_x,plot_y,median_pair_distance,monotonic_north_central_south
fasttrack,uː->oː,North,uː,oː,34,93,0.5292682165836966,0.039785666300386706,0.12856922685246275,-7.173202102327501,-4.178562592415,-7.275229476152042,-4.256795968182044,0.9258134555563197,1
fasttrack,uː->oː,Central,uː,oː,22,61,0.5292682165836966,-0.07946693244146617,-0.006078841701412823,-7.352617680676875,-4.16586082413125,-7.3477937560887465,-4.162161896178601,0.7005986809765998,1
fasttrack,uː->oː,South,uː,oː,18,50,0.5292682165836966,-0.39444513173061097,-0.7252413204592139,-8.1149779225775,-4.3535115594075,-7.539455543490578,-3.9122078498473454,0.9973424724679145,1
fasttrack,oː->ɑː,North,oː,ɑː,34,93,1.436864899812465,0.0032324635736473454,0.03544680577735644,-7.592654122531875,-4.9971162038150005,-7.619093378231735,-4.9735059984398875,1.5328371182235982,0
fasttrack,oː->ɑː,Central,oː,ɑː,22,61,1.436864899812465,-0.13576175526153467,0.00528544852392091,-7.522570566016874,-4.873352738094375,-7.526512905021695,-4.869832236813295,1.472460442896272,0
fasttrack,oː->ɑː,South,oː,ɑː,18,50,1.436864899812465,0.16712041542127812,-0.10102413019997743,-7.803607352577499,-5.02845805858875,-7.72825492655102,-5.095747632629504,1.2748161336763264,0
fasttrack,ɑː->æː,North,ɑː,æː,34,93,3.8439775493445976,-0.018989195129461272,0.04597802101117079,-9.9799364411375,-5.775861806695,-9.985330053122253,-5.7302012398362585,3.854779517695053,0
fasttrack,ɑː->æː,Central,ɑː,æː,22,61,3.8439775493445976,-0.04789592452391131,-0.0015525873397880805,-9.956805041221873,-5.725268367669376,-9.956622909553326,-5.726810235206806,3.89991474323275,0
fasttrack,ɑː->æː,South,ɑː,æː,18,50,3.8439775493445976,0.02654273339917212,-0.10231413287451584,-10.0425499234475,-5.63393481401,-10.030547607533393,-5.735542521387748,3.611347694286044,0
fasttrack,æː->eː,North,æː,eː,34,93,1.7141262830380033,-0.11460463866843856,-0.06133329203807258,-12.3007303742875,-5.321813367848749,-12.35029122241964,-5.357945002805535,1.7465042130990112,0
fasttrack,æː->eː,Central,æː,eː,22,61,1.7141262830380033,0.16507782275175006,0.0685852820613777,-12.570473914387499,-5.172349199245,-12.515053038784835,-5.131945394190615,1.9127080304790063,0
fasttrack,æː->eː,South,æː,eː,18,50,1.7141262830380033,0.0701259313449614,0.008802430802830585,-12.466229454675002,-5.2138575550974995,-12.459116581360751,-5.208672015467525,1.660655758038027,0
fasttrack,yː->ʉ̟ː,North,yː,ʉ̟ː,34,93,1.2502756355419957,-0.09018650554050577,0.08417343006569919,-12.2975247502125,-3.8669769317368754,-12.296554478908932,-3.951144769434078,1.4423038348971704,0
fasttrack,yː->ʉ̟ː,Central,yː,ʉ̟ː,22,61,1.2502756355419957,0.2490665820900166,-0.15127950101709825,-11.95558012448125,-4.098503632477501,-11.957323930793292,-3.9472341822652113,1.104061401003727,0
fasttrack,yː->ʉ̟ː,South,yː,ʉ̟ː,18,50,1.2502756355419957,0.16188518548326675,-0.08099805455755696,-12.04356586659375,-4.029231799705,-12.044499535186329,-3.948239126548299,1.0095930756208182,0
fasttrack,ʉ̟ː->øː,North,ʉ̟ː,øː,34,93,1.2477585721393418,-0.011019598623905988,0.03884112785748156,-11.283331716206249,-4.479866444513124,-11.318418825385649,-4.496525615641185,1.391952123872807,0
fasttrack,ʉ̟ː->øː,Central,ʉ̟ː,øː,22,61,1.2477585721393418,0.2653746225174234,-0.028210869316391878,-11.2253561112875,-4.7583059622537505,-11.199871839682874,-4.746206166868364,1.529857405334975,0
fasttrack,ʉ̟ː->øː,South,ʉ̟ː,øː,18,50,1.2477585721393418,-0.11538087753115812,0.14257135957685974,-11.2343881951,-4.3411012858837505,-11.36317994588757,-4.402250917940425,0.9967326698879231,0
