method,pair,group,first_vowel,second_vowel,n_villages,n_speakers,anchor_pair_length,midpoint_shift_along_axis,midpoint_shift_perpendicular,true_midpoint_x,true_midpoint_y,plot_x,plot_y,median_pair_distance,monotonic_north_central_south
fasttrack,uː->oː,North,uː,oː,34,93,65.06919393998976,10.675174501786817,15.239546396018504,-790.5,-419.375,-801.039235947095,-430.3826464336325,101.97495261521723,1
fasttrack,uː->oː,Central,uː,oː,22,61,65.06919393998976,-11.4435872785935,-1.784638674133517,-818.25,-416.375,-817.0157947567312,-415.0859411903637,89.4027728827499,1
fasttrack,uː->oː,South,uː,oː,18,50,65.06919393998976,-80.0609272154881,-95.8633359705175,-932.875,-436.875,-866.5786490316485,-367.6321445441663,144.65931966273152,1
fasttrack,oː->ɑː,North,oː,ɑː,34,93,190.49216683370474,-1.0052906803625952,4.488824667769516,-853.8125,-510.3125,-856.73742531923,-506.9074509878853,206.49342815529528,0
fasttrack,oː->ɑː,Central,oː,ɑː,22,61,190.49216683370474,-17.40212631889421,-0.21190996024125114,-844.4375,-496.0625,-844.2994191316254,-496.2232467108167,194.03413853874565,0
fasttrack,oː->ɑː,South,oː,ɑː,18,50,190.49216683370474,25.88176469116452,-13.416316100971592,-885.875,-514.25,-877.132907011542,-524.4270991889803,169.54993824847634,0
fasttrack,ɑː->æː,North,ɑː,æː,34,93,769.9233931047945,-4.41243168531392,5.649182164033815,-1308.875,-603.0,-1309.2868076574837,-597.3658475725558,754.0874246962223,1
fasttrack,ɑː->æː,Central,ɑː,æː,22,61,769.9233931047945,2.759456760928453,-0.8283596046200307,-1316.5,-597.0625,-1316.439615183503,-597.88865574107,763.4540266429906,1
fasttrack,ɑː->æː,South,ɑː,æː,18,50,769.9233931047945,18.91691856025683,-12.976006885194337,-1333.5,-586.125,-1332.5540898056174,-599.0664840180241,726.173977735308,1
fasttrack,æː->eː,North,æː,eː,34,93,321.88218438584016,-30.40818049987912,-9.419207235047505,-1804.875,-550.75,-1809.703379044178,-558.8375348989982,330.942246880922,0
fasttrack,æː->eː,Central,æː,eː,22,61,321.88218438584016,49.04555576793357,18.071101499756953,-1887.1875,-533.625,-1877.9240741501067,-518.1087617014288,420.59496296580426,0
fasttrack,æː->eː,South,æː,eː,18,50,321.88218438584016,17.578515407107783,4.816931319011538,-1853.375,-538.375,-1850.9057932337,-534.2390786664477,293.82863476542605,0
fasttrack,yː->ʉ̟ː,North,yː,ʉ̟ː,34,93,332.7533808994283,-24.710868384791,8.736481481096185,-1806.125,-384.625,-1806.0856173130796,-393.3613927151604,363.14287409306223,0
fasttrack,yː->ʉ̟ː,Central,yː,ʉ̟ː,22,61,332.7533808994283,65.17777502779164,-16.16897546001536,-1716.125,-409.125,-1716.1978872029022,-392.95618882285305,264.3027637833113,0
fasttrack,yː->ʉ̟ː,South,yː,ʉ̟ː,18,50,332.7533808994283,42.149318173987325,-8.565089533564816,-1739.1875,-401.625,-1739.2261100789287,-393.05999749096435,251.32378418993036,0
fasttrack,ʉ̟ː->øː,North,ʉ̟ː,øː,34,93,176.07100840286,5.765074609429635,6.077803550437423,-1544.625,-454.8125,-1548.9398809715815,-459.0928619238089,175.61679526915083,0
fasttrack,ʉ̟ː->øː,Central,ʉ̟ː,øː,22,61,176.07100840286,35.90738791893751,-5.335915370294089,-1531.5,-484.25,-1527.7118157478792,-480.49212122189607,248.26352118208817,0
fasttrack,ʉ̟ː->øː,South,ʉ̟ː,øː,18,50,176.07100840286,0.41957503776527577,27.57907189859159,-1533.125,-435.875,-1552.7045095319506,-455.29787345569497,132.08012546190668,0
