lexical_item	mapped_target_label	mapped_ipa	is_mapped	total_count	surface_seg_counts
lott			no	1557	O:1314; o:174; O_E:22; u:18; o_e:13; ö:6; E:4; Ö:2; A:2; O-E:1; o::1
lass			no	1159	a:1141; A:8; Ä:4; E:3; ä:1; aE:1; e:1
flytta			no	1154	y:1046; o_e:23; U:15; ö:15; O_E:13; Ö:11; ö::10; y::9; Ö::4; Y:4; o_e::3; E:1
dörr			no	1141	o_e:531; Ö:313; ö::92; 9:37; o_e::30; O_E:29; Ö::21; ö:18; O:17; ö:a:10; yo_e:7; E:7; o-e:5; U:5; y:4; A:4; yö:4; a:4; o_E:1; ö:E:1; E::1
disk			no	1134	i:1097; I:29; e:7; u:1
sitt			no	1122	i:1081; I:25; y:8; i::5; U:2; O:1
lett			no	1118	e:782; ä:312; ei:10; i:9; ie:2; Ä:1; E:1; O:1
särk			no	1102	Ä:823; ä:206; e:35; a:27; E:9; i:1; O:1
blött			no	1077	ö:444; o_e:393; Ö:97; O:39; E:23; ö::18; U:14; a:10; o_ey:9; 2:6; O_E:5; yö:5; öi:4; o_e::4; ai:3; A:2; o_ei:1
ludd			no	1063	O_E:582; U:242; u:139; u0:44; u::21; O:10; E:10; o_e:6; o::5; O_E::4
tysk			no	1056	y:1024; U:24; Y:4; i:2; u:1; y::1
dis			no	1051	i::914; I::125; e::8; I:2; ö::1; i:1
sytt			no	1047	y:966; U:36; Y:12; i:11; o_e:8; ö::5; Öu:2; ö:2; O:2; Ö:1; e:1; ä:1
såll			no	1021	O:835; o:148; ö:14; u:13; o::4; A:2; O_E:2; Ö:2; o_e:1
lätt			no	601	ä:495; e:57; Ä:27; e::9; ä::5; o_e:4; E:2; I:2
läsk			no	496	ä:284; e:165; Ä:45; E:2
skott			no	474	u:439; U:22; O:6; o:4; O::3
snott			no	369	u:307; o:32; O:16; O_E:11; u::2; E:1
fisk			no	234	i:201; I:17; e:14; y:2
frost			no	61	O:58; o:3
ris			no	57	i::32; Ai:15; I::6; ai:4
präst			no	43	ä:28; Ä:15
nytt			no	41	y:29; y::11; i:1
brott			no	39	O:26; o::10; o:3
rysk			no	39	y:34; y::5
gris			no	37	i::37
gröt			no	30	e:12; o_e:6; o_ey:5; o_ei:4; Öy:2; Öi:1
glött			no	29	ö:21; o_e:7; Ö:1
värre			no	28	Ä:28
åtta			no	28	O:28
snett			no	27	ei:12; ä:11; ie:2; e:2
sött			no	27	ö:19; Ö:4; yo_e:3; yö:1
brytt			no	26	y:26
hund			no	26	O_E:26
där			no	23	Ä::22; ä::1
fångade			no	22	O:15; o:7
mörk			no	22	Ö:11; o_e:9; ö:2
rott			no	22	u:22
läsa			no	20	e:15; ä:5
brett			no	19	ei:18; eiyyyy:1
res			no	19	ei:16; e::2; ie::1
råd			no	19	o:17; O:2
spott			no	19	U:16; O_E:3
medans			no	18	ä:18
pris			no	18	i:18
syster			no	18	y:11; i:7
blått			no	17	O:12; o:5
dyrt			no	17	y:9; i:8
häst			no	16	ä:11; e:5
märr			no	16	Ä:15; ä:1
stjäla			no	16	e::10; ä::6
gräs			no	15	Ä::10; ä::5
led			no	15	e:9; ie:6
dike			no	14	Ai:11; ai:3
kol			no	14	uo_e:14
kål			no	14	o:8; o~:3; u:3
rad			no	14	A:14
värk			no	13	Ä:13
blöt(s)			no	12	Ä:11; o_e:1
bär			no	12	Ä::12
hett			no	12	Ä:12
leda			no	12	ei:12
rost			no	12	o_e:12
röst			no	12	o_e:12
tand			no	12	O:8; o:3; a:1
tunn			no	12	O:8; OE:4
