lexical_item	suggested_target_label	suggested_ipa	dominant_surface_seg_label	dominant_count	candidate_count	total_count	candidate_surface_seg_counts	surface_seg_counts	example_recordings
lott			O	1314	1557	1557	O:1314; o:174; O_E:22; u:18; o_e:13; ö:6; E:4; Ö:2; A:2; O-E:1; o::1	O:1314; o:174; O_E:22; u:18; o_e:13; ö:6; E:4; Ö:2; A:2; O-E:1; o::1	ankarsrum_ym_1, ankarsrum_ym_2, ankarsrum_ym_3, anundsjo_ym_1, anundsjo_ym_2, anundsjo_ym_3, are_ym_1, are_ym_2
lass			a	1141	1159	1159	a:1141; A:8; Ä:4; E:3; ä:1; aE:1; e:1	a:1141; A:8; Ä:4; E:3; ä:1; aE:1; e:1	alvdalen_ym_1, alvdalen_ym_2, alvdalen_ym_3, ankarsrum_ym_1, ankarsrum_ym_2, ankarsrum_ym_3, anundsjo_ym_1, anundsjo_ym_2
flytta			y	1046	1154	1154	y:1046; o_e:23; U:15; ö:15; O_E:13; Ö:11; ö::10; y::9; Ö::4; Y:4; o_e::3; E:1	y:1046; o_e:23; U:15; ö:15; O_E:13; Ö:11; ö::10; y::9; Ö::4; Y:4; o_e::3; E:1	ankarsrum_ym_1, ankarsrum_ym_2, ankarsrum_ym_3, anundsjo_ym_1, anundsjo_ym_2, anundsjo_ym_3, are_ym_1, are_ym_2
dörr			o_e	531	1141	1141	o_e:531; Ö:313; ö::92; 9:37; o_e::30; O_E:29; Ö::21; ö:18; O:17; ö:a:10; yo_e:7; E:7; o-e:5; U:5; y:4; A:4; yö:4; a:4; o_E:1; ö:E:1; E::1	o_e:531; Ö:313; ö::92; 9:37; o_e::30; O_E:29; Ö::21; ö:18; O:17; ö:a:10; yo_e:7; E:7; o-e:5; U:5; y:4; A:4; yö:4; a:4; o_E:1; ö:E:1; E::1	ankarsrum_ym_1, ankarsrum_ym_2, anundsjo_ym_1, anundsjo_ym_2, anundsjo_ym_3, arjeplog_ym_2, arjeplog_ym_3, arsunda_ym_1
disk			i	1097	1134	1134	i:1097; I:29; e:7; u:1	i:1097; I:29; e:7; u:1	ankarsrum_ym_1, ankarsrum_ym_2, ankarsrum_ym_3, anundsjo_ym_1, anundsjo_ym_2, anundsjo_ym_3, are_ym_1, are_ym_2
sitt			i	1081	1122	1122	i:1081; I:25; y:8; i::5; U:2; O:1	i:1081; I:25; y:8; i::5; U:2; O:1	ankarsrum_ym_1, ankarsrum_ym_2, ankarsrum_ym_3, anundsjo_ym_1, anundsjo_ym_2, anundsjo_ym_3, are_ym_1, are_ym_2
lett			e	782	1118	1118	e:782; ä:312; ei:10; i:9; ie:2; Ä:1; E:1; O:1	e:782; ä:312; ei:10; i:9; ie:2; Ä:1; E:1; O:1	ankarsrum_ym_3, anundsjo_ym_1, anundsjo_ym_2, anundsjo_ym_3, are_ym_1, are_ym_2, are_ym_3, arjeplog_ym_1
särk			Ä	823	1102	1102	Ä:823; ä:206; e:35; a:27; E:9; i:1; O:1	Ä:823; ä:206; e:35; a:27; E:9; i:1; O:1	ankarsrum_ym_1, ankarsrum_ym_2, ankarsrum_ym_3, anundsjo_ym_1, are_ym_1, are_ym_2, are_ym_3, arjeplog_ym_1
blött			ö	444	1077	1077	ö:444; o_e:393; Ö:97; O:39; E:23; ö::18; U:14; a:10; o_ey:9; 2:6; O_E:5; yö:5; öi:4; o_e::4; ai:3; A:2; o_ei:1	ö:444; o_e:393; Ö:97; O:39; E:23; ö::18; U:14; a:10; o_ey:9; 2:6; O_E:5; yö:5; öi:4; o_e::4; ai:3; A:2; o_ei:1	anundsjo_ym_1, anundsjo_ym_2, anundsjo_ym_3, are_ym_3, arjeplog_ym_1, arjeplog_ym_2, arjeplog_ym_3, arstad_ym_1
ludd			O_E	582	1063	1063	O_E:582; U:242; u:139; u0:44; u::21; O:10; E:10; o_e:6; o::5; O_E::4	O_E:582; U:242; u:139; u0:44; u::21; O:10; E:10; o_e:6; o::5; O_E::4	ankarsrum_ym_1, ankarsrum_ym_2, ankarsrum_ym_3, anundsjo_ym_1, anundsjo_ym_2, anundsjo_ym_3, are_ym_1, are_ym_2
