lexical_item	target_label	ipa	expected_reference_seg
sot	u:	uː	u:
rot	u:	uː	u:
ost	u:	uː	u:
låt	o:	oː	o:
lås	o:	oː	o:
sova	o:	oː	o:
gråt	o:	oː	o:
båt	o:	oː	o:
plåt	o:	oː	o:
gård	o:	oː	o:
lat	A:	ɑː	A:
glas	A:	ɑː	A:
nät	ä:	æː	ä:
lär	ä:	æː	ä:
läs	ä:	æː	ä:
fräs	ä:	æː	ä:
väv	ä:	æː	ä:
leta	e:	eː	e:
gles	e:	eː	e:
hes	e:	eː	e:
sten	e:	eː	e:
gren	e:	eː	e:
vev	e:	eː	e:
grep	e:	eː	e:
steg	e:	eː	e:
typ	y:	yː	y:
tyg	y:	yː	y:
nya	y:	yː	y:
tyskt	y:	yː	y:
prytt	y:	yː	y:
styv	y:	yː	y:
lus	U:	ʉ̟ː	U:
grus	U:	ʉ̟ː	U:
skjuta	U:	ʉ̟ː	U:
huset	U:	ʉ̟ː	U:
stuga	U:	ʉ̟ː	U:
söt	ö:	øː	ö:
blöt	ö:	øː	ö:
lös	ö:	øː	ö:
dör	ö:	øː	ö:
sköta	ö:	øː	ö:
skön	ö:	øː	ö:
stör	ö:	øː	ö:
rör	ö:	øː	ö:
rök	ö:	øː	ö:
smör	ö:	øː	ö:
