method,space,vowel,response,n_villages,spline_df,r2,overall_f,overall_p,nonlinearity_f,nonlinearity_p,knots_geo_y,coefficient_0,coefficient_1,coefficient_2,coefficient_3
pca,pca,uː,display_x,91,4,0.487439747474271,27.578714125993006,1.2540771803291776e-12,31.637490199857375,4.72625238023423e-11,122;312.5;450;543,26.999085545005457,0.025499975051421958,0.00017610272454727694,-0.0017331888970484256
pca,pca,uː,display_y,91,4,0.15449480260056503,5.299020383549187,0.002108835137408588,3.677833921367504,0.02928733119722011,122;312.5;450;543,-8.374396419084226,0.07650882318912373,-0.0004043819679946032,0.0007731083120109205
pca,pca,oː,display_x,90,4,0.4341418256775267,21.993848578148015,1.1600778523540722e-10,32.92653787094976,2.4111204724958555e-11,122;311.25;451;543,28.088300429664894,-0.005407347141441499,0.0004829946119519402,-0.002262598915783841
pca,pca,oː,display_y,90,4,0.35881181104950766,16.041996344716548,2.2873165523016182e-08,21.15363914951073,3.3777524609337086e-08,122;311.25;451;543,-2.6469146809519097,-0.00510262733808458,0.0001668983432033297,-0.0008802954207042815
pca,pca,ɑː,display_x,88,4,0.14723878801174184,4.834514054311301,0.0037450618983139133,5.886827164994104,0.004049445441078718,122;315.25;453;543,0.20293111842963557,0.04746459094571279,0.00010436205885629743,-0.0008446590463361443
pca,pca,ɑː,display_y,88,4,0.023808539363211367,0.6828979037934353,0.5649532107872208,1.0241878751164226,0.36352776033150286,122;315.25;453;543,-27.502619864809176,0.0185076850753791,-5.456921338351384e-05,4.968755136751371e-05
pca,pca,æː,display_x,88,4,0.09183753788903248,2.8314879420536077,0.04321631892587196,3.982805118116803,0.02225670260937585,122;315.25;453;543,-42.975371599268364,0.0655307977225519,-0.00011340864961002248,-0.0001341668517075521
pca,pca,æː,display_y,88,4,0.10035278673293069,3.1233109902246983,0.030162685907068613,4.600125182398095,0.012711965231916339,122;315.25;453;543,-26.371488539460017,0.08008417739556223,-0.00022011663443116994,0.0001746092266560947
pca,pca,eː,display_x,88,4,0.22960215641853732,8.344857703433135,6.404814414134284e-05,12.09751622344038,2.4155860457297975e-05,122;318.5;453;543,-37.05345335930385,0.07318073684513356,-3.269346184542773e-05,-0.000613308845678612
pca,pca,eː,display_y,88,4,0.18834484989428957,6.497409394067505,0.0005240190642768458,9.168695716077172,0.00025020018285682014,122;318.5;453;543,10.771022047176906,-0.021319038088684378,0.000298528359901553,-0.0011611624990047998
pca,pca,yː,display_x,87,4,0.09794872641352326,3.004169323250433,0.0350022196482168,4.505639797823539,0.013878304430339874,122;322.5;454;543,-19.413845721437735,0.04543120793763795,-2.2863620927009087e-05,-0.0004767628072872621
pca,pca,yː,display_y,87,4,0.2336356810409933,8.434526959163621,5.882997866458271e-05,4.831120638977975,0.010357969103687983,122;322.5;454;543,21.387196993716177,0.011857589542969326,-6.322397228940165e-05,-0.00011857499822748022
pca,pca,ʉ̟ː,display_x,88,4,0.14446213438333932,4.727949428419465,0.00425769670200074,7.039404477364451,0.001491325069620897,122;313.75;449;543,-43.29888555314303,0.2139158182407027,-0.0008335250427396481,0.0014872872608321203
pca,pca,ʉ̟ː,display_y,88,4,0.07906579816907533,2.403909361095218,0.07319992952908269,1.4459127407484909,0.24133222745484498,122;313.75;449;543,27.860797161810943,-0.06172733721211357,0.00025795739532123924,-0.0007393499761184714
pca,pca,øː,display_x,90,4,0.0750574824543877,2.3262503231753686,0.08035713314342728,2.955831523022961,0.05734513234060082,122;311.25;451;543,-39.33432541601127,0.11895858362877815,-0.0003829212579960441,0.0005830386819312464
pca,pca,øː,display_y,90,4,0.019849697739976913,0.5805483783802903,0.6293564961083915,0.3600679645858095,0.6986755678284534,122;311.25;451;543,1.185003369937854,-0.015855420701007823,-1.3545531002190514e-05,0.00014071963429227623
