village,geo_x,geo_y,geo_position,geographic_group,first_x,first_y,second_x,second_y
ankarsrum,149.0,456.0,94.43409687486621,Centre,9.638780934077646,-27.448193181385058,-40.712106833311346,-11.175694266923522
anundsjo,182.0,230.0,322.74929689041943,North,18.86349300016275,-16.74136516399294,-40.79761202285508,-4.196174378846713
are,89.0,227.0,309.8163893481515,North,12.403472261213572,-20.46431692709949,-28.95265968581139,-5.212907824054554
arjeplog,171.0,122.0,427.2821082142336,North,11.8297495998834,-21.30909752571433,-29.875680941309724,-14.34348862117534
arstad,70.0,485.0,52.36353118905221,South,40.231657543845934,-16.72605271764597,-24.477826586691993,-10.115609905940211
arsunda,156.0,343.0,206.96864741095214,North,20.76135636032688,-23.61311915041841,-23.49790178912792,-15.267256620874605
asby,125.0,446.0,100.186736530837,Centre,24.497924585194752,-25.9884984082681,-27.6534025880783,-11.620245589006359
aspas,112.0,229.0,311.77528251009113,North,25.345591517992304,-16.724293959997624,-30.520317362339497,-18.768227990069597
bara,79.0,539.0,0.6950911219785691,South,21.13657842354451,-16.691365288018908,-22.969452155500946,-17.062555825809167
bengtsf,62.0,401.0,133.76174405913517,Centre,33.31311742722859,-20.39757409924328,-33.65347135785677,0.8689288548718055
berg,112.0,252.0,289.11343963427134,North,17.66114221039085,-25.431083929776236,-40.362608114000324,-16.139646400907637
bjurholm,197.0,211.0,344.0326593930225,North,17.457402845183793,-26.828653943894462,-28.00780888638467,-10.769122519484158
boda,163.0,475.0,78.10530644374003,Centre,5.257645742597827,-27.428707140317588,-39.97722335753723,-20.367575660645258
bredsattra,158.0,489.0,63.4569046509324,South,-1.482230142609252,-26.866999143624312,-41.00438639829569,-16.791216166625507
broby,99.0,510.0,32.68566535202928,South,4.813369685981286,-20.370686115971715,-38.76928206570189,-4.639831561734861
burseryd,84.0,478.0,61.65247618276582,South,32.48270180799597,-24.184365300939465,-19.45801292054148,-14.281354165196579
burtrask,222.0,177.0,381.8039577688209,North,-13.988482639322195,-27.03007166600409,-30.393977246756577,-13.88081007873684
dalby,82.0,336.0,201.22302887742558,North,15.587748310882247,-24.258373628431094,-33.234739265781386,-5.488303086271874
floby,85.0,439.0,100.24992663283506,Centre,33.492772120516264,-20.52818106569123,-28.030552591817226,-3.851508875846866
frandef,63.0,423.0,112.25604601246488,Centre,11.75821375829255,-24.694263037620285,-35.49864876663895,-11.432613759889719
frillesas,58.0,470.0,65.09282618043753,South,27.909057586924334,-20.31203806414839,-30.448936121205627,-17.04886530084613
grangarde,119.0,354.0,189.80902415725896,North,4.200409716530432,-23.291847744278712,-36.24030774285737,-8.18571094278794
graso,189.0,350.0,205.70952611928726,North,25.41526093203901,-16.74505854957518,-21.412051482550723,5.521458418974654
hammaro,90.0,391.0,148.3984439812024,Centre,12.994633247969931,-30.221623284987807,-29.195705555060115,-14.891575356261749
hamneda,93.0,496.0,45.45474670393189,South,9.700247023833827,-26.448302781751636,-29.885558651629427,-5.411301435266908
haraker,149.0,373.0,176.21379073108554,North,25.980457279535056,-20.447551953498586,-6.1782502816127725,-19.493303204455867
jamshog,108.0,514.0,30.28210110195524,South,-19.084700988069123,-23.75575283501134,-32.444468758783145,0.5820760225854726
jarnboas,117.0,378.0,165.82018913948008,North,24.027996858444318,-27.684961263794968,-22.56437541809042,-7.517809210929986
jarsnas,113.0,452.0,92.22478367908248,Centre,22.13298082632597,-22.752155094055738,-24.93851181534314,-9.6226488335248
karna,53.0,448.0,85.9151349758696,Centre,10.841521240824623,-27.47073270412473,-38.15432944674172,-10.068589494476631
karsta,186.0,377.0,178.59395123967883,North,29.667242015101138,-23.499093057841463,-10.229856094538908,2.257607164171036
korsberga,100.0,432.0,109.7097189393582,Centre,16.786891546660552,-21.336595656826614,-32.28122877722618,-14.659282078305196
kramfors,173.0,248.0,303.4763157810137,North,16.75702889345487,-21.112013161343263,-30.519269069215323,-9.055752098982142
lanna,161.0,393.0,158.55800815800026,Centre,14.284457490147709,-26.741528433065977,-25.154959350801466,-23.901398483158502
leksand,120.0,335.0,208.70052428052836,North,8.156729102031825,-26.50186350367727,-47.492590388401,-8.705040721383478
loderup,98.0,543.0,0.0,South,5.325916070330679,-27.79441090467911,-30.617968183080315,-21.01547723766175
malung,96.0,337.0,202.62959374041924,North,4.147855884733521,-24.89782396741145,-18.288305638372023,15.927442637114666
n_rorum,84.0,522.0,18.299385463806168,South,10.776764707624118,-23.712339281256835,-26.997191399563494,-11.630593353193632
nora,160.0,357.0,193.85787143343043,North,10.79804541447568,-20.94616277279968,-8.578036318501049,-6.368034273805968
nysatra,228.0,188.0,371.9907689659383,North,0.6683586265187332,-27.574609002566635,-33.060362119135775,-17.321265620126663
ockelbo,156.0,328.0,221.748110156052,North,15.250116935703875,-24.432685870701818,-26.90467226564825,-13.513980410817789
orust,49.0,436.0,97.05531592071132,Centre,29.68776707451188,-16.554812505565607,-10.067726460954853,-0.4711216890517886
ossjo,74.0,515.0,23.48799495009064,South,35.8600371846541,-18.21818409313794,-15.322335076019359,-8.908056709498677
ostad,63.0,445.0,90.57950065298506,Centre,11.599647247306809,-26.54813522717138,-30.462137114924825,-7.237313532423418
ovanaker,140.0,310.0,236.74990844521912,North,34.030286996692574,-22.64619604641871,-28.03712606928942,-11.230329065120623
oxaback,71.0,468.0,69.28443627964162,South,19.64197221199391,-25.03941688297474,-23.49953207763278,-12.195625999667868
pitea,233.0,141.0,419.15398879796567,North,17.36949962832149,-24.180951875566027,-35.4205366518942,-13.786618914429818
ragunda,145.0,241.0,305.5896736367263,North,11.881271617101135,-22.753646951790337,-42.56227963420311,-15.974604049489532
rimforsa,134.0,437.0,110.59203999318285,Centre,17.082415707814285,-23.822408018107645,-31.155896057639975,-12.453883107811457
s_finnskoga,74.0,333.0,202.8121429239692,North,37.637587371564926,-17.285508244040557,-26.35402076881551,4.693420257377118
s_mellosa,129.0,395.0,151.12029911541478,Centre,36.127549772159874,-25.48264732098891,-8.430709476464973,-5.55243128407219
segerstad,153.0,510.0,41.911420243744836,South,16.880484296125346,-22.33812246459928,-14.639279194759684,-13.588287250457912
skee,42.0,404.0,127.38890525392424,Centre,47.75109102627776,-7.630480218350057,-3.4266444368089015,13.469496711520362
skinnskatteberg,135.0,371.0,175.79252338443186,North,-3.245293500801677,-12.777243150136462,-10.365565346392184,-8.887378416727286
skog,157.0,317.0,232.75723014860148,North,17.497986470486282,-25.71638795903073,-38.79899617650864,-7.936710984504711
skuttunge,171.0,364.0,188.8401092599555,North,26.083801412915612,-20.412178133283035,-5.846631682212257,3.818006091735631
sorsele,166.0,143.0,405.736623807046,North,18.04325751250127,-31.126473024760006,-26.586110747467714,-20.788147634142764
sorunda,181.0,406.0,149.16608670177132,Centre,36.02014153482069,-22.692734660917413,-7.989526863669626,-5.3346210107861
st_anna,157.0,436.0,115.50682570414243,Centre,21.601196458339583,-25.03437789370829,-30.138171684053,-15.312932199719114
stenberga,128.0,474.0,73.11094801174586,South,25.244904018106965,-25.154580552488305,-23.54364475643278,-6.704281908548517
storsjo,87.0,251.0,285.8275543303726,North,17.479142424373187,-20.49365089249831,-27.67536185388929,-16.250201855799947
strom,132.0,211.0,332.92758406040195,North,22.07297244029141,-21.682081757992584,-29.453725334053754,-8.210391216771422
tjallmo,128.0,416.0,130.2582039594654,Centre,29.901886196737628,-18.747462909249855,-36.387642453606134,-8.528296004971637
torhamn,135.0,521.0,27.997895933433075,South,11.557509530591625,-25.601710869194477,-29.074246470615048,1.0958814308522535
torp,145.0,265.0,281.9425332445665,North,17.04224561237646,-28.355499926819736,-40.64749321961199,-7.8484883525174345
torsas,144.0,504.0,46.285579526498864,South,7.287702585004018,-23.26779824002311,-30.988689715054633,-12.051432486056417
torso,95.0,414.0,126.59083766943033,Centre,33.964022389791275,-15.046721320499326,-29.905025807489356,-7.105967426906911
v_vingaker,139.0,402.0,145.93168962913032,Centre,40.163870636814366,-16.897775509505763,-20.47530207645748,-6.104307201182225
vackelsang,116.0,500.0,45.44304483319151,South,10.386151315283687,-18.471971646265388,-48.64982525998106,-5.003625808679715
vaxtorp,78.0,504.0,35.00965688106874,South,15.229158438664555,-24.700405202500114,-37.53942474941725,-18.372393143768406
vemdalen,102.0,266.0,273.610801277416,North,30.569444836088323,-15.001258618903062,-25.717870942548466,-5.801895378383751
viby,116.0,402.0,142.0022014345107,Centre,16.29149552432698,-23.307182915162496,-33.76247510847939,-8.5291355975588
