village,geo_x,geo_y,geo_position,geographic_group,first_x,first_y,second_x,second_y
ankarsrum,149.0,456.0,94.43409687486621,Centre,-40.712106833311346,-11.175694266923522,-31.965277009092084,13.230872811472214
anundsjo,182.0,230.0,322.74929689041943,North,-40.79761202285508,-4.196174378846713,-28.72551635169172,11.73877126460596
are,89.0,227.0,309.8163893481515,North,-28.95265968581139,-5.212907824054554,-26.303134039985878,7.4117966981101775
arjeplog,171.0,122.0,427.2821082142336,North,-29.875680941309724,-14.34348862117534,-20.506319472824387,11.932038956109228
arstad,70.0,485.0,52.36353118905221,South,-24.477826586691993,-10.115609905940211,-14.553823538636475,8.468744692260556
arsunda,156.0,343.0,206.96864741095214,North,-23.49790178912792,-15.267256620874605,-14.574006086710707,6.3378413156756555
asby,125.0,446.0,100.186736530837,Centre,-27.6534025880783,-11.620245589006359,-29.821589082254924,10.445790900261507
aspas,112.0,229.0,311.77528251009113,North,-30.520317362339497,-18.768227990069597,-26.877006482927793,7.823642463381338
bara,79.0,539.0,0.6950911219785691,South,-22.969452155500946,-17.062555825809167,-25.176379602161525,1.1074846036971604
bengtsf,62.0,401.0,133.76174405913517,Centre,-33.65347135785677,0.8689288548718055,-9.40703007059692,22.997127919965976
berg,112.0,252.0,289.11343963427134,North,-40.362608114000324,-16.139646400907637,-22.597622076018375,0.14458369404864618
bjurholm,197.0,211.0,344.0326593930225,North,-28.00780888638467,-10.769122519484158,-21.146049677944525,11.112574921625505
boda,163.0,475.0,78.10530644374003,Centre,-39.97722335753723,-20.367575660645258,-25.37255990113978,11.320198793712274
bredsattra,158.0,489.0,63.4569046509324,South,-41.00438639829569,-16.791216166625507,-26.965212745302843,8.241764886427658
broby,99.0,510.0,32.68566535202928,South,-38.76928206570189,-4.639831561734861,-18.56413901270654,15.690722156525815
burseryd,84.0,478.0,61.65247618276582,South,-19.45801292054148,-14.281354165196579,-10.047521073951476,19.36442193187741
burtrask,222.0,177.0,381.8039577688209,North,-30.393977246756577,-13.88081007873684,-19.76898385078211,5.499341535117052
dalby,82.0,336.0,201.22302887742558,North,-33.234739265781386,-5.488303086271874,-12.990825686608126,16.35229817104384
floby,85.0,439.0,100.24992663283506,Centre,-28.030552591817226,-3.851508875846866,-18.93284028788402,15.830982878016398
frandef,63.0,423.0,112.25604601246488,Centre,-35.49864876663895,-11.432613759889719,-23.474200977678056,16.587251264884685
frillesas,58.0,470.0,65.09282618043753,South,-30.448936121205627,-17.04886530084613,-24.191136042622418,4.299945422007577
