village,speaker,first_vowel,second_vowel,geo_x,geo_y,first_x,first_y,second_x,second_y,pair_dx,pair_dy,pair_length,directed_angle_from_horizontal_deg,geo_position,geographic_group
ankarsrum,ym_1,yː,ʉ̟ː,149.0,456.0,-27.68382594016162,32.78884196703343,-16.893441077711778,23.23933991426985,10.79038486244984,-9.549502052763579,14.409212155267978,-41.50886266368099,94.43409687486621,Centre
ankarsrum,ym_2,yː,ʉ̟ː,149.0,456.0,-25.48477939063179,14.73283402194954,-9.931895124437972,11.287031744956664,15.552884266193818,-3.4458022769928753,15.930027066196356,-12.49231287659761,94.43409687486621,Centre
ankarsrum,ym_3,yː,ʉ̟ː,149.0,456.0,-33.811594715645406,7.651205317514838,-29.41908894469377,2.9762246807273116,4.392505770951637,-4.6749806367875255,6.414791571218953,-46.78432967457135,94.43409687486621,Centre
anundsjo,ym_1,yː,ʉ̟ː,182.0,230.0,-24.250625588184896,14.946428238278378,-12.295127371867402,16.83744850481544,11.955498216317494,1.8910202665370637,12.104127198969147,8.988103115145057,322.74929689041943,North
anundsjo,ym_2,yː,ʉ̟ː,182.0,230.0,-8.991489024924487,23.21062482345129,-8.841635982534164,17.82208417978942,0.1498530423903226,-5.3885406436618695,5.390623915903382,-88.4070391054857,322.74929689041943,North
anundsjo,ym_3,yː,ʉ̟ː,182.0,230.0,-24.42848094882924,27.802841546264506,-21.35020396939989,22.006224420436784,3.0782769794293507,-5.796617125827723,6.563273517500542,-62.029590836022365,322.74929689041943,North
are,ym_1,yː,ʉ̟ː,89.0,227.0,-12.067828084435376,27.56983820659278,5.983283749700792,27.751054519791296,18.05111183413617,0.18121631319851517,18.052021432533813,0.5751768220468738,309.8163893481515,North
are,ym_2,yː,ʉ̟ː,89.0,227.0,1.2285552429563662,35.32278763900575,4.679689482765047,23.56047928460889,3.451134239808681,-11.762308354396865,12.258149345031416,-73.64798415655166,309.8163893481515,North
are,ym_3,yː,ʉ̟ː,89.0,227.0,-2.3139366655529483,30.50879353975329,1.1898906848961783,33.366838955270524,3.503827350449127,2.858045415517232,4.521640155841066,39.2038646209909,309.8163893481515,North
arjeplog,ym_1,yː,ʉ̟ː,171.0,122.0,-16.6987780258278,22.37579594918932,-3.00735306347958,20.891810687955928,13.691424962348218,-1.4839852612333928,13.771613186376165,-6.186022230069593,427.2821082142336,North
arjeplog,ym_2,yː,ʉ̟ː,171.0,122.0,-2.4161536292702097,22.9653979681322,10.829047989069398,25.441361458777585,13.245201618339607,2.475963490645384,13.474633988256416,10.588261216540937,427.2821082142336,North
arjeplog,ym_3,yː,ʉ̟ː,171.0,122.0,-7.910151167064392,19.91871777945059,9.212595454156865,21.692386546158644,17.122746621221257,1.773668766708056,17.21436472102702,5.9139217638463855,427.2821082142336,North
arstad,ym_1,yː,ʉ̟ː,70.0,485.0,-4.332329454321371,15.100344580238147,-2.8092021623296537,6.792388320765646,1.5231272919917176,-8.307956259472501,8.446422553774962,-79.61112898848639,52.36353118905221,South
arstad,ym_2,yː,ʉ̟ː,70.0,485.0,-29.377982119412863,6.418925227401038,-20.493557633304142,0.5938683067374321,8.88442448610872,-5.825056920663606,10.623760472560512,-33.250780208038634,52.36353118905221,South
arstad,ym_3,yː,ʉ̟ː,70.0,485.0,7.035037414304317,17.749002594655536,22.125038509712887,-0.3919512465337802,15.09000109540857,-18.140953841189315,23.596659495097885,-50.24565202115842,52.36353118905221,South
arsunda,ym_1,yː,ʉ̟ː,156.0,343.0,-7.23557985882873,27.162289341381847,9.948831219936745,26.874888053946137,17.184411078765475,-0.2874012874357099,17.186814237199904,-0.958155950840636,206.96864741095214,North
