village,speaker,first_vowel,second_vowel,geo_x,geo_y,first_x,first_y,second_x,second_y,pair_dx,pair_dy,pair_length,directed_angle_from_horizontal_deg,geo_position,geographic_group
ankarsrum,ym_1,ʉ̟ː,øː,149.0,456.0,-16.893441077711778,23.23933991426985,-22.118075018711103,-7.975659832976553,-5.224633940999325,-31.214999747246402,31.649218142602436,-99.50184700465228,94.43409687486621,Centre
ankarsrum,ym_2,ʉ̟ː,øː,149.0,456.0,-9.931895124437972,11.287031744956664,-18.7536220966594,-19.136580411795627,-8.821726972221427,-30.42361215675229,31.6767902956866,-106.17021240428062,94.43409687486621,Centre
ankarsrum,ym_3,ʉ̟ː,øː,149.0,456.0,-29.41908894469377,2.9762246807273116,-24.614237823648203,-21.97184568230163,4.804851121045566,-24.948070363028943,25.40655051623608,-79.09864915039937,94.43409687486621,Centre
anundsjo,ym_1,ʉ̟ː,øː,182.0,230.0,-12.295127371867402,16.83744850481544,-34.162687891996036,10.32510771124663,-21.867560520128634,-6.512340793568811,22.816677797459228,-163.41603226983003,322.74929689041943,North
anundsjo,ym_2,ʉ̟ː,øː,182.0,230.0,-8.841635982534164,17.82208417978942,-20.22209581662957,-1.4191908635384767,-11.380459834095404,-19.241275043327896,22.354899492694027,-120.60265060345613,322.74929689041943,North
anundsjo,ym_3,ʉ̟ː,øː,182.0,230.0,-21.35020396939989,22.006224420436784,-25.510244945021338,9.088005069385797,-4.160040975621449,-12.918219351050986,13.571526521387254,-107.85006287976891,322.74929689041943,North
are,ym_1,ʉ̟ː,øː,89.0,227.0,5.983283749700792,27.751054519791296,-10.986433476012163,-11.325778076654995,-16.969717225712955,-39.076832596446295,42.60246646018686,-113.47363945056425,309.8163893481515,North
are,ym_2,ʉ̟ː,øː,89.0,227.0,4.679689482765047,23.56047928460889,-15.112511871465294,-14.176976732886235,-19.792201354230343,-37.73745601749512,42.61275420714761,-117.67570722185152,309.8163893481515,North
are,ym_3,ʉ̟ː,øː,89.0,227.0,1.1898906848961783,33.366838955270524,3.23886963524303,-7.573682096843134,2.048978950346852,-40.94052105211366,40.99176232802789,-87.13486853847435,309.8163893481515,North
arjeplog,ym_1,ʉ̟ː,øː,171.0,122.0,-3.00735306347958,20.891810687955928,-27.258955981394056,7.457214662240254,-24.251602917914475,-13.434596025715674,27.724152186538966,-151.01497890678826,427.2821082142336,North
