model,n_villages,n_predictors,r2,adjusted_r2,cv_r2_10fold,coefficient_0,coefficient_1,pair,first_vowel,second_vowel,coefficient_2
angle_only,74,1,0.13991059505796077,0.12796490887821022,0.07523942006541495,115.15739434881147,-0.7951942003402713,uː->oː,uː,oː,
distance_only,74,1,0.0010802091372403844,-0.01279367684696453,-0.054042722347313,175.03230997675323,-0.503600596815757,uː->oː,uː,oː,
angle_and_distance,74,2,0.13998887020142525,0.11576320457329636,0.05891652335391573,113.10384091530597,-0.7973021091329866,uː->oː,uː,oː,0.13641263476607265
angle_only,74,1,0.051334099341916684,0.03815818405499882,-0.14336566826868213,54.36787566472159,-0.94030995900297,oː->ɑː,oː,ɑː,
distance_only,74,1,0.03305572386421862,0.019625942251221606,-0.05255106114049002,95.05483507132259,2.692273410613136,oː->ɑː,oː,ɑː,
angle_and_distance,74,2,0.056150141755739735,0.029562821805197204,-0.1747474210142239,43.81848898847354,-0.7527017592897801,oː->ɑː,oː,ɑː,1.2264287880755398
angle_only,74,1,3.9198636677784116e-05,-0.013849145826701603,-0.050974914771980684,176.86493625635325,-0.054488580317034095,ɑː->æː,ɑː,æː,
distance_only,74,1,0.006735736473461262,-0.007059600519963016,-0.044012400846172195,211.71777069804918,-0.8849101507406475,ɑː->æː,ɑː,æː,
angle_and_distance,74,2,0.007787546702427206,-0.02016209986933548,-0.059790366881109724,168.89562385880248,0.31305712833437016,ɑː->æː,ɑː,æː,-1.0526793039138715
angle_only,74,1,0.02061577586220431,0.007013217193623911,-0.09990646107009349,108.4559752835642,0.937393846132892,æː->eː,æː,eː,
distance_only,74,1,5.17763609764188e-11,-0.013888888836393498,-0.08058656056758418,167.96510292946164,0.00011415794991134221,æː->eː,æː,eː,
angle_and_distance,74,2,0.020896647118533118,-0.0066837290189729615,-0.15127951434750142,101.0275858996726,0.950159466994283,æː->eː,æː,eː,0.26768961516835055
angle_only,74,1,0.001003808807600426,-0.012871138292294138,-0.10577782035715888,163.7091796322444,-0.08808969726034435,yː->ʉ̟ː,yː,ʉ̟ː,
distance_only,74,1,0.022950450330853966,0.009380317696560225,-0.05943914536443251,212.07033011313797,-3.31142528102889,yː->ʉ̟ː,yː,ʉ̟ː,
angle_and_distance,74,2,0.022976084893795656,-0.00454571553173122,-0.12635529839391269,211.11504789378043,-0.01430092599419209,yː->ʉ̟ː,yː,ʉ̟ː,-3.2916106745651517
angle_only,74,1,0.0018609865314587193,-0.012002055322271055,-0.07782750978677289,145.56556895735665,-0.19006141715572872,ʉ̟ː->øː,ʉ̟ː,øː,
distance_only,74,1,0.08339873432746492,0.07066816119312413,0.02278523825503742,53.951769690831505,4.437550842326182,ʉ̟ː->øː,ʉ̟ː,øː,
angle_and_distance,74,2,0.08416886654632871,0.058370806449042245,-0.002794963700168074,40.10595624307932,-0.1224406393846196,ʉ̟ː->øː,ʉ̟ː,øː,4.414737791712302
