response,n_villages,r2,overall_f,overall_p,nonlinearity_f,nonlinearity_p,pair,first_vowel,second_vowel
angle,74,0.33267485970145094,11.632130912318228,2.8415661429332247e-06,10.110138004846903,0.00013892682215468455,uː->oː,uː,oː
distance,74,0.07175720894254467,1.8037682505658161,0.1544384232321417,2.664922385626737,0.07666265625807038,uː->oː,uː,oː
angle,74,0.3509652387461081,12.617488912696889,1.1012063547086844e-06,16.15797874814337,1.6998607704677596e-06,oː->ɑː,oː,ɑː
distance,74,0.1656982720861674,4.63416637648774,0.0051616054515499655,5.56452064336093,0.005718200305269305,oː->ɑː,oː,ɑː
angle,74,0.021147623333934495,0.504105170729757,0.6806981741695105,0.7547561634577478,0.4739121358561592,ɑː->æː,ɑː,æː
distance,74,0.03185713954554226,0.7677929429895539,0.5159121809349797,0.9081811615179506,0.4079550246947537,ɑː->æː,ɑː,æː
angle,74,0.14833151069597372,4.063868308353639,0.010125936984508945,5.248580610085492,0.0075181610716594455,æː->eː,æː,eː
distance,74,0.11795942131044124,3.120476045821877,0.031382485530377896,4.680714066678301,0.012362314664346539,æː->eː,æː,eː
angle,74,0.03216449581246639,0.77544675623457,0.5116162847316247,1.1268692256602395,0.32985274854385443,yː->ʉ̟ː,yː,ʉ̟ː
distance,74,0.14709263430758723,4.02407295942475,0.01061670125549078,5.094312247682721,0.008599726966075019,yː->ʉ̟ː,yː,ʉ̟ː
angle,74,0.004876085239645334,0.11433281882869209,0.9514353876775357,0.10604554188806754,0.8995278958861436,ʉ̟ː->øː,ʉ̟ː,øː
distance,74,0.26006397644010815,8.200924481382577,9.433907643384815e-05,8.35651093751897,0.000556519204524642,ʉ̟ː->øː,ʉ̟ː,øː
