village,geo_x,geo_y,geographic_position,geographic_group,median_unwrapped_angle_deg,median_pair_distance,pair,first_vowel,second_vowel
ankarsrum,149.0,456.0,94.43409687486621,Centre,-135.11293752536744,32.63928213625,oː->ɑː,oː,ɑː
anundsjo,182.0,230.0,322.74929689041943,North,-95.5893955105428,19.76577685292054,oː->ɑː,oː,ɑː
are,89.0,227.0,309.8163893481515,North,-115.92324219967819,27.67974746424969,oː->ɑː,oː,ɑː
arjeplog,171.0,122.0,427.2821082142336,North,-125.55958394649949,19.622666623024,oː->ɑː,oː,ɑː
arstad,70.0,485.0,52.36353118905221,South,-85.31781466856987,20.361289738586876,oː->ɑː,oː,ɑː
arsunda,156.0,343.0,206.96864741095214,North,-128.72577563870917,18.4717691356446,oː->ɑː,oː,ɑː
asby,125.0,446.0,100.186736530837,Centre,-128.15968882463898,23.884392391034506,oː->ɑː,oː,ɑː
aspas,112.0,229.0,311.77528251009113,North,-114.4400208205937,26.10035129708317,oː->ɑː,oː,ɑː
bara,79.0,539.0,0.6950911219785691,South,-1.4663570030835729,16.242958420726296,oː->ɑː,oː,ɑː
bengtsf,62.0,401.0,133.76174405913517,Centre,-116.27035515987134,20.854456811727268,oː->ɑː,oː,ɑː
berg,112.0,252.0,289.11343963427134,North,-109.51121886433427,23.60941250979667,oː->ɑː,oː,ɑː
bjurholm,197.0,211.0,344.0326593930225,North,-114.46175491527117,23.031172198552223,oː->ɑː,oː,ɑː
boda,163.0,475.0,78.10530644374003,Centre,-139.8060901913061,35.398597652558685,oː->ɑː,oː,ɑː
bredsattra,158.0,489.0,63.4569046509324,South,-150.58833128358225,29.731135514876907,oː->ɑː,oː,ɑː
broby,99.0,510.0,32.68566535202928,South,-148.69337164009747,28.018262421784733,oː->ɑː,oː,ɑː
burseryd,84.0,478.0,61.65247618276582,South,-107.18227653030864,19.487310099797263,oː->ɑː,oː,ɑː
burtrask,222.0,177.0,381.8039577688209,North,-155.83299842033227,56.321095732029214,oː->ɑː,oː,ɑː
dalby,82.0,336.0,201.22302887742558,North,-118.95018442402832,22.56033688259767,oː->ɑː,oː,ɑː
floby,85.0,439.0,100.24992663283506,Centre,-118.91078143508011,35.54235155821019,oː->ɑː,oː,ɑː
frandef,63.0,423.0,112.25604601246488,Centre,-141.01994174215184,22.58797028740114,oː->ɑː,oː,ɑː
frillesas,58.0,470.0,65.09282618043753,South,-113.2497748603286,20.241026370695696,oː->ɑː,oː,ɑː
grangarde,119.0,354.0,189.80902415725896,North,-126.86334326689828,22.60231233196531,oː->ɑː,oː,ɑː
graso,189.0,350.0,205.70952611928726,North,-136.33779871177538,33.445919416748474,oː->ɑː,oː,ɑː
hammaro,90.0,391.0,148.3984439812024,Centre,-131.01636541779155,27.39722782259668,oː->ɑː,oː,ɑː
hamneda,93.0,496.0,45.45474670393189,South,-134.50518750595253,14.394176180017713,oː->ɑː,oː,ɑː
haraker,149.0,373.0,176.21379073108554,North,-127.90468911298822,26.483787677543845,oː->ɑː,oː,ɑː
jamshog,108.0,514.0,30.28210110195524,South,-163.77605531042514,33.15971813718774,oː->ɑː,oː,ɑː
jarnboas,117.0,378.0,165.82018913948008,North,-135.37888495898105,37.78051892841416,oː->ɑː,oː,ɑː
jarsnas,113.0,452.0,92.22478367908248,Centre,-130.68213125157644,28.000312271122517,oː->ɑː,oː,ɑː
karna,53.0,448.0,85.9151349758696,Centre,-117.43738264179112,19.268129270595796,oː->ɑː,oː,ɑː
karsta,186.0,377.0,178.59395123967883,North,-133.16049483871183,37.52544242096838,oː->ɑː,oː,ɑː
korsberga,100.0,432.0,109.7097189393582,Centre,-118.50481474551756,31.653593607864096,oː->ɑː,oː,ɑː
kramfors,173.0,248.0,303.4763157810137,North,-113.31309724570613,23.27563779555242,oː->ɑː,oː,ɑː
