village,geo_x,geo_y,geographic_position,geographic_group,median_unwrapped_angle_deg,median_pair_distance,pair,first_vowel,second_vowel
alvdalen,105.0,315.0,225.843764915185,North,-242.52997005826938,42.03935379308125,ʉ̟ː->øː,ʉ̟ː,øː
ankarsrum,149.0,456.0,94.43409687486621,Centre,-99.50184700465228,31.649218142602436,ʉ̟ː->øː,ʉ̟ː,øː
anundsjo,182.0,230.0,322.74929689041943,North,-120.60265060345613,22.354899492694027,ʉ̟ː->øː,ʉ̟ː,øː
are,89.0,227.0,309.8163893481515,North,-113.47363945056425,42.60246646018686,ʉ̟ː->øː,ʉ̟ː,øː
arjeplog,171.0,122.0,427.2821082142336,North,-142.29943495091015,28.054400041465993,ʉ̟ː->øː,ʉ̟ː,øː
arstad,70.0,485.0,52.36353118905221,South,-96.39228296856551,14.115776600258323,ʉ̟ː->øː,ʉ̟ː,øː
arsunda,156.0,343.0,206.96864741095214,North,-121.45546808886827,43.03045712635923,ʉ̟ː->øː,ʉ̟ː,øː
asby,125.0,446.0,100.186736530837,Centre,-72.38640428416839,18.544918521109736,ʉ̟ː->øː,ʉ̟ː,øː
aspas,112.0,229.0,311.77528251009113,North,-115.62079151889863,31.528776389551037,ʉ̟ː->øː,ʉ̟ː,øː
bara,79.0,539.0,0.6950911219785691,South,-133.940414751675,23.076677907125458,ʉ̟ː->øː,ʉ̟ː,øː
bengtsf,62.0,401.0,133.76174405913517,Centre,-138.24031996038343,17.56332429622634,ʉ̟ː->øː,ʉ̟ː,øː
berg,112.0,252.0,289.11343963427134,North,-84.62963460999613,23.658259547323514,ʉ̟ː->øː,ʉ̟ː,øː
bjurholm,197.0,211.0,344.0326593930225,North,-114.84509951185244,19.51745690410216,ʉ̟ː->øː,ʉ̟ː,øː
boda,163.0,475.0,78.10530644374003,Centre,-145.02753851418072,11.213299156078667,ʉ̟ː->øː,ʉ̟ː,øː
bredsattra,158.0,489.0,63.4569046509324,South,-138.79841727034386,26.77835147226072,ʉ̟ː->øː,ʉ̟ː,øː
broby,99.0,510.0,32.68566535202928,South,-59.016007428478574,22.86751173679947,ʉ̟ː->øː,ʉ̟ː,øː
burseryd,84.0,478.0,61.65247618276582,South,-96.58872297629496,13.89950485989474,ʉ̟ː->øː,ʉ̟ː,øː
burtrask,222.0,177.0,381.8039577688209,North,-134.62008585899338,26.623978368635136,ʉ̟ː->øː,ʉ̟ː,øː
dalby,82.0,336.0,201.22302887742558,North,-136.51579934663965,20.74337188803332,ʉ̟ː->øː,ʉ̟ː,øː
floby,85.0,439.0,100.24992663283506,Centre,-139.8690285416215,15.833224526127822,ʉ̟ː->øː,ʉ̟ː,øː
frandef,63.0,423.0,112.25604601246488,Centre,-119.68172026190243,16.53769216199638,ʉ̟ː->øː,ʉ̟ː,øː
frillesas,58.0,470.0,65.09282618043753,South,-73.08662015665321,14.249264627974187,ʉ̟ː->øː,ʉ̟ː,øː
grangarde,119.0,354.0,189.80902415725896,North,-150.08460125858784,34.09319541925959,ʉ̟ː->øː,ʉ̟ː,øː
graso,189.0,350.0,205.70952611928726,North,-121.05894872096879,36.92177137091281,ʉ̟ː->øː,ʉ̟ː,øː
hammaro,90.0,391.0,148.3984439812024,Centre,-82.82025704506704,29.571720536805103,ʉ̟ː->øː,ʉ̟ː,øː
hamneda,93.0,496.0,45.45474670393189,South,-136.30547684089322,20.065098939829312,ʉ̟ː->øː,ʉ̟ː,øː
haraker,149.0,373.0,176.21379073108554,North,-133.23473918468306,24.205172882636024,ʉ̟ː->øː,ʉ̟ː,øː
husby,141.0,348.0,199.47945013710896,North,-114.3227087172386,25.06908746711842,ʉ̟ː->øː,ʉ̟ː,øː
jamshog,108.0,514.0,30.28210110195524,South,-83.49476918399019,15.01033475826055,ʉ̟ː->øː,ʉ̟ː,øː
jarnboas,117.0,378.0,165.82018913948008,North,-92.27769024574705,14.033374878218016,ʉ̟ː->øː,ʉ̟ː,øː
jarsnas,113.0,452.0,92.22478367908248,Centre,-117.39846748426972,12.357563340263296,ʉ̟ː->øː,ʉ̟ː,øː
karna,53.0,448.0,85.9151349758696,Centre,-87.01889306492394,26.667779853359,ʉ̟ː->øː,ʉ̟ː,øː
karsta,186.0,377.0,178.59395123967883,North,-103.66491133847468,15.08900738829323,ʉ̟ː->øː,ʉ̟ː,øː
korsberga,100.0,432.0,109.7097189393582,Centre,-136.18068136393856,20.963840567628147,ʉ̟ː->øː,ʉ̟ː,øː
kramfors,173.0,248.0,303.4763157810137,North,-122.83483893597686,22.708298249992968,ʉ̟ː->øː,ʉ̟ː,øː
lanna,161.0,393.0,158.55800815800026,Centre,-94.96410003260722,29.738774805880915,ʉ̟ː->øː,ʉ̟ː,øː
leksand,120.0,335.0,208.70052428052836,North,-135.5131277473584,31.02463660224257,ʉ̟ː->øː,ʉ̟ː,øː
loderup,98.0,543.0,0.0,South,-130.73858671371886,25.35862957445274,ʉ̟ː->øː,ʉ̟ː,øː
