model,n_villages,n_predictors,r2,adjusted_r2,cv_r2_10fold,coefficient_0,coefficient_1,pair,first_vowel,second_vowel,coefficient_2
angle_only,78,1,0.14012051651026036,0.12880631278013233,0.0844105336852673,118.02125427728629,-0.7964107602867128,uː->oː,uː,oː,
distance_only,78,1,1.0043410960669519e-06,-0.013156877180731552,-0.08613049271265161,172.33931963626992,0.015486417776630908,uː->oː,uː,oː,
angle_and_distance,78,2,0.14114588035256426,0.11824310382863268,0.07406865696167686,110.51647047028361,-0.8020556567881089,uː->oː,uː,oː,0.4965180567093337
angle_only,76,1,0.06071209583210868,0.048019016046056184,0.02003611217266077,45.19352913904859,-1.0393728458942744,oː->ɑː,oː,ɑː,
distance_only,76,1,0.04793512886247697,0.0350693873606186,-0.012016532042874228,83.11742765910306,3.2242215885673353,oː->ɑː,oː,ɑː,
angle_and_distance,76,2,0.07087220309540898,0.045416647015831146,-0.02480725320256072,30.286512541151627,-0.7624249907443744,oː->ɑː,oː,ɑː,1.7715011464294357
angle_only,76,1,0.005379160429222374,-0.008061661727139624,-0.04550665785111785,310.46231438751045,-0.8502469829421244,ɑː->æː,ɑː,æː,
distance_only,76,1,0.025977562124540277,0.012815096747844867,-0.025720548957686384,258.24574609974786,-1.7725881604000244,ɑː->æː,ɑː,æː,
angle_and_distance,76,2,0.02639662034681156,-0.0002774448491662529,-0.04932559278100679,295.49268063134735,-0.2519059700683569,ɑː->æː,ɑː,æː,-1.6924357405302521
angle_only,76,1,0.023310791373573725,0.010112288554297688,-0.027946723327855194,114.2575864363148,0.8611048707829987,æː->eː,æː,eː,
distance_only,76,1,0.0006807139403269824,-0.012823600736155072,-0.04722630246640991,179.4569592760339,-0.39798481776178984,æː->eː,æː,eː,
angle_and_distance,76,2,0.023495564661947577,-0.0032579815116977606,-0.04686569633489679,107.66628425322526,0.8814863872385974,æː->eː,æː,eː,0.2145522304754319
angle_only,76,1,0.010625748315115646,-0.002744174004950306,-0.04655756242497633,156.69883458097635,-0.3040506369393319,yː->ʉ̟ː,yː,ʉ̟ː,
distance_only,76,1,0.009602556744272128,-0.0037811924889132875,-0.04617884774173531,202.66246953886773,-2.4129378598659033,yː->ʉ̟ː,yː,ʉ̟ː,
angle_and_distance,76,2,0.016710233110556527,-0.010229212557647527,-0.05628774608900233,184.8484946632744,-0.2543984394466673,yː->ʉ̟ː,yː,ʉ̟ː,-1.9649389749971398
angle_only,78,1,0.0012340707012257202,-0.01190758626323185,-0.07463795052235245,155.9563950500858,-0.1393060368417225,ʉ̟ː->øː,ʉ̟ː,øː,
distance_only,78,1,0.10388016461312488,0.09208911414750809,0.03946473601257938,53.04587279013903,4.6681391619773915,ʉ̟ː->øː,ʉ̟ː,øː,
angle_and_distance,78,2,0.10501899614627375,0.08115283604350776,0.0281088739638804,66.66012603061901,0.13691502016001358,ʉ̟ː->øː,ʉ̟ː,øː,4.773820170570974
