response,n_villages,r2,overall_f,overall_p,nonlinearity_f,nonlinearity_p,pair,first_vowel,second_vowel
angle,78,0.30797366388189973,10.977448852163944,4.808767090747713e-06,8.974465462671011,0.0003238518013443621,uː->oː,uː,oː
distance,78,0.06808759042561663,1.8022014514564375,0.15417668162173598,2.7032623015265935,0.07360285346837118,uː->oː,uː,oː
angle,76,0.34458141035751666,12.617820091266372,1.0213561276452535e-06,15.59201323308372,2.3654889081728926e-06,oː->ɑː,oː,ɑː
distance,76,0.1697080226220964,4.905494276595327,0.0037031577625128735,5.279858525419703,0.007249612943724082,oː->ɑː,oː,ɑː
angle,76,0.005972746061438605,0.14420721857127314,0.9330684474055191,0.021497481759293263,0.9787382217921307,ɑː->æː,ɑː,æː
distance,76,0.06707845824994985,1.72563600040668,0.16935489897912023,1.5860200395192077,0.21180770404334365,ɑː->æː,ɑː,æː
angle,76,0.11227680086034952,3.035454320963953,0.034582620684732515,3.6078547283972466,0.032119035221433154,æː->eː,æː,eː
distance,76,0.14830046350673687,4.178951580525878,0.008738905966183493,6.239654663041822,0.003169254439207985,æː->eː,æː,eː
angle,76,0.04472998325074684,1.1237865516506758,0.34521839321575165,1.2852412785452192,0.2828521902464615,yː->ʉ̟ː,yː,ʉ̟ː
distance,76,0.10576412540027014,2.8385564499329363,0.043918012262498536,3.8712565330321578,0.025300716210562398,yː->ʉ̟ː,yː,ʉ̟ː
angle,78,0.009200201949989717,0.22904558036149192,0.8758918449765706,0.29748376693691836,0.7435686091321656,ʉ̟ː->øː,ʉ̟ː,øː
distance,78,0.3034542878096189,10.74618023622939,6.076831646309693e-06,10.601231805805732,8.945213486980883e-05,ʉ̟ː->øː,ʉ̟ː,øː
