village,group,geo_y,n_speakers
arjeplog,North,122.0,3
pitea,North,141.0,3
sorsele,North,143.0,4
burtrask,North,177.0,3
vilhelmina,North,178.0,1
nysatra,North,188.0,3
bjurholm,North,211.0,3
strom,North,211.0,3
are,North,227.0,3
aspas,North,229.0,2
anundsjo,North,230.0,3
ragunda,North,241.0,3
kramfors,North,248.0,3
storsjo,North,251.0,3
berg,North,252.0,3
narpes,North,258.0,3
torp,North,265.0,2
vemdalen,North,266.0,3
ovanaker,North,310.0,3
skog,North,317.0,3
ockelbo,North,328.0,3
borga,North,331.0,1
s_finnskoga,North,333.0,3
leksand,North,335.0,2
dalby,North,336.0,2
brando,North,337.0,3
malung,North,337.0,3
arsunda,Central,343.0,3
houtskar,Central,347.0,1
kyrkslatt,Central,347.0,3
dragsfjard,Central,350.0,3
graso,Central,350.0,3
saltvik,Central,350.0,3
grangarde,Central,354.0,1
nora,Central,357.0,3
skuttunge,Central,364.0,2
skinnskatteberg,Central,371.0,2
haraker,Central,373.0,3
karsta,Central,377.0,3
jarnboas,Central,378.0,3
villberga,Central,379.0,3
hammaro,Central,391.0,3
lanna,Central,393.0,2
s_mellosa,Central,395.0,3
bengtsf,Central,401.0,3
v_vingaker,Central,402.0,3
viby,Central,402.0,2
skee,Central,404.0,3
sorunda,Central,406.0,2
torso,Central,414.0,3
tjallmo,Central,416.0,3
frandef,Central,423.0,3
korsberga,Central,432.0,3
orust,Central,436.0,3
st_anna,Central,436.0,4
rimforsa,South,437.0,3
floby,South,439.0,3
faro,South,445.0,3
ostad,South,445.0,2
asby,South,446.0,3
karna,South,448.0,3
jarsnas,South,452.0,3
ankarsrum,South,456.0,3
oxaback,South,468.0,3
frillesas,South,470.0,2
stenberga,South,474.0,3
boda,South,475.0,1
sproge,South,475.0,1
burseryd,South,478.0,2
arstad,South,485.0,3
bredsattra,South,489.0,3
hamneda,South,496.0,3
vackelsang,South,500.0,3
torsas,South,504.0,3
vaxtorp,South,504.0,3
broby,South,510.0,2
segerstad,South,510.0,3
jamshog,South,514.0,3
ossjo,South,515.0,3
torhamn,South,521.0,3
n_rorum,South,522.0,2
bara,South,539.0,3
loderup,South,543.0,3
