method,pair,group,first_vowel,second_vowel,n_villages,n_speakers,anchor_pair_length,midpoint_shift_along_axis,midpoint_shift_perpendicular,true_midpoint_x,true_midpoint_y,plot_x,plot_y,median_pair_distance,monotonic_north_central_south
pca,uː->oː,North,uː,oː,34,93,6.747898580114662,-3.001455212690808,-0.36970969016111804,34.0729294812605,3.7634497954109314,34.43517687733981,3.689543915856002,13.536049975038352,1
pca,uː->oː,Central,uː,oː,22,61,6.747898580114662,-1.247000540688124,3.0427616076561077,37.06580295902589,1.3622459513720808,34.08445705818358,1.9705015066749292,9.25560065936212,1
pca,uː->oː,South,uː,oː,18,50,6.747898580114662,5.555053839372411,-10.478735565856356,22.457478920822183,-2.59953374939954,32.72470959925236,-4.694258851899921,15.317053423693263,1
pca,oː->ɑː,North,oː,ɑː,34,93,26.04267565470389,0.4747182691239034,-0.7644211284359143,24.39119361781148,-12.84422416858669,25.000035850550795,-13.306447920932072,26.24378050186131,0
pca,oː->ɑː,Central,oː,ɑː,22,61,26.04267565470389,-5.189713701163823,3.571808116955757,31.270012504469378,-10.954641056054637,28.425157034169466,-8.79487010119491,29.04900021225001,0
pca,oː->ɑː,South,oː,ɑː,18,50,26.04267565470389,6.4688742327973525,-4.113491981205285,18.099246864434853,-15.59333081373246,21.375539929903475,-18.08064262140805,20.301158054641284,0
pca,ɑː->æː,North,ɑː,æː,34,93,48.87369641378905,-0.2164328136066777,0.559358028377815,-5.9121960666293285,-16.753097904475332,-5.7486562936010515,-16.21818095152976,49.016364730861596,0
pca,ɑː->æː,Central,ɑː,æː,22,61,48.87369641378905,-1.7750234749974574,-0.03675531087507365,-4.247421878294715,-16.638717552733404,-4.258168046031908,-16.673866845137198,51.55882212712927,0
pca,ɑː->æː,South,ɑː,æː,18,50,48.87369641378905,2.03167845046604,2.187791163997573,-8.5381821759397,-17.653095508107704,-7.898536631866513,-15.560899591083398,49.168206827325584,0
pca,æː->eː,North,æː,eː,34,93,23.73164630179921,-1.0128407807236024,0.42777243494663414,-24.25862473056821,0.5972565727467765,-23.88838706446457,0.38298262029734575,24.007415001857282,0
pca,æː->eː,Central,æː,eː,22,61,23.73164630179921,1.1904417950487594,0.9610465981640361,-23.616535942577492,2.7713212981388065,-22.784748710738942,2.289926901834664,27.19111864282753,0
pca,æː->eː,South,æː,eː,18,50,23.73164630179921,-1.4495887632782827,0.6153901373320733,-24.639777987246752,0.31322946587611744,-24.107156926197202,0.004976604653323946,23.498060688610018,0
pca,yː->ʉ̟ː,North,yː,ʉ̟ː,34,93,9.089287070324014,0.769391512767724,3.330609049906825,-1.116222587775312,20.14385354588067,-3.5375322617975895,17.85688697292702,13.439908431155962,0
pca,yː->ʉ̟ː,Central,yː,ʉ̟ː,22,61,9.089287070324014,0.4264314849061342,-4.824906178613223,-7.28067051047722,14.793187042385114,-3.773026163311083,18.10621447454041,11.904002757333874,0
pca,yː->ʉ̟ː,South,yː,ʉ̟ː,18,50,9.089287070324014,0.9670990429534277,-6.037134841459222,-7.790695052741942,13.567750505620404,-3.4017761565385287,17.713156157243596,11.708348289481858,0
pca,ʉ̟ː->øː,North,ʉ̟ː,øː,34,93,24.102980174767648,-2.7840508252942358,1.6582990971565357,-4.088807128054461,6.238014021327391,-5.529963623796448,7.058394329727624,28.422157677156633,0
pca,ʉ̟ː->øː,Central,ʉ̟ː,øː,22,61,24.102980174767648,2.954306049536512,-0.28920827356097306,-8.620135579830048,2.2145096974766765,-8.368797095247023,2.0714349210007814,27.709098165172584,0
pca,ʉ̟ː->øː,South,ʉ̟ː,øː,18,50,24.102980174767648,-2.4122222593861196,-0.9764654422905054,-6.5625158042398155,7.218323179765773,-5.713911642639831,6.735254098885222,20.618388757981844,0
