method,grouping,village,speaker,pair,first_vowel,second_vowel,display_x,display_y,geo_x,geo_y
pca,village,ankarsrum,,uː->oː,uː,oː,31.03479004382207,-4.2323799773861595,149.0,456.0
pca,village,ankarsrum,,oː->ɑː,oː,ɑː,21.10226241006957,-14.476119850513866,149.0,456.0
pca,village,ankarsrum,,ɑː->æː,ɑː,æː,-15.53666294961685,-19.31194372415429,149.0,456.0
pca,village,ankarsrum,,æː->eː,æː,eː,-36.338691921201715,1.027589272274346,149.0,456.0
pca,village,ankarsrum,,yː->ʉ̟ː,yː,ʉ̟ː,-22.288633508936698,13.009932883453102,149.0,456.0
pca,village,ankarsrum,,ʉ̟ː->øː,ʉ̟ː,øː,-19.50575804821144,-3.9247743334194816,149.0,456.0
pca,village,anundsjo,,uː->oː,uː,oː,24.578156911911464,6.9949628030937605,182.0,230.0
pca,village,anundsjo,,oː->ɑː,oː,ɑː,21.34053497105235,-6.622677147305647,182.0,230.0
pca,village,anundsjo,,ɑː->æː,ɑː,æː,-10.967059511346163,-10.468769771419826,182.0,230.0
pca,village,anundsjo,,æː->eː,æː,eː,-34.7615641872734,3.7712984428796235,182.0,230.0
pca,village,anundsjo,,yː->ʉ̟ː,yː,ʉ̟ː,-18.27287648002615,20.516354501620356,182.0,230.0
pca,village,anundsjo,,ʉ̟ː->øː,ʉ̟ː,øː,-18.902686158444368,13.45504462458761,182.0,230.0
pca,village,are,,uː->oː,uː,oː,38.11042256330582,10.496090061617688,89.0,227.0
pca,village,are,,oː->ɑː,oː,ɑː,23.457861820024537,-7.632077726121683,89.0,227.0
pca,village,are,,ɑː->æː,ɑː,æː,-8.274593712298909,-12.838612375577021,89.0,227.0
pca,village,are,,æː->eː,æː,eː,-27.627896862898634,1.0994444370278118,89.0,227.0
pca,village,are,,yː->ʉ̟ː,yː,ʉ̟ː,1.1828764086060495,29.129924029772294,89.0,227.0
pca,village,are,,ʉ̟ː->øː,ʉ̟ː,øː,-3.153371996623558,8.21263822156815,89.0,227.0
pca,village,arjeplog,,uː->oː,uː,oː,28.57924879554871,3.4103539788475,171.0,122.0
pca,village,arjeplog,,oː->ɑː,oː,ɑː,17.230033611303266,-13.538935860714785,171.0,122.0
pca,village,arjeplog,,ɑː->æː,ɑː,æː,-9.022965670713162,-17.826293073444834,171.0,122.0
pca,village,arjeplog,,æː->eː,æː,eː,-25.191000207067056,-1.2057248325330558,171.0,122.0
pca,village,arjeplog,,yː->ʉ̟ː,yː,ʉ̟ː,0.6512221435462369,22.034091247673985,171.0,122.0
pca,village,arjeplog,,ʉ̟ː->øː,ʉ̟ː,øː,-2.353504865355962,14.00271263219499,171.0,122.0
pca,village,arstad,,uː->oː,uː,oː,26.744057901535562,0.5828779694896449,70.0,485.0
pca,village,arstad,,oː->ɑː,oː,ɑː,39.158607223937246,-6.139367093575166,70.0,485.0
pca,village,arstad,,ɑː->æː,ɑː,æː,7.87691547857697,-13.42083131179309,70.0,485.0
pca,village,arstad,,æː->eː,æː,eː,-19.515825062664234,-0.8234326068398277,70.0,485.0
pca,village,arstad,,yː->ʉ̟ː,yː,ʉ̟ː,-3.5707658083255125,7.84710644348779,70.0,485.0
pca,village,arstad,,ʉ̟ː->øː,ʉ̟ː,øː,2.96503737383945,-4.1035634047923075,70.0,485.0
pca,village,arsunda,,uː->oː,uː,oː,33.14323473283561,-2.5341679761242246,156.0,343.0
pca,village,arsunda,,oː->ɑː,oː,ɑː,25.40864909123523,-15.965300002599102,156.0,343.0
pca,village,arsunda,,ɑː->æː,ɑː,æː,-1.3682727144005202,-19.44018788564651,156.0,343.0
pca,village,arsunda,,æː->eː,æː,eː,-19.035953937919313,-4.464707652599475,156.0,343.0
pca,village,arsunda,,yː->ʉ̟ː,yː,ʉ̟ː,1.3566256805540071,19.626894156584463,156.0,343.0
pca,village,arsunda,,ʉ̟ː->øː,ʉ̟ː,øː,-2.2679784440626074,4.984744303463534,156.0,343.0
pca,village,asby,,uː->oː,uː,oː,31.69079223068609,-7.778121948235644,125.0,446.0
pca,village,asby,,oː->ɑː,oː,ɑː,32.53210995453938,-15.69326296414696,125.0,446.0
pca,village,asby,,ɑː->æː,ɑː,æː,-1.577739001441774,-18.80437199863723,125.0,446.0
pca,village,asby,,æː->eː,æː,eː,-28.737495835166612,-0.5872273443724261,125.0,446.0
pca,village,asby,,yː->ʉ̟ː,yː,ʉ̟ː,-11.511814710113661,6.247861857033433,125.0,446.0
pca,village,asby,,ʉ̟ː->øː,ʉ̟ː,øː,-12.763522376432995,-5.452200983010167,125.0,446.0
pca,village,aspas,,uː->oː,uː,oː,39.860101075855226,9.35352712224229,112.0,229.0
pca,village,aspas,,oː->ɑː,oː,ɑː,32.44087940773808,-6.336915923958313,112.0,229.0
pca,village,aspas,,ɑː->æː,ɑː,æː,-2.5873629221735968,-17.74626097503361,112.0,229.0
pca,village,aspas,,æː->eː,æː,eː,-28.698661922633647,-5.47229276334413,112.0,229.0
pca,village,aspas,,yː->ʉ̟ː,yː,ʉ̟ː,-0.8911222307764646,28.185841656267673,112.0,229.0
pca,village,aspas,,ʉ̟ː->øː,ʉ̟ː,øː,-5.5141150936563665,9.687902917453949,112.0,229.0
pca,village,bara,,uː->oː,uː,oː,3.784880700481088,-8.886631550694533,79.0,539.0
pca,village,bara,,oː->ɑː,oː,ɑː,14.989895605578933,-15.911698053223901,79.0,539.0
