village,geo_x,geo_y,geographic_position,geographic_group,median_unwrapped_angle_deg,median_pair_distance,pair,first_vowel,second_vowel
ankarsrum,149.0,456.0,456.0,,14.578641816771906,14.91220470457212,uː->oː,uː,oː
anundsjo,182.0,230.0,230.0,,-75.92065478507992,16.51890386767228,uː->oː,uː,oː
are,89.0,227.0,227.0,,-111.86959560761447,14.017263105267455,uː->oː,uː,oː
arjeplog,171.0,122.0,122.0,,-112.79957397680046,19.060241701182722,uː->oː,uː,oː
arstad,70.0,485.0,485.0,,11.606526458047554,17.729256692713882,uː->oː,uː,oː
arsunda,156.0,343.0,343.0,,-67.10775627651087,13.509784384361625,uː->oː,uː,oː
asby,125.0,446.0,446.0,,73.17167593768336,11.97315212306988,uː->oː,uː,oː
aspas,112.0,229.0,229.0,,-88.86952330365109,11.307665956672569,uː->oː,uː,oː
bara,79.0,539.0,539.0,,-119.45845135316462,19.153352345160258,uː->oː,uː,oː
bengtsf,62.0,401.0,401.0,,-112.23443013031975,8.25698276700587,uː->oː,uː,oː
berg,112.0,252.0,252.0,,-123.24497877699905,14.6958518766409,uː->oː,uː,oː
bjurholm,197.0,211.0,211.0,,-85.87015941658315,9.453307548987468,uː->oː,uː,oː
boda,163.0,475.0,475.0,,-11.59598679643291,7.207577466140004,uː->oː,uː,oː
bredsattra,158.0,489.0,489.0,,-47.603674498584255,15.29679674296043,uː->oː,uː,oː
broby,99.0,510.0,510.0,,-26.3660635536298,38.47589423286148,uː->oː,uː,oː
burseryd,84.0,478.0,478.0,,-67.6805996128369,9.004775876881457,uː->oː,uː,oː
burtrask,222.0,177.0,177.0,,-98.20093407916703,11.337003045336496,uː->oː,uː,oː
dalby,82.0,336.0,336.0,,-105.05110407765449,11.288670332718105,uː->oː,uː,oː
floby,85.0,439.0,439.0,,-49.138322567186336,8.493882222732246,uː->oː,uː,oː
frandef,63.0,423.0,423.0,,-25.012867066795323,9.190704060081588,uː->oː,uː,oː
frillesas,58.0,470.0,470.0,,1.01645093354729,8.278328923211433,uː->oː,uː,oː
grangarde,119.0,354.0,354.0,,-146.0223840798751,14.430931731724328,uː->oː,uː,oː
graso,189.0,350.0,350.0,,-82.57778140529363,2.961272177886662,uː->oː,uː,oː
hammaro,90.0,391.0,391.0,,-67.20168172750495,14.01871193585104,uː->oː,uː,oː
hamneda,93.0,496.0,496.0,,-57.01234550822703,15.337310104426095,uː->oː,uː,oː
haraker,149.0,373.0,373.0,,-91.20771789720605,11.38530139109827,uː->oː,uː,oː
jamshog,108.0,514.0,514.0,,-72.69870439160688,16.220216281755622,uː->oː,uː,oː
jarnboas,117.0,378.0,378.0,,17.489425417066357,29.26465320860724,uː->oː,uː,oː
jarsnas,113.0,452.0,452.0,,-47.77512285974841,5.798006415091931,uː->oː,uː,oː
karna,53.0,448.0,448.0,,-93.99593015323573,10.223514654540848,uː->oː,uː,oː
karsta,186.0,377.0,377.0,,-69.53296333305683,10.59098192707842,uː->oː,uː,oː
korsberga,100.0,432.0,432.0,,-118.6861737567264,15.294752976539531,uː->oː,uː,oː
kramfors,173.0,248.0,248.0,,-128.10805759117486,12.884383056077999,uː->oː,uː,oː
lanna,161.0,393.0,393.0,,-63.07173271508745,6.290867088302713,uː->oː,uː,oː
leksand,120.0,335.0,335.0,,-142.2941853928267,7.487734875062035,uː->oː,uː,oː
loderup,98.0,543.0,543.0,,-86.22414308041236,21.757925155147312,uː->oː,uː,oː
malung,96.0,337.0,337.0,,-96.12358375329212,21.01438650353602,uː->oː,uː,oː
n_rorum,84.0,522.0,522.0,,-71.74466637094248,15.65345545048784,uː->oː,uː,oː
nora,160.0,357.0,357.0,,-8.845538610802734,51.12310220265036,uː->oː,uː,oː
nysatra,228.0,188.0,188.0,,-100.5791973933709,10.64311879209608,uː->oː,uː,oː
ockelbo,156.0,328.0,328.0,,-74.66184967164615,15.66869262188406,uː->oː,uː,oː
orust,49.0,436.0,436.0,,-24.031058000578,9.320497258642654,uː->oː,uː,oː
ossjo,74.0,515.0,515.0,,-111.07222507674611,26.09343988349927,uː->oː,uː,oː
ostad,63.0,445.0,445.0,,-26.09753975559164,10.079771014234316,uː->oː,uː,oː
ovanaker,140.0,310.0,310.0,,-103.1809192283797,15.16371064537704,uː->oː,uː,oː
oxaback,71.0,468.0,468.0,,-122.59454050169818,13.847836820653377,uː->oː,uː,oː
pitea,233.0,141.0,141.0,,-50.0260937700201,15.482215961165805,uː->oː,uː,oː
ragunda,145.0,241.0,241.0,,-67.32844367301963,10.877715327414618,uː->oː,uː,oː
rimforsa,134.0,437.0,437.0,,46.14749553427295,17.231551673237675,uː->oː,uː,oː
s_finnskoga,74.0,333.0,333.0,,-116.5878329417137,13.868572396675154,uː->oː,uː,oː
