village,geo_x,geo_y,geographic_position,geographic_group,median_unwrapped_angle_deg,median_pair_distance,pair,first_vowel,second_vowel
ankarsrum,149.0,456.0,456.0,,-135.11293752536744,32.63928213625,oː->ɑː,oː,ɑː
anundsjo,182.0,230.0,230.0,,-95.58939551054283,19.76577685292054,oː->ɑː,oː,ɑː
are,89.0,227.0,227.0,,-115.92324219967819,27.67974746424969,oː->ɑː,oː,ɑː
arjeplog,171.0,122.0,122.0,,-125.55958394649946,19.622666623024,oː->ɑː,oː,ɑː
arstad,70.0,485.0,485.0,,-85.3178146685699,20.361289738586876,oː->ɑː,oː,ɑː
arsunda,156.0,343.0,343.0,,-128.72577563870917,18.4717691356446,oː->ɑː,oː,ɑː
asby,125.0,446.0,446.0,,-128.15968882463898,23.884392391034506,oː->ɑː,oː,ɑː
aspas,112.0,229.0,229.0,,-124.55356503634064,25.55566439237448,oː->ɑː,oː,ɑː
bara,79.0,539.0,539.0,,-1.4663570030836013,16.242958420726296,oː->ɑː,oː,ɑː
bengtsf,62.0,401.0,401.0,,-116.27035515987134,20.854456811727268,oː->ɑː,oː,ɑː
berg,112.0,252.0,252.0,,-109.51121886433427,23.60941250979667,oː->ɑː,oː,ɑː
bjurholm,197.0,211.0,211.0,,-114.46175491527117,23.031172198552223,oː->ɑː,oː,ɑː
boda,163.0,475.0,475.0,,-139.8060901913061,35.540506523646634,oː->ɑː,oː,ɑː
bredsattra,158.0,489.0,489.0,,-150.58833128358225,29.731135514876907,oː->ɑː,oː,ɑː
broby,99.0,510.0,510.0,,-148.69337164009747,28.018262421784733,oː->ɑː,oː,ɑː
burseryd,84.0,478.0,478.0,,-107.18227653030866,19.487310099797263,oː->ɑː,oː,ɑː
burtrask,222.0,177.0,177.0,,-155.83299842033227,56.321095732029214,oː->ɑː,oː,ɑː
dalby,82.0,336.0,336.0,,-124.05215840999843,28.685016298388902,oː->ɑː,oː,ɑː
floby,85.0,439.0,439.0,,-118.91078143508008,35.54235155821019,oː->ɑː,oː,ɑː
frandef,63.0,423.0,423.0,,-141.01994174215184,22.58797028740114,oː->ɑː,oː,ɑː
frillesas,58.0,470.0,470.0,,-113.24977486032861,20.241026370695696,oː->ɑː,oː,ɑː
grangarde,119.0,354.0,354.0,,-126.86334326689831,22.60231233196531,oː->ɑː,oː,ɑː
graso,189.0,350.0,350.0,,-136.33779871177538,33.445919416748474,oː->ɑː,oː,ɑː
