village,speaker,first_vowel,second_vowel,geo_x,geo_y,first_x,first_y,second_x,second_y,pair_dx,pair_dy,pair_length,directed_angle_from_horizontal_deg,geo_position,geographic_group
ankarsrum,ym_1,ɑː,æː,149.0,456.0,9.638780934077646,-16.45875341376203,-47.726695708000804,-5.181892908915577,-57.36547664207845,11.276860504846452,58.463368815170185,168.8786489839871,456.0,
ankarsrum,ym_2,ɑː,æː,149.0,456.0,21.417306505828222,-29.275065142760475,-33.975100916373215,-11.175694266923522,-55.39240742220144,18.099370875836954,58.27440283802359,161.9052882914678,456.0,
ankarsrum,ym_3,ɑː,æː,149.0,456.0,0.19013225461987526,-27.448193181385058,-40.712106833311346,-18.023809400478726,-40.90223908793122,9.424383780906332,41.97394634837305,167.0247949505777,456.0,
anundsjo,ym_1,ɑː,æː,182.0,230.0,17.4551257162936,-16.74136516399294,-40.92813004515429,-4.196174378846713,-58.38325576144789,12.545190785146225,59.71588034302397,167.87288233338754,230.0,
anundsjo,ym_2,ɑː,æː,182.0,230.0,18.86349300016275,-22.579457348362027,-23.970562498090707,-9.550769473781937,-42.83405549825346,13.02868787458009,44.77167651719877,163.08199205283236,230.0,
anundsjo,ym_3,ɑː,æː,182.0,230.0,22.503982016353707,-9.926646614817216,-40.79761202285508,-0.5995298413513324,-63.30159403920878,9.327116773465884,63.98505227950245,171.61811506882393,230.0,
are,ym_1,ɑː,æː,89.0,227.0,24.611090136027528,-23.7446935351443,-28.95265968581139,-5.212907824054554,-53.56374982183892,18.531785711089746,56.67894120939715,160.91559482196413,227.0,
are,ym_2,ɑː,æː,89.0,227.0,12.403472261213572,-9.085785025389459,-22.42798023501272,10.611007893570019,-34.83145249622629,19.696792918959478,40.01491889644712,150.5123310863011,227.0,
are,ym_3,ɑː,æː,89.0,227.0,10.30830035789533,-20.46431692709949,-34.80574400706652,-10.522347257441695,-45.114044364961856,9.941969669657794,46.196534067786324,167.5721349313772,227.0,
arjeplog,ym_1,ɑː,æː,171.0,122.0,2.485706904257187,-18.181174450425182,-32.69690667741264,-4.81405055602633,-35.18261358166983,13.367123894398851,37.63636937385575,159.1964383104973,122.0,
arjeplog,ym_2,ɑː,æː,171.0,122.0,18.293816217693895,-21.30909752571433,-27.613285947805927,-14.34348862117534,-45.90710216549982,6.965608904538989,46.43255039995791,171.37216690562204,122.0,
arjeplog,ym_3,ɑː,æː,171.0,122.0,11.8297495998834,-27.17318129961553,-29.875680941309724,-14.916928532380819,-41.705430541193124,12.25625276723471,43.46905414798708,163.62316853778617,122.0,
arstad,ym_1,ɑː,æː,70.0,485.0,40.231657543845934,-16.72605271764597,-24.477826586691993,-10.115609905940211,-64.70948413053793,6.610442811705759,65.0462550083183,174.1671433842727,485.0,
arstad,ym_2,ɑː,æː,70.0,485.0,26.120426143633203,-31.876817293233003,-41.04254779802032,-16.950520919515842,-67.16297394165352,14.926296373717161,68.80159440102585,167.47022403887414,485.0,
arstad,ym_3,ɑː,æː,70.0,485.0,50.113965519504944,-15.703650049164665,-7.55016507535827,-9.106322386147847,-57.66413059486322,6.597327663016818,58.04030228689929,173.47319413821705,485.0,
arsunda,ym_1,ɑː,æː,156.0,343.0,23.584613202051198,-14.944144874757551,-22.751998669566795,-15.267256620874605,-46.33661187161799,-0.3231117461170534,46.33773840986899,-179.6004749039138,343.0,
arsunda,ym_2,ɑː,æː,156.0,343.0,20.76135636032688,-23.61311915041841,-29.03798329671088,-18.708863598807426,-49.79933965703776,4.904255551610984,50.04024333266697,174.37562819275269,343.0,
arsunda,ym_3,ɑː,æː,156.0,343.0,20.012704138216478,-29.644824482351208,-23.49790178912792,-14.476079530757886,-43.5106059273444,15.168744951593322,46.078885094706294,160.78033241227567,343.0,
asby,ym_1,ɑː,æː,125.0,446.0,24.497924585194752,-31.280848300311156,-40.738238147844086,-11.620245589006359,-65.23616273303884,19.660602711304797,68.13439826624501,163.22846274710258,446.0,
asby,ym_2,ɑː,æː,125.0,446.0,23.838405620377735,-25.9884984082681,-26.55130007905894,-17.4066617240114,-50.389705699436675,8.5818366842567,51.115265443418124,170.33473044505382,446.0,
asby,ym_3,ɑː,æː,125.0,446.0,31.586917883232893,-16.82531519147259,-27.6534025880783,3.5715850611287454,-59.24032047131119,20.396900252601334,62.65340461186623,161.00101849425215,446.0,
aspas,ym_2,ɑː,æː,112.0,229.0,20.257896048109046,-19.45570849320412,-29.204779673100052,-18.381662869857742,-49.462675721209095,1.0740456233463789,49.47433540233276,178.7560597742947,229.0,
aspas,ym_3,ɑː,æː,112.0,229.0,30.43328698787556,-13.992879426791127,-31.835855051578942,-19.154793110281453,-62.26914203945451,-5.161913683490326,62.482728839300584,-175.26119725197563,229.0,
bara,ym_1,ɑː,æː,79.0,539.0,21.13657842354451,-15.40687017183318,-22.969452155500946,-20.798558006875638,-44.10603057904545,-5.3916878350424575,44.43435867828225,-173.03052635340168,539.0,
bara,ym_2,ɑː,æː,79.0,539.0,8.42445138845046,-19.86494819654683,-18.99010895182117,-16.129085153706946,-27.41456034027163,3.7358630428398847,27.667937966629374,172.23993506807923,539.0,
bara,ym_3,ɑː,æː,79.0,539.0,25.08522731567603,-16.691365288018908,-26.76188122289304,-17.062555825809167,-51.847108538569074,-0.3711905377902589,51.84843725924155,-179.58980763910844,539.0,
bengtsf,ym_1,ɑː,æː,62.0,401.0,28.541432266270387,-23.180257838837395,-35.179646480262726,-1.8134542569558576,-63.72107874653311,21.366803581881538,67.20800675461652,161.4627875181499,401.0,
bengtsf,ym_2,ɑː,æː,62.0,401.0,36.25383448605267,-20.39757409924328,-13.211422118517246,7.0714927619676455,-49.465256604569916,27.469066861210926,56.58057303687922,150.95569196772132,401.0,
bengtsf,ym_3,ɑː,æː,62.0,401.0,33.31311742722859,-10.331540256286596,-33.65347135785677,0.8689288548718055,-66.96658878508536,11.200469111158402,67.89679316301127,170.50490601350725,401.0,
berg,ym_1,ɑː,æː,112.0,252.0,5.088792962864591,-27.012414504620097,-48.64863990063457,-16.081794005027362,-53.737432863499166,10.930620499592735,54.83785330649985,168.50244062670697,252.0,
berg,ym_2,ɑː,æː,112.0,252.0,17.66114221039085,-25.431083929776236,-21.83514243888665,-16.139646400907637,-39.4962846492775,9.291437528868599,40.57446626204245,166.7619624567344,252.0,
berg,ym_3,ɑː,æː,112.0,252.0,22.087623248683443,-23.09871427748498,-40.362608114000324,-17.473916253332277,-62.450231362683766,5.624798024152703,62.70302823680243,174.85334282201066,252.0,
bjurholm,ym_1,ɑː,æː,197.0,211.0,17.457402845183793,-26.828653943894462,-31.92329484215268,-12.957066047815328,-49.38069768733647,13.871587896079134,51.29204865129455,164.3093560074814,211.0,
bjurholm,ym_2,ɑː,æː,197.0,211.0,15.58311871297812,-27.11403648708403,-27.577347649551058,-10.769122519484158,-43.16046636252918,16.344913967599872,46.15172877844614,159.25827049136993,211.0,
bjurholm,ym_3,ɑː,æː,197.0,211.0,18.55244689272747,-24.418699448770226,-28.00780888638467,-7.861772912568633,-46.56025577911214,16.556926536201594,49.41648747676753,160.4245047316611,211.0,
boda,ym_2,ɑː,æː,163.0,475.0,5.257645742597827,-27.428707140317588,-39.97722335753723,-20.367575660645258,-45.23486910013506,7.06113147967233,45.782670960523625,171.12776964255215,475.0,
bredsattra,ym_1,ɑː,æː,158.0,489.0,11.9601311165402,-23.36345212730934,-47.58062874630476,-11.755353272721248,-59.540759862844965,11.608098854588093,60.661767564610734,168.9679689351622,489.0,
bredsattra,ym_2,ɑː,æː,158.0,489.0,-1.482230142609252,-29.187686009349353,-41.00438639829569,-18.304367219618634,-39.52215625568644,10.883318789730719,40.99326118983217,164.60390338128266,489.0,
bredsattra,ym_3,ɑː,æː,158.0,489.0,-5.489667280898405,-26.866999143624312,-38.13834552481462,-16.791216166625507,-32.648678243916216,10.075782976998806,34.1680785774434,162.8491317964309,489.0,
broby,ym_1,ɑː,æː,99.0,510.0,-3.6962888133005674,-14.496829156679965,-45.76845716192429,-3.6592754305628077,-42.07216834862372,10.837553726117157,43.445597248989586,165.55496418318117,510.0,
broby,ym_3,ɑː,æː,99.0,510.0,13.323028185263139,-26.24454307526346,-31.770106969479492,-5.620387692906915,-45.09313515474263,20.624155382356548,49.585750204262034,155.42216139254697,510.0,
burseryd,ym_1,ɑː,æː,84.0,478.0,37.693439157506205,-16.456979010823424,-13.085457169610017,-17.356774303747287,-50.77889632711622,-0.8997952929238622,50.786867827905915,-178.98483264645643,478.0,
burseryd,ym_2,ɑː,æː,84.0,478.0,27.27196445848574,-31.911751591055506,-25.830568671472946,-11.20593402664587,-53.10253312995869,20.705817564409635,56.996578018587876,158.6981221095017,478.0,
burtrask,ym_1,ɑː,æː,222.0,177.0,-24.098653988041086,-26.491682511741285,-27.58177954356845,-6.546989434680492,-3.4831255555273657,19.94469307706079,20.246553918475225,99.90618710939738,177.0,
burtrask,ym_2,ɑː,æː,222.0,177.0,-0.893760630774195,-27.940681029701487,-39.23798510219864,-13.88081007873684,-38.34422447142445,14.059870950964648,40.84066014981595,159.8632724753302,177.0,
burtrask,ym_3,ɑː,æː,222.0,177.0,-13.988482639322195,-27.03007166600409,-30.393977246756577,-20.107123142933084,-16.405494607434385,6.922948523071007,17.806388448184816,157.120759767833,177.0,
dalby,ym_1,ɑː,æː,82.0,336.0,14.74872542663436,-27.39457265487313,-37.24684895251638,-9.51269155648459,-51.99557437915074,17.88188109838854,54.98455625568603,161.02131214485567,336.0,
dalby,ym_2,ɑː,æː,82.0,336.0,16.426771195130137,-21.12217460198906,-29.222629579046394,-1.4639146160591583,-45.64940077417653,19.658259985929902,49.70226329570718,156.70156481060016,336.0,
floby,ym_1,ɑː,æː,85.0,439.0,33.492772120516264,-20.52818106569123,-15.511697876018838,0.5675181405616501,-49.0044699965351,21.095699206252878,53.35228771704178,156.70883736321298,439.0,
floby,ym_2,ɑː,æː,85.0,439.0,16.677174914404702,-28.168905319242924,-54.30273180659231,-11.76211733502525,-70.97990672099701,16.406787984217672,72.85142311637094,166.98483817562834,439.0,
floby,ym_3,ɑː,æː,85.0,439.0,42.30493329244433,-12.36793916678955,-28.030552591817226,-3.851508875846866,-70.33548588426156,8.516430290942685,70.84920719017005,173.09606505300405,439.0,
frandef,ym_1,ɑː,æː,63.0,423.0,11.75821375829255,-25.244321944160447,-28.086304083804663,-11.432613759889719,-39.84451784209721,13.811708184270728,42.17047409072673,160.88163184824106,423.0,
frandef,ym_2,ɑː,æː,63.0,423.0,3.62060746755917,-24.694263037620285,-37.39995626480372,-16.28187984976336,-41.02056373236289,8.412383187856925,41.874274200518194,168.41062787554353,423.0,
frandef,ym_4,ɑː,æː,63.0,423.0,29.497788604598476,-11.223340581023852,-35.49864876663895,0.2647684453634309,-64.99643737123742,11.488109026387283,66.00389018804384,169.97650496467503,423.0,
frillesas,ym_2,ɑː,æː,58.0,470.0,14.683295100532131,-23.315290048918918,-39.48370929255641,-20.370779756071663,-54.16700439308855,2.944510292847255,54.24697692761835,176.8884723940269,470.0,
frillesas,ym_3,ɑː,æː,58.0,470.0,41.13482007331653,-17.308786079377857,-21.414162949854845,-13.726950845620596,-62.548983023171374,3.5818352337572605,62.65145505792157,176.72256610373566,470.0,
grangarde,ym_1,ɑː,æː,119.0,354.0,4.200409716530432,-23.291847744278712,-36.24030774285737,-8.18571094278794,-40.4407174593878,15.106136801490772,43.16997796727938,159.5174389608305,354.0,
graso,ym_1,ɑː,æː,189.0,350.0,7.671561329723206,-15.927394290754831,-37.10447639473294,11.433087238768712,-44.776037724456145,27.360481529523543,52.47370297424529,148.57290583035575,350.0,
graso,ym_2,ɑː,æː,189.0,350.0,36.551612502965156,-22.39155658803071,-13.292826281553733,5.521458418974654,-49.844438784518886,27.913015007005363,57.127965870709566,150.75106052781595,350.0,
graso,ym_3,ɑː,æː,189.0,350.0,25.41526093203901,-16.74505854957518,-21.412051482550723,-9.101056162043623,-46.827312414589734,7.6440023875315575,47.447106976866124,170.72891550376374,350.0,
hammaro,ym_1,ɑː,æː,90.0,391.0,12.994633247969931,-30.49465881988333,-29.195705555060115,-14.17387069421394,-42.190338803030045,16.320788125669388,45.23707343935341,158.85168088481674,391.0,
hammaro,ym_2,ɑː,æː,90.0,391.0,26.473946969634305,-23.636103831074838,-9.246921650226332,-20.628190502998926,-35.72086861986064,3.0079133280759116,35.84728717136851,175.18670364856695,391.0,
