village,geo_x,geo_y,geographic_position,geographic_group,median_unwrapped_angle_deg,median_pair_distance,pair,first_vowel,second_vowel
ankarsrum,149.0,456.0,456.0,,167.0247949505777,58.27440283802359,ɑː->æː,ɑː,æː
anundsjo,182.0,230.0,230.0,,167.87288233338754,59.71588034302397,ɑː->æː,ɑː,æː
are,89.0,227.0,227.0,,160.91559482196413,46.196534067786324,ɑː->æː,ɑː,æː
arjeplog,171.0,122.0,122.0,,163.62316853778617,43.46905414798708,ɑː->æː,ɑː,æː
arstad,70.0,485.0,485.0,,173.47319413821705,65.0462550083183,ɑː->æː,ɑː,æː
arsunda,156.0,343.0,343.0,,174.37562819275269,46.33773840986899,ɑː->æː,ɑː,æː
asby,125.0,446.0,446.0,,163.22846274710258,62.65340461186623,ɑː->æː,ɑː,æː
aspas,112.0,229.0,229.0,,181.74743126115953,55.97853212081667,ɑː->æː,ɑː,æː
bara,79.0,539.0,539.0,,180.41019236089156,44.43435867828225,ɑː->æː,ɑː,æː
bengtsf,62.0,401.0,401.0,,161.4627875181499,67.20800675461652,ɑː->æː,ɑː,æː
berg,112.0,252.0,252.0,,168.50244062670697,54.83785330649985,ɑː->æː,ɑː,æː
bjurholm,197.0,211.0,211.0,,160.4245047316611,49.41648747676753,ɑː->æː,ɑː,æː
boda,163.0,475.0,475.0,,171.12776964255215,45.782670960523625,ɑː->æː,ɑː,æː
bredsattra,158.0,489.0,489.0,,164.60390338128266,40.99326118983217,ɑː->æː,ɑː,æː
broby,99.0,510.0,510.0,,160.48856278786405,46.515673726625806,ɑː->æː,ɑː,æː
burseryd,84.0,478.0,478.0,,169.85664473152264,53.891722923246896,ɑː->æː,ɑː,æː
burtrask,222.0,177.0,177.0,,157.120759767833,20.246553918475225,ɑː->æː,ɑː,æː
dalby,82.0,336.0,336.0,,158.86143847772792,52.34340977569661,ɑː->æː,ɑː,æː
floby,85.0,439.0,439.0,,166.98483817562834,70.84920719017005,ɑː->æː,ɑː,æː
frandef,63.0,423.0,423.0,,168.41062787554353,42.17047409072673,ɑː->æː,ɑː,æː
frillesas,58.0,470.0,470.0,,176.8055192488813,58.44921599276996,ɑː->æː,ɑː,æː
grangarde,119.0,354.0,354.0,,159.5174389608305,43.16997796727938,ɑː->æː,ɑː,æː
graso,189.0,350.0,350.0,,150.75106052781595,52.47370297424529,ɑː->æː,ɑː,æː
hammaro,90.0,391.0,391.0,,163.39448674479445,45.23707343935341,ɑː->æː,ɑː,æː
hamneda,93.0,496.0,496.0,,152.515698407825,48.980007433936045,ɑː->æː,ɑː,æː
haraker,149.0,373.0,373.0,,186.47281431888538,33.58247809882044,ɑː->æː,ɑː,æː
jamshog,108.0,514.0,514.0,,137.3057082452264,32.32899050802313,ɑː->æː,ɑː,æː
jarnboas,117.0,378.0,378.0,,163.2742825965907,50.391490552503754,ɑː->æː,ɑː,æː
jarsnas,113.0,452.0,452.0,,164.7099275623834,50.042361847028786,ɑː->æː,ɑː,æː
karna,53.0,448.0,448.0,,161.91196560784826,50.922939846629525,ɑː->æː,ɑː,æː
karsta,186.0,377.0,377.0,,157.49913869771277,34.70140399018626,ɑː->æː,ɑː,æː
korsberga,100.0,432.0,432.0,,171.831182053994,55.14106244397371,ɑː->æː,ɑː,æː
kramfors,173.0,248.0,248.0,,166.51680442800884,48.616241984955664,ɑː->æː,ɑː,æː
lanna,161.0,393.0,393.0,,179.16265199985122,39.61855707742211,ɑː->æː,ɑː,æː
leksand,120.0,335.0,335.0,,162.23762281085772,58.42930929895173,ɑː->æː,ɑː,æː
loderup,98.0,543.0,543.0,,162.22952937006588,35.11910056480867,ɑː->æː,ɑː,æː
malung,96.0,337.0,337.0,,124.73328720013555,54.04686612083533,ɑː->æː,ɑː,æː
n_rorum,84.0,522.0,522.0,,163.88182917405572,39.84981778535969,ɑː->æː,ɑː,æː
nora,160.0,357.0,357.0,,156.0309578094414,27.73174127319323,ɑː->æː,ɑː,æː
nysatra,228.0,188.0,188.0,,160.9419267642263,35.341816455794344,ɑː->æː,ɑː,æː
ockelbo,156.0,328.0,328.0,,160.77445872219445,42.77371605789348,ɑː->æː,ɑː,æː
orust,49.0,436.0,436.0,,158.3794488489733,55.3635296279009,ɑː->æː,ɑː,æː
ossjo,74.0,515.0,515.0,,170.97102524744716,49.35640622071512,ɑː->æː,ɑː,æː
ostad,63.0,445.0,445.0,,155.28337245654293,46.40796138391447,ɑː->æː,ɑː,æː
ovanaker,140.0,310.0,310.0,,170.45810607730405,57.688229427207595,ɑː->æː,ɑː,æː
oxaback,71.0,468.0,468.0,,161.46475579397386,50.4611957300798,ɑː->æː,ɑː,æː
pitea,233.0,141.0,141.0,,169.83822242962148,53.80362523263141,ɑː->æː,ɑː,æː
