model,n_villages,n_predictors,r2,adjusted_r2,cv_r2_10fold,coefficient_0,coefficient_1,pair,first_vowel,second_vowel,coefficient_2
angle_only,74,1,0.1511321733913159,0.13934234246619537,0.08601612617589238,430.9266345390212,0.8089477294043966,uː->oː,uː,oː,
distance_only,74,1,0.001143870734921948,-0.01272913106042628,-0.05489238325531853,370.0872425328595,0.5072416209282217,uː->oː,uː,oː,
angle_and_distance,74,2,0.15122309711441306,0.12731388858242465,0.07007191968980708,433.0929752996848,0.8111714108839767,uː->oː,uː,oː,-0.1439048266977862
angle_only,74,1,0.04672950907929663,0.03348964114984243,-0.16203058092055844,483.2904557213159,0.8781278802707794,oː->ɑː,oː,ɑː,
distance_only,74,1,0.025399824574626972,0.011863711027052304,-0.0627098575479681,439.7619653635733,-2.309964358477239,oː->ɑː,oː,ɑː,
angle_and_distance,74,2,0.04916912677423779,0.022385158514357073,-0.192601146322259,490.63960453265753,0.7474320758384347,oː->ɑː,oː,ɑː,-0.8543821500422918
angle_only,74,1,8.423836100335258e-06,-0.013880348055065106,-0.05171622031741685,373.1657124781029,0.024724018498606698,ɑː->æː,ɑː,æː,
distance_only,74,1,0.003827231428603195,-0.010008501468221631,-0.0475212040836801,344.92367560752837,0.652894619474619,ɑː->æː,ɑː,æː,
angle_and_distance,74,2,0.004527463704605883,-0.02351401619103899,-0.06350094252444038,379.1227930139645,-0.250017298922912,ɑː->æː,ɑː,æː,0.7868803579311238
angle_only,74,1,0.01912693961311862,0.005503702663300913,-0.10039712629303654,433.3102360099873,-0.8837696718600462,æː->eː,æː,eː,
distance_only,74,1,8.859180547737822e-05,-0.013799066641668745,-0.08337822783995241,373.58923367005127,0.14616143754738187,æː->eː,æː,eː,
angle_and_distance,74,2,0.01917128946979907,-0.008457688291614973,-0.15438812930136558,436.1994600310656,-0.8887347775553083,æː->eː,æː,eː,-0.10411614501726069
angle_only,74,1,0.00045165305021410695,-0.01343096287964407,-0.10635581134788663,379.99880309936447,0.05783572507203279,yː->ʉ̟ː,yː,ʉ̟ː,
distance_only,74,1,0.02487704081687392,0.011333666383774865,-0.056091557848580775,332.2599033082756,3.374526227928035,yː->ʉ̟ː,yː,ʉ̟ː,
angle_and_distance,74,2,0.02492125183549332,-0.002545755155056062,-0.12193576248802707,331.0319606395034,-0.01838275315438337,yː->ʉ̟ː,yː,ʉ̟ː,3.3999963981549257
angle_only,74,1,0.0015160386042338825,-0.012351794192929644,-0.07977759937143913,396.9938653741779,0.16790807113299772,ʉ̟ː->øː,ʉ̟ː,øː,
distance_only,74,1,0.08364026057339602,0.07091304197024884,0.022411230898651047,488.96323099641006,-4.349760999050067,ʉ̟ː->øː,ʉ̟ː,øː,
angle_and_distance,74,2,0.08419345465738559,0.058396087182945644,-0.00432284700290797,500.44922770038096,0.10157242011895871,ʉ̟ː->øː,ʉ̟ː,øː,-4.330836099827115
