response,n_villages,r2,overall_f,overall_p,nonlinearity_f,nonlinearity_p,pair,first_vowel,second_vowel
angle,74,0.34997721133617765,12.56284406268843,1.1599081478269658e-06,10.706665134581135,8.771983713876095e-05,uː->oː,uː,oː
distance,74,0.06851369433650933,1.7162387231373946,0.1715605867947879,2.531377876109512,0.08681079713152785,uː->oː,uː,oː
angle,74,0.3077469760846001,10.373032008863996,9.895941724801871e-06,13.196925155363534,1.3699506569176731e-05,oː->ɑː,oː,ɑː
distance,74,0.1397418172258491,3.7903067558411316,0.01402998119781372,4.652056583626177,0.012678896266330572,oː->ɑː,oː,ɑː
angle,74,0.02440312309275916,0.5836490654857392,0.627711567650387,0.8751713891189955,0.4213006154510747,ɑː->æː,ɑː,æː
distance,74,0.029338131829897418,0.7052470399963315,0.5520825683599806,0.9198687445387755,0.40333472681894095,ɑː->æː,ɑː,æː
angle,74,0.14351186775087477,3.909698361758976,0.01216621595886207,5.0829338094729835,0.008685583465988704,æː->eː,æː,eː
distance,74,0.11076195001414313,2.906359551720844,0.04065561892513617,4.356052394929458,0.01648078901179443,æː->eː,æː,eː
angle,74,0.032760412096357716,0.7903001749943086,0.50336070252751,1.1691069935070244,0.31663508305404,yː->ʉ̟ː,yː,ʉ̟ː
distance,74,0.1335345155366473,3.595994783856336,0.017704926040140723,4.389109183671013,0.016003537328940446,yː->ʉ̟ː,yː,ʉ̟ː
angle,74,0.0075345433143370055,0.17714068483045348,0.9115455589338421,0.21224684792260998,0.8092835857701427,ʉ̟ː->øː,ʉ̟ː,øː
distance,74,0.244248843136064,7.541026727400551,0.00019225400592387315,7.4380308103258646,0.0011774669351656167,ʉ̟ː->øː,ʉ̟ː,øː
