method,pair,group,first_vowel,second_vowel,n_villages,n_speakers,anchor_pair_length,midpoint_shift_along_axis,midpoint_shift_perpendicular,true_midpoint_x,true_midpoint_y,plot_x,plot_y,median_pair_distance,monotonic_north_central_south
praat-fixed,uː->oː,North,uː,oː,34,93,82.3141846828358,5.4040275890961444,0.3118766844246359,-799.75,-432.4375,-799.9271290701964,-432.694195069643,102.3574655730956,1
praat-fixed,uː->oː,Central,uː,oː,22,61,82.3141846828358,-14.78405580628628,-0.2539811343640679,-816.6875,-421.4375,-816.5432524674845,-421.22845678442945,100.27921114472028,1
praat-fixed,uː->oː,South,uː,oː,18,50,82.3141846828358,-116.15365913954905,-99.74169435844496,-956.625,-445.75,-899.9771181164099,-363.6560107462411,153.4322130792201,1
praat-fixed,oː->ɑː,North,oː,ɑː,34,93,190.3766004528918,-2.4687908014005124,9.949029951654593,-836.875,-518.5,-843.0677781379981,-510.7133000627703,193.91802144361304,0
praat-fixed,oː->ɑː,Central,oː,ɑː,22,61,190.3766004528918,-22.180870652981856,1.4297319069280887,-826.75,-499.5625,-827.6399372641803,-498.4435071530561,188.03884839020338,0
praat-fixed,oː->ɑː,South,oː,ɑː,18,50,190.3766004528918,60.46994469180381,-31.00269405987466,-911.625,-525.625,-892.3273592324088,-549.8895440875198,158.11266965383217,0
praat-fixed,ɑː->æː,North,ɑː,æː,34,93,774.2512512098382,6.388187932885257,3.2100367885959176,-1311.625,-604.6875,-1311.8696133218787,-601.4867968730451,743.6644077455811,0
praat-fixed,ɑː->æː,Central,ɑː,æː,22,61,774.2512512098382,-5.275177138710322,-5.050201719261123,-1300.625,-595.5625,-1300.2401612270942,-600.5980175031069,793.4946440500249,0
praat-fixed,ɑː->æː,South,ɑː,æː,18,50,774.2512512098382,19.791056166917425,-6.777838578626657,-1325.75,-595.75,-1325.2335107137196,-602.5081310001418,709.1451085319297,0
praat-fixed,æː->eː,North,æː,eː,34,93,326.28553446329795,-28.465098875061308,-9.02794389841804,-1801.75,-552.625,-1806.4537036602176,-560.3307733492388,305.76059350995286,0
praat-fixed,æː->eː,Central,æː,eː,22,61,326.28553446329795,45.601929685527274,15.0218312867049,-1877.5,-534.5625,-1869.6733848148053,-521.7406627701369,420.47825345141,0
praat-fixed,æː->eː,South,æː,eː,18,50,326.28553446329795,5.6118408773833215,0.6430334104302764,-1835.875,-543.125,-1835.5399692731462,-542.576140838654,294.157800060146,0
praat-fixed,yː->ʉ̟ː,North,yː,ʉ̟ː,34,93,328.9494879536978,-35.44417661972814,8.747733635034688,-1810.6875,-371.0,-1810.8736505723148,-379.74575278143305,380.8541521372698,1
praat-fixed,yː->ʉ̟ː,Central,yː,ʉ̟ː,22,61,328.9494879536978,42.40670550751404,-9.849821533864398,-1733.25,-391.25,-1733.04039714831,-381.4024088786373,302.9181979339454,1
praat-fixed,yː->ʉ̟ː,South,yː,ʉ̟ː,18,50,328.9494879536978,58.34456281385512,-6.75996644297255,-1717.25,-388.5,-1717.1061488409812,-381.7415642968092,267.50474376710275,1
praat-fixed,ʉ̟ː->øː,North,ʉ̟ː,øː,34,93,183.86442015789788,-11.506950328851428,-7.712374415790897,-1558.75,-445.625,-1553.3704272801897,-440.0986163287718,197.81214146873788,0
praat-fixed,ʉ̟ː->øː,Central,ʉ̟ː,øː,22,61,183.86442015789788,36.19982250662812,-6.454059322521007,-1523.6875,-478.0,-1519.1856333125654,-473.3752753522845,256.3800351353332,0
praat-fixed,ʉ̟ː->øː,South,ʉ̟ː,øː,18,50,183.86442015789788,6.583910437704122,19.579559611959883,-1526.75,-438.6875,-1540.4072291587324,-452.71744106559834,145.14742887191036,0
