method,space,vowel,response,n_villages,spline_df,r2,overall_f,overall_p,nonlinearity_f,nonlinearity_p,geographic_coordinate,knots_geographic_position,coefficient_0,coefficient_1,coefficient_2,coefficient_3
praat-fixed,hz,uː,display_x,74,4,0.3285150664027042,11.41552277030464,3.5115223098056267e-06,14.073670116176576,7.2892472481005605e-06,raw-y,122;319.75;465;543,-803.0685745172246,-0.5789544329724159,0.005999185693512219,-0.029350354266968654
praat-fixed,hz,uː,display_y,74,4,0.07148822575941816,1.7964862130233914,0.155796896490711,2.0296927988672,0.13903614984726048,raw-y,122;319.75;465;543,-414.31515885437125,0.031627849638038795,8.359194050359889e-05,-0.0013805927122587552
praat-fixed,hz,oː,display_x,74,4,0.5660885666005441,30.441081299002064,1.0450375159423831e-12,33.188519519130175,7.285970455914701e-11,raw-y,122;319.75;465;543,-767.1058379181909,-0.11325240126138403,0.0023756907528086086,-0.016090857265447026
praat-fixed,hz,oː,display_y,74,4,0.3259957486337678,11.28563722365615,3.989125056367151e-06,16.899027158970586,1.0275641707530377e-06,raw-y,122;319.75;465;543,-466.71990667470817,-0.0522784982214312,0.0013530628923640597,-0.006285732446239683
praat-fixed,hz,ɑː,display_x,74,4,0.17408398565280137,4.918126776416349,0.0037023344194285815,7.011631992585472,0.0016766685288441298,raw-y,122;319.75;465;543,-994.3969107067458,0.2468370479041993,0.00022869717174583154,-0.0050136922417130135
praat-fixed,hz,ɑː,display_y,74,4,0.14788614175978043,4.04954878704573,0.010299813690204442,4.2944653308397145,0.01740937252859969,raw-y,122;319.75;465;543,-656.452548691065,0.2768313145019586,-0.0002833785056490722,-0.0010057814685930327
praat-fixed,hz,æː,display_x,74,4,0.048910667589285306,1.1999387139838322,0.3162342909059388,1.7081370191158016,0.1886685485563289,raw-y,122;319.75;465;543,-1523.687066222361,-0.7222284493391373,0.0015091358876456904,0.0003630236069634724
praat-fixed,hz,æː,display_y,74,4,0.10366574025192365,2.6986219105635136,0.052288037556695345,2.2689706758236725,0.11097435110724552,raw-y,122;319.75;465;543,-750.4452671785644,0.47670712076546734,-0.001321874785823205,0.001980846734196898
praat-fixed,hz,eː,display_x,74,4,0.08106067564336861,2.0582596857917212,0.11361304273980871,2.4986975512110843,0.08949837036649012,raw-y,122;319.75;465;543,-1965.3093236590578,0.2870333419691149,-0.0037322757528456332,0.013209491926535078
praat-fixed,hz,eː,display_y,74,4,0.32185906518751894,11.074460291137141,4.912816340298973e-06,16.19178579557323,1.6610081175907123e-06,raw-y,122;319.75;465;543,-443.32885061778506,-0.21803905781253263,0.0021763131309630243,-0.00787842742361166
praat-fixed,hz,yː,display_x,74,4,0.20897135729247052,6.164123615214185,0.0008854137121717842,0.8487997901819987,0.4322846819008152,raw-y,122;319.75;465;543,-1999.5115775911056,-0.10159764762425791,0.0027074297803241884,-0.0038609740769543002
praat-fixed,hz,yː,display_y,74,4,0.17058362766974944,4.798898090768152,0.0042554932747217895,1.557915424821425,0.21778688322061138,raw-y,122;319.75;465;543,-358.4047299662914,-0.032925987499989054,-7.70218564961535e-05,-0.0007871724890756074
praat-fixed,hz,ʉ̟ː,display_x,74,4,0.0594843041568105,1.4757511258202909,0.22861195328455897,1.442443723314786,0.24328724451520475,raw-y,122;319.75;465;543,-1833.419046848205,1.0751526764481873,-0.004513808720786852,0.011690940429146358
praat-fixed,hz,ʉ̟ː,display_y,74,4,0.14229733992540572,3.871121566344882,0.01273917234590986,0.2516377185284186,0.7782266777690904,raw-y,122;319.75;465;543,-368.61377846493593,-0.0030806275602717555,-0.0004747202164365746,0.0009716421107876458
praat-fixed,hz,øː,display_x,74,4,0.0604639898468009,1.5016203897588087,0.22169366364509088,1.5288433588414887,0.22393620619423807,raw-y,122;319.75;465;543,-1774.1817622948781,1.372760704161584,-0.005316833576770414,0.012253345195397758
praat-fixed,hz,øː,display_y,74,4,0.053327178071306935,1.3143937301683273,0.27661599633940914,1.9269194804196477,0.15324057484054832,raw-y,122;319.75;465;543,-441.74667408418844,-0.3453341521155112,0.0012279618461406054,-0.0018064610562918996
