village,vowel,n_speakers,geo_x,geo_y,display_x,display_y,geo_position,geographic_group
ankarsrum,eː,3,149.0,456.0,-1849.0,-444.0,456.0,
ankarsrum,oː,3,149.0,456.0,-770.0,-450.0,456.0,
ankarsrum,uː,3,149.0,456.0,-900.0,-459.0,456.0,
ankarsrum,yː,3,149.0,456.0,-1981.0,-424.0,456.0,
ankarsrum,æː,3,149.0,456.0,-1620.0,-632.0,456.0,
ankarsrum,øː,3,149.0,456.0,-1323.0,-590.0,456.0,
ankarsrum,ɑː,3,149.0,456.0,-959.0,-603.0,456.0,
ankarsrum,ʉ̟ː,3,149.0,456.0,-1625.0,-420.0,456.0,
anundsjo,eː,3,182.0,230.0,-1968.0,-478.0,230.0,
anundsjo,oː,3,182.0,230.0,-774.0,-463.0,230.0,
anundsjo,uː,3,182.0,230.0,-1648.0,-435.0,230.0,
anundsjo,yː,3,182.0,230.0,-1999.0,-386.5,230.0,
anundsjo,æː,3,182.0,230.0,-1811.5,-610.5,230.0,
anundsjo,øː,3,182.0,230.0,-1664.0,-475.0,230.0,
anundsjo,ɑː,3,182.0,230.0,-860.0,-570.0,230.0,
anundsjo,ʉ̟ː,3,182.0,230.0,-1740.0,-375.0,230.0,
are,eː,3,89.0,227.0,-1959.0,-521.0,227.0,
are,oː,3,89.0,227.0,-736.0,-477.0,227.0,
are,uː,3,89.0,227.0,-733.0,-407.0,227.0,
are,yː,3,89.0,227.0,-2064.0,-322.0,227.0,
are,æː,3,89.0,227.0,-1729.0,-631.0,227.0,
are,øː,3,89.0,227.0,-1345.0,-563.0,227.0,
are,ɑː,3,89.0,227.0,-915.0,-576.0,227.0,
are,ʉ̟ː,3,89.0,227.0,-1748.0,-334.5,227.0,
arjeplog,eː,3,171.0,122.0,-1971.5,-475.5,122.0,
arjeplog,oː,3,171.0,122.0,-810.0,-483.0,122.0,
arjeplog,uː,3,171.0,122.0,-985.0,-402.0,122.0,
arjeplog,yː,3,171.0,122.0,-1982.0,-337.0,122.0,
arjeplog,æː,3,171.0,122.0,-1667.5,-670.5,122.0,
arjeplog,øː,3,171.0,122.0,-1680.5,-468.0,122.0,
arjeplog,ɑː,3,171.0,122.0,-931.0,-569.5,122.0,
arjeplog,ʉ̟ː,3,171.0,122.0,-1672.5,-359.5,122.0,
arstad,eː,3,70.0,485.0,-1951.0,-459.0,485.0,
arstad,oː,3,70.0,485.0,-684.5,-433.5,485.0,
arstad,uː,3,70.0,485.0,-1094.5,-423.5,485.0,
arstad,yː,3,70.0,485.0,-1957.5,-426.5,485.0,
arstad,æː,3,70.0,485.0,-1802.0,-625.0,485.0,
arstad,øː,3,70.0,485.0,-1364.0,-481.5,485.0,
arstad,ɑː,3,70.0,485.0,-792.0,-541.0,485.0,
arstad,ʉ̟ː,3,70.0,485.0,-1549.5,-420.0,485.0,
arsunda,eː,3,156.0,343.0,-1715.0,-520.0,343.0,
arsunda,oː,3,156.0,343.0,-785.5,-463.0,343.0,
arsunda,uː,3,156.0,343.0,-755.0,-434.0,343.0,
arsunda,yː,3,156.0,343.0,-1912.0,-395.0,343.0,
arsunda,æː,3,156.0,343.0,-1580.0,-686.0,343.0,
arsunda,øː,3,156.0,343.0,-1383.0,-565.5,343.0,
arsunda,ɑː,3,156.0,343.0,-877.0,-611.0,343.0,
arsunda,ʉ̟ː,3,156.0,343.0,-1589.0,-380.0,343.0,
asby,eː,3,125.0,446.0,-1979.5,-429.0,446.0,
asby,oː,3,125.0,446.0,-746.0,-470.0,446.0,
asby,uː,3,125.0,446.0,-882.0,-456.0,446.0,
asby,yː,3,125.0,446.0,-1644.0,-427.5,446.0,
asby,æː,3,125.0,446.0,-1798.0,-648.5,446.0,
asby,øː,3,125.0,446.0,-1471.5,-582.0,446.0,
asby,ɑː,3,125.0,446.0,-897.0,-547.5,446.0,
asby,ʉ̟ː,3,125.0,446.0,-1642.0,-472.0,446.0,
aspas,eː,2,112.0,229.0,-1813.25,-483.25,229.0,
aspas,oː,2,112.0,229.0,-730.0,-442.0,229.0,
aspas,uː,2,112.0,229.0,-712.0,-360.0,229.0,
aspas,yː,2,112.0,229.0,-2057.5,-304.0,229.0,
aspas,æː,2,112.0,229.0,-1526.75,-676.25,229.0,
aspas,øː,2,112.0,229.0,-1537.0,-495.0,229.0,
aspas,ɑː,2,112.0,229.0,-868.5,-535.5,229.0,
aspas,ʉ̟ː,2,112.0,229.0,-1658.0,-334.5,229.0,
bara,eː,3,79.0,539.0,-1767.0,-531.0,539.0,
bara,oː,3,79.0,539.0,-1093.0,-508.5,539.0,
bara,uː,3,79.0,539.0,-1288.5,-422.0,539.0,
bara,yː,3,79.0,539.0,-1675.0,-411.0,539.0,
bara,æː,3,79.0,539.0,-1423.0,-602.0,539.0,
bara,øː,3,79.0,539.0,-1273.0,-534.0,539.0,
bara,ɑː,3,79.0,539.0,-1017.0,-553.0,539.0,
bara,ʉ̟ː,3,79.0,539.0,-1370.0,-409.0,539.0,
bengtsf,eː,3,62.0,401.0,-2135.5,-408.0,401.0,
bengtsf,oː,3,62.0,401.0,-752.0,-463.0,401.0,
bengtsf,uː,3,62.0,401.0,-706.0,-395.0,401.0,
bengtsf,yː,3,62.0,401.0,-1695.5,-383.0,401.0,
bengtsf,æː,3,62.0,401.0,-1801.0,-578.0,401.0,
bengtsf,øː,3,62.0,401.0,-1577.5,-495.0,401.0,
bengtsf,ɑː,3,62.0,401.0,-856.0,-571.0,401.0,
bengtsf,ʉ̟ː,3,62.0,401.0,-1425.0,-398.0,401.0,
berg,eː,3,112.0,252.0,-1856.5,-550.0,252.0,
berg,oː,3,112.0,252.0,-733.0,-478.0,252.0,
berg,uː,3,112.0,252.0,-897.0,-376.0,252.0,
berg,yː,3,112.0,252.0,-2025.0,-367.0,252.0,
berg,æː,3,112.0,252.0,-1693.0,-686.5,252.0,
berg,øː,3,112.0,252.0,-1449.5,-522.0,252.0,
berg,ɑː,3,112.0,252.0,-913.0,-616.5,252.0,
berg,ʉ̟ː,3,112.0,252.0,-1595.0,-370.5,252.0,
bjurholm,eː,3,197.0,211.0,-1848.0,-457.0,211.0,
bjurholm,oː,3,197.0,211.0,-814.0,-480.5,211.0,
bjurholm,uː,3,197.0,211.0,-809.5,-423.0,211.0,
bjurholm,yː,3,197.0,211.0,-2021.0,-349.0,211.0,
bjurholm,æː,3,197.0,211.0,-1646.5,-644.0,211.0,
bjurholm,øː,3,197.0,211.0,-1537.0,-487.0,211.0,
bjurholm,ɑː,3,197.0,211.0,-978.0,-606.0,211.0,
bjurholm,ʉ̟ː,3,197.0,211.0,-1603.0,-354.0,211.0,
boda,eː,1,163.0,475.0,-2020.0,-450.0,475.0,
boda,oː,1,163.0,475.0,-751.0,-459.0,475.0,
boda,uː,1,163.0,475.0,-832.0,-406.5,475.0,
boda,yː,1,163.0,475.0,-1702.0,-368.0,475.0,
