method,pair,group,first_vowel,second_vowel,anchor_pair_length,midpoint_shift_along_axis,plot_x,plot_y,monotonic_north_central_south
pca,uː->oː,North,uː,oː,7.301122084256332,-1.0480091391473412,34.72573012591308,1.9331076426700298,0
pca,uː->oː,Central,uː,oː,7.301122084256332,-4.745535419966917,34.39238205655879,5.615576877030204,0
pca,uː->oː,South,uː,oː,7.301122084256332,3.9320661960267365,35.17470556844902,-3.0266878567441204,0
pca,oː->ɑː,North,oː,ɑː,27.972803251752072,2.7777241137863773,24.126806332626796,-15.377241822756787,0
pca,oː->ɑː,Central,oː,ɑː,27.972803251752072,-6.1009715333930465,29.964605733963833,-8.687597994794661,0
pca,oː->ɑː,South,oː,ɑː,27.972803251752072,1.966219847359863,24.66037559876468,-14.765814793045543,0
pca,ɑː->æː,North,ɑː,æː,46.7331152465668,1.151371096095143,-6.504757508447368,-16.075271638721812,0
pca,ɑː->æː,Central,ɑː,æː,46.7331152465668,-3.966947080007912,-1.6486693163245487,-17.692549729265377,0
pca,ɑː->æː,South,ɑː,æː,46.7331152465668,0.3530134295481522,-5.747302597631072,-16.327535432823606,0
pca,æː->eː,North,æː,eː,23.57163632319261,-2.7073762164265487,-23.071472977843335,-1.1769677489066468,0
pca,æː->eː,Central,æː,eː,23.57163632319261,4.960625917321261,-19.261894133949518,5.477757320945421,0
pca,æː->eː,South,æː,eː,23.57163632319261,-1.6836978704407175,-22.56289417181296,-0.2885618990288987,0
pca,yː->ʉ̟ː,North,yː,ʉ̟ː,10.6264298339642,-1.8041613761919224,-5.366983698178716,19.52423044556786,0
pca,yː->ʉ̟ː,Central,yː,ʉ̟ː,10.6264298339642,4.844836301478259,-0.3443559604800024,15.167353040113012,0
pca,yː->ʉ̟ː,South,yː,ʉ̟ː,10.6264298339642,-0.5226988529576101,-4.398971747199462,18.684528676357274,0
pca,ʉ̟ː->øː,North,ʉ̟ː,øː,22.590377569692652,-0.33775500235421324,-6.07361743649231,5.746626840233726,0
pca,ʉ̟ː->øː,Central,ʉ̟ː,øː,22.590377569692652,-2.7685968615460457,-4.724123698807101,7.768472234013281,0
pca,ʉ̟ː->øː,South,ʉ̟ː,øː,22.590377569692652,2.7038402548825653,-7.762173907861742,3.2167891474475505,0
