method,pair,group,first_vowel,second_vowel,anchor_pair_length,midpoint_shift_along_axis,plot_x,plot_y,monotonic_north_central_south
fasttrack,uː->oː,North,uː,oː,0.4766583819846067,0.08304178021353542,-7.253784564004285,-4.301081413662409,0
fasttrack,uː->oː,Central,uː,oː,0.4766583819846067,-0.02024830888469363,-7.300252241287313,-4.208833934163833,0
fasttrack,uː->oː,South,uː,oː,0.4766583819846067,-0.01181683147650045,-7.296459126433375,-4.216364013246399,0
fasttrack,oː->ɑː,North,oː,ɑː,1.4791805560559554,0.13210882302826354,-7.753621355209487,-5.099543644429323,0
fasttrack,oː->ɑː,Central,oː,ɑː,1.4791805560559554,-0.15719818195790258,-7.564545478822805,-4.880571371977594,0
fasttrack,oː->ɑː,South,oː,ɑː,1.4791805560559554,0.010035230301999234,-7.67384046110534,-5.00714791413273,0
fasttrack,ɑː->æː,North,ɑː,æː,3.7878803915380734,0.023794242300806696,-10.060380868063213,-5.734245311905383,0
fasttrack,ɑː->æː,Central,ɑː,æː,3.7878803915380734,-0.036262215696137225,-10.000574719371517,-5.728767837505132,0
fasttrack,ɑː->æː,South,ɑː,æː,3.7878803915380734,0.06436270588403561,-10.100780246351153,-5.737945375614534,0
fasttrack,æː->eː,North,æː,eː,1.6380185552640822,-0.09485474107098464,-12.352401050358875,-5.321902380610335,1
fasttrack,æː->eː,Central,æː,eː,1.6380185552640822,0.017240743151814897,-12.418911623552964,-5.231670782838058,1
fasttrack,æː->eː,South,æː,eː,1.6380185552640822,0.10387282537904657,-12.470313778473656,-5.161936027224126,1
fasttrack,yː->ʉ̟ː,North,yː,ʉ̟ː,1.305511604405015,-0.2040980514576796,-12.306040888458462,-3.9587950135749743,1
fasttrack,yː->ʉ̟ː,Central,yː,ʉ̟ː,1.305511604405015,0.09855212115808788,-12.003398703506079,-3.956596179429103,1
fasttrack,yː->ʉ̟ː,South,yː,ʉ̟ː,1.305511604405015,0.17186828691429748,-11.930084472739193,-3.956063517949627,1
fasttrack,ʉ̟ː->øː,North,ʉ̟ː,øː,1.1403233165271551,-0.08753465906061327,-11.301162869346285,-4.411929047275597,0
fasttrack,ʉ̟ː->øː,Central,ʉ̟ː,øː,1.1403233165271551,0.0637120601260582,-11.254767641189167,-4.5558840849400735,0
fasttrack,ʉ̟ː->øː,South,ʉ̟ː,øː,1.1403233165271551,0.03457215837769336,-11.263706363280868,-4.528149032726824,0
