abbr	full_name	status	provenance	sp1	sp2	sp3	sp4	sp5	sp6
alv	Älvdalen	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
ank	Ankarsrum	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
anu	Anundsjö	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
are	Åre	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
arj	Arjeplog	pass	sounds/sannotations	w,o,s	w,o,s	w,o,s			
ars	Årstad-Heberg	pass	sounds/sannotations	w,o,s	w,o,s	w,o,s			
ara	Årsunda	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
asb	Asby	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
asp	Aspås	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
bar	Bara	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
ben	Bengtsfors	pass	sounds/sannotations	w,o,s	w,o,s	w,o,s			
ber	Berg	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
bju	Bjurholm	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
bod	Böda	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
bor	Borgå	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
bra	Brändö	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
bre	Bredsätra	pass	sounds/sannotations	w,o,s	w,o,s	w,o,s			
bro	Broby	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
brr	Burseryd	partial pass		w,o,s	w,o,s				
bur	Burträsk	pass	sounds/sannotations	w,o,s	w,o,s	w,o,s			
dal	Dalby	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
del	Delsbo	partial pass		w,o,s			w,o		
dra	Dragsfjärd	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
far	Färila	non-pass		w,o	w,o	w,o			
fao	Fårö	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
fja	Fjällsjö	non-pass			w,o				
flo	Floby	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
fol	Fole	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
fra	Frändefors	pass	sounds/sannotations	w,o,s	w,o,s	w,o,s	w,o,s		
fri	Frillesås	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
fro	Frostviken	non-pass		w,o	w,o	w,o			
gas	Gåsborn	non-pass		w,o	w,o	w,o			
grg	Grangärde	partial pass		w,o,s	w,o	w,o			
gra	Gräsmark*	non-pass		w,o					
grs	Gräsö	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
hao	Hammarö	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
ham	Hamneda	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
har	Haraker	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
hou	Houtskär	partial pass		w,o,s	w,o	w,o			
hus	Husby	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
ind	Indal	non-pass		w,o	w,o	w,o			
jam	Jämshög	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
jab	Järnboås	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
jar	Järsnäs	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
kaa	Kärna	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
kar	Kårsta	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
kol	Köla*	non-pass			w				
kor	Korsberga	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
kra	Kramfors	pass	Media/Annotations	w,o,s	w,o,s	w,o,s	w,o,s	w,o,s	
kyr	Kyrkslätt	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
lan	Länna	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
lek	Leksand	pass	Media/Annotations	w,o,s	w,o,s	w,o,s	w,o,s		
lil	Lillhärdal	non-pass		w,o	w,o	w,o			
lod	Löderup	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
mal	Malung	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
mun	Munsala	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
nap	Närpes	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
nka	Nederkalix	non-pass		w,o	w,o	w,o			
nlu	Nederluleå	non-pass		w,o	w,o	w,o			
nor	Nora	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
nro	Norra Rörum	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
nys	Nysätra	pass	sounds/sannotations	w,o,s	w,o,s	w,o,s			
ock	Ockelbo	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
ors	Orsa*	pass	sounds/sannotations	w,o,s	w,o,s	w,o,s	w,o,s		
oru	Orust	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
oss	Össjö	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
ost	Östad	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
ova	Ovanåker	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
oka	Överkalix	non-pass		w,o	w,o	w,o			
oxa	Öxabäck	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
pit	Piteå	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
rag	Ragunda	pass	sounds/sannotations	w,o,s	w,o,s	w,o,s			
rim	Rimforsa	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
sal	Saltvik	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
sar	Särna	partial pass		w,o,s	w,o,s	w,o			
seg	Segerstad	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
ske	Skee	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
skb	Skinnskatteberg	pass	sounds/sannotations	w,o,s	w,o,s	w,o,s			
sko	Skog	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
sku	Skuttunge	pass	sounds/sannotations	w,o,s	w,o,s	w,o,s			
sna	Snappertuna	partial pass		w,o,s	w,o	w,o			
fin	Södra Finnskoga	pass	Media/Annotations	w,o,s	w,o,s	w,o,s	w,o		
sor	Sorsele	pass	Media/Annotations	w,o,s	w,o,s	w,o,s	w,o,s	w,o,s	w,o,s
soa	Sorunda	pass	sounds/sannotations	w,o,s	w,o,s	w,o,s			
spr	Sproge	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
san	S:t Anna	pass	sounds/sannotations	w,o,s	w,o,s	w,o,s	w,o,s		
ste	Stenberga	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
sta	Stora Mellösa	pass	sounds/sannotations	w,o,s	w,o,s	w,o,s			
sto	Storsjö	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
stm	Ström	pass	sounds/sannotations	w,o,s	w,o,s	w,o,s			
tja	Tjällmo	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
toh	Torhamn	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
tor	Torp	pass	sounds/sannotations	w,o,s	w,o,s	w,o,s			
toa	Torsås	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
too	Torsö	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
vac	Väckelsång	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
vax	Våxtorp	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
vem	Vemdalen	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
vib	Viby	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
vim	Vilhelmina	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
vil	Villberga	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
vin	Vindeln	pass	Media/Annotations	w,o,s	w,o,s	w,o,s	w,o,s		
vvi	Västra Vingåker	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
vor	Vörå	pass	Media/Annotations	w,o,s	w,o,s	w,o,s			
