method,grouping,pair,outcome,n_villages,spline_df,spline_overall_f,spline_overall_p,nonlinearity_f,nonlinearity_p,spline_r2,knots_geo_y
pca,speaker,uː->oː,first_endpoint,83,4,7.88436706925367,0.00011484132291596089,4.94330564743125,0.009489302695839995,0.23041779478136926,122;329.5;454;543
pca,speaker,uː->oː,second_endpoint,83,4,13.090512552024666,5.050758774814192e-07,15.718546662120712,1.7915498040578885e-06,0.3320455490337253,122;329.5;454;543
pca,speaker,uː->oː,midpoint,83,4,8.308986593319364,7.184909650384678e-05,4.999486331667474,0.00902740366139573,0.23985075511431597,122;329.5;454;543
pca,speaker,uː->oː,separation_change,83,4,10.423794630490665,7.466933233355846e-06,13.476498752261886,9.21078866759082e-06,0.28358566645222283,122;329.5;454;543
pca,speaker,oː->ɑː,first_endpoint,83,4,27.638901634586674,2.5339001674535477e-12,39.915684568871974,1.045410994353989e-12,0.5120948141394306,122;329.5;454;543
pca,speaker,oː->ɑː,second_endpoint,83,4,3.255769861726021,0.025949761230908974,4.405170752205505,0.015353814594502043,0.11003273199133823,122;329.5;454;543
pca,speaker,oː->ɑː,midpoint,83,4,15.287362841286095,6.216945036157019e-08,22.928060547082325,1.4063113512005036e-08,0.36730194942314376,122;329.5;454;543
pca,speaker,oː->ɑː,separation_change,83,4,18.063586148765552,5.090138076487575e-09,20.217632222465678,8.119576439147155e-08,0.40686575463977637,122;329.5;454;543
pca,speaker,ɑː->æː,first_endpoint,83,4,3.231073576920201,0.0267451847013509,4.642496162144203,0.012409040559499282,0.10928930814436855,122;329.5;454;543
pca,speaker,ɑː->æː,second_endpoint,83,4,1.497252026924474,0.22174902098806906,1.9586180849568122,0.1478426747876294,0.05379879752951788,122;329.5;454;543
pca,speaker,ɑː->æː,midpoint,83,4,3.335963896559472,0.02352758148001395,4.599962129450823,0.012890676946729216,0.11243825125720808,122;329.5;454;543
pca,speaker,ɑː->æː,separation_change,83,4,1.7188143307383321,0.16987248689568157,2.122254493911525,0.12653890274623475,0.06127211190106974,122;329.5;454;543
pca,speaker,æː->eː,first_endpoint,83,4,5.019831833566718,0.0030884090904322,7.446610348016957,0.0010894762572199504,0.16010606287578966,122;329.5;454;543
pca,speaker,æː->eː,second_endpoint,83,4,8.66147033492441,4.886025590323829e-05,12.070357452166256,2.6655061047631778e-05,0.24750732757448934,122;329.5;454;543
pca,speaker,æː->eː,midpoint,83,4,8.953293453619155,3.5596491487200896e-05,12.769098119998585,1.5664174637297775e-05,0.2537304998767893,122;329.5;454;543
pca,speaker,æː->eː,separation_change,83,4,2.707429713727016,0.05079313875526416,3.6508831829068575,0.03044335852444104,0.0932286010990705,122;329.5;454;543
pca,speaker,yː->ʉ̟ː,first_endpoint,83,4,3.4692561752795457,0.01999518758603882,3.1544919356247707,0.04808135841195534,0.11640787704964162,122;329.5;454;543
pca,speaker,yː->ʉ̟ː,second_endpoint,83,4,5.596699587897011,0.0015637315302684724,7.826115727818,0.0007926861179524732,0.17528010702976005,122;329.5;454;543
pca,speaker,yː->ʉ̟ː,midpoint,83,4,3.9317942238748094,0.011394800463480051,4.397662219798631,0.015457892305867386,0.12991170172479194,122;329.5;454;543
pca,speaker,yː->ʉ̟ː,separation_change,83,4,5.537379076607636,0.0016764261996813276,8.199563639788742,0.0005811205541883887,0.1737450674268719,122;329.5;454;543
pca,speaker,ʉ̟ː->øː,first_endpoint,83,4,2.3026494180181416,0.08341974346071303,2.5947493637762964,0.0810181122949451,0.08041104920380171,122;329.5;454;543
pca,speaker,ʉ̟ː->øː,second_endpoint,83,4,0.03243260915526337,0.9920941659963255,0.0036539156483050505,0.9963529201527688,0.001230103052041187,122;329.5;454;543
pca,speaker,ʉ̟ː->øː,midpoint,83,4,0.8367110879307352,0.47771816007781553,1.0277587659550804,0.36254179034785955,0.030795352225331696,122;329.5;454;543
pca,speaker,ʉ̟ː->øː,separation_change,83,4,4.330910009876883,0.007037087582536223,4.2444495324721645,0.01774714593740646,0.14123648711638093,122;329.5;454;543
